model,subset,n,n_complexes,n_destab,test,stat,lo,hi,p_gt0,placebo_floor,clears_floor,n_positions,confidence_blind,note,seed
mpnn,full,76,7,25,spearman_L_vs_ddG,-0.2204,-0.6206,-0.1513,,,,,,,20260803
mpnn,full,76,7,25,spearman_conf_vs_ddG,0.1973,,,,,,,,,20260803
mpnn,full,76,7,25,spearman_klP_vs_ddG,0.1695,,,,,,,,,20260803
mpnn,full,76,7,25,CPI(L|geometry),-0.00167,-0.02691,0.01367,0.43,0.04453,False,,,,20260803
mpnn,full,76,7,25,CPI(confidence|geometry),-0.0085,-0.02651,-0.00187,0.004,0.04564,,50.0,True,,20260803
mpnn,nonoverlap,12,3,3,spearman_L_vs_ddG,-0.5849,-1.0,-0.4268,,,,,,,20260803
mpnn,nonoverlap,12,3,3,spearman_conf_vs_ddG,0.5352,,,,,,,,,20260803
mpnn,nonoverlap,12,3,3,spearman_klP_vs_ddG,0.2606,,,,,,,,,20260803
mpnn,nonoverlap,12,3,3,CPI(L|geometry),,,,,,,,,indeterminate,20260803
mpnn,nonoverlap,12,3,3,CPI(confidence|geometry),,,,,,,9.0,,indeterminate,20260803
esmif,full,76,7,25,spearman_L_vs_ddG,-0.3237,-0.4472,-0.0614,,,,,,,20260803
esmif,full,76,7,25,spearman_conf_vs_ddG,0.189,,,,,,,,,20260803
esmif,full,76,7,25,spearman_klP_vs_ddG,0.1516,,,,,,,,,20260803
esmif,full,76,7,25,CPI(L|geometry),0.00948,-0.01519,0.03473,0.852,0.04947,False,,,,20260803
esmif,full,76,7,25,CPI(confidence|geometry),-0.00075,-0.00885,0.00531,0.4,0.04535,,50.0,True,,20260803
esmif,nonoverlap,12,3,3,spearman_L_vs_ddG,-0.3713,-1.0,-0.151,,,,,,,20260803
esmif,nonoverlap,12,3,3,spearman_conf_vs_ddG,0.507,,,,,,,,,20260803
esmif,nonoverlap,12,3,3,spearman_klP_vs_ddG,0.0141,,,,,,,,,20260803
esmif,nonoverlap,12,3,3,CPI(L|geometry),,,,,,,,,indeterminate,20260803
esmif,nonoverlap,12,3,3,CPI(confidence|geometry),,,,,,,9.0,,indeterminate,20260803
