layer,score,auroc,lo,hi,n_pairs,n_bind,n_designs,p_gt0,seed,command
core,P,0.7212,0.7003,0.7427,15162.0,8083.0,73.0,,20260803,python3 src/bennett_knows_where.py
core,Q,0.7256,0.704,0.7481,15162.0,8083.0,73.0,,20260803,python3 src/bennett_knows_where.py
core,blosum,0.6196,0.607,0.6322,15162.0,8083.0,73.0,,20260803,python3 src/bennett_knows_where.py
core,vol,0.6083,0.5959,0.6224,15162.0,8083.0,73.0,,20260803,python3 src/bennett_knows_where.py
core,hydro,0.5955,0.5837,0.6076,15162.0,8083.0,73.0,,20260803,python3 src/bennett_knows_where.py
surface,P,0.6796,0.6465,0.7214,18639.0,17029.0,73.0,,20260803,python3 src/bennett_knows_where.py
surface,Q,0.6842,0.6505,0.7272,18639.0,17029.0,73.0,,20260803,python3 src/bennett_knows_where.py
surface,blosum,0.5704,0.5521,0.5889,18639.0,17029.0,73.0,,20260803,python3 src/bennett_knows_where.py
surface,vol,0.5804,0.5593,0.6047,18639.0,17029.0,73.0,,20260803,python3 src/bennett_knows_where.py
surface,hydro,0.5051,0.4852,0.5208,18639.0,17029.0,73.0,,20260803,python3 src/bennett_knows_where.py
interface,P,0.6145,0.6014,0.6278,27170.0,12836.0,73.0,,20260803,python3 src/bennett_knows_where.py
interface,Q,0.5387,0.5275,0.5505,27170.0,12836.0,73.0,,20260803,python3 src/bennett_knows_where.py
interface,blosum,0.5891,0.5793,0.5991,27170.0,12836.0,73.0,,20260803,python3 src/bennett_knows_where.py
interface,vol,0.5389,0.5309,0.5468,27170.0,12836.0,73.0,,20260803,python3 src/bennett_knows_where.py
interface,hydro,0.5785,0.5689,0.5876,27170.0,12836.0,73.0,,20260803,python3 src/bennett_knows_where.py
TEST,P1_interface_P_gt_0.5,0.6145,0.6014,0.6278,,,,,20260803,python3 src/bennett_knows_where.py
TEST,P2_core_minus_interface_P,0.1067,,,,,,,20260803,python3 src/bennett_knows_where.py
TEST,P3_interface_P_minus_Q,0.0758,0.068,0.0838,,,,1.0,20260803,python3 src/bennett_knows_where.py
