steered_model,judge,is_self,method,alpha,n_cx,arm_L,arm_random,delta,lo,hi,p_gt0,seed
ProteinMPNN,ProteinMPNN,1,K64,0.0,271,0.0396,0.0396,0.0,0.0,0.0,0.0,20260803
ProteinMPNN,ESM-IF1,0,K64,0.0,271,-0.2048,-0.2048,0.0,0.0,0.0,0.0,20260803
ProteinMPNN,ProteinMPNN,1,K64,2.0,271,0.6069,-0.1943,0.8011,0.7746,0.8294,1.0,20260803
ProteinMPNN,ESM-IF1,0,K64,2.0,271,0.265,-0.5079,0.7729,0.727,0.8219,1.0,20260803
ESM-IF1,ProteinMPNN,0,K64,0.0,60,0.0293,0.0288,0.0005,-0.0036,0.0051,0.5832,20260803
ESM-IF1,ESM-IF1,1,K64,0.0,60,0.2753,0.2783,-0.003,-0.01,0.0042,0.201,20260803
ESM-IF1,ProteinMPNN,0,K64,2.0,60,0.2819,-0.1546,0.4365,0.3826,0.4915,1.0,20260803
ESM-IF1,ESM-IF1,1,K64,2.0,60,1.0544,-0.0928,1.1473,1.0478,1.2506,1.0,20260803
ProteinMPNN,ProteinMPNN,1,dumped3,2.0,271,0.6095,-0.1932,0.8026,0.7752,0.8305,1.0,20260803
ProteinMPNN,ESM-IF1,0,dumped3,2.0,271,0.2556,-0.5148,0.7703,0.7207,0.8197,1.0,20260803
ProteinMPNN,MIF,0,dumped3,2.0,271,0.2744,-0.4352,0.7095,0.6633,0.7594,1.0,20260803
ESM-IF1,ProteinMPNN,0,dumped3,2.0,60,0.2792,-0.1525,0.4317,0.3746,0.4901,1.0,20260803
ESM-IF1,ESM-IF1,1,dumped3,2.0,60,1.0612,-0.0908,1.152,1.0465,1.2617,1.0,20260803
ESM-IF1,MIF,0,dumped3,2.0,60,0.3291,-0.2384,0.5675,0.4778,0.6624,1.0,20260803
