method,judge,is_self,contrast,n_cx,mean_a,mean_b,delta,lo,hi,p_gt0,seed
dumped3,ProteinMPNN,1,naive-random,60,0.3451,-0.129,0.474,0.4151,0.5343,1.0,20260803
dumped3,ProteinMPNN,1,L-naive,60,0.6449,0.3451,0.2998,0.2716,0.3284,1.0,20260803
dumped3,ProteinMPNN,1,L-random,60,0.6449,-0.129,0.7738,0.7175,0.8341,1.0,20260803
dumped3,ESM-IF1,0,naive-random,60,0.1557,-0.3651,0.5207,0.4135,0.6398,1.0,20260803
dumped3,ESM-IF1,0,L-naive,60,0.3147,0.1557,0.1591,0.1096,0.2071,1.0,20260803
dumped3,ESM-IF1,0,L-random,60,0.3147,-0.3651,0.6798,0.5889,0.7827,1.0,20260803
dumped3,MIF,0,naive-random,60,0.1113,-0.3163,0.4276,0.3063,0.5716,1.0,20260803
dumped3,MIF,0,L-naive,60,0.3529,0.1113,0.2416,0.1913,0.2922,1.0,20260803
dumped3,MIF,0,L-random,60,0.3529,-0.3163,0.6692,0.563,0.799,1.0,20260803
K64,ProteinMPNN,1,naive-random,60,0.3535,-0.1253,0.4788,0.4248,0.5356,1.0,20260803
K64,ProteinMPNN,1,L-naive,60,0.6453,0.3535,0.2918,0.2695,0.315,1.0,20260803
K64,ProteinMPNN,1,L-random,60,0.6453,-0.1253,0.7706,0.7213,0.8248,1.0,20260803
K64,ESM-IF1,0,naive-random,60,0.156,-0.3539,0.5099,0.4045,0.6309,1.0,20260803
K64,ESM-IF1,0,L-naive,60,0.331,0.156,0.1751,0.1371,0.2123,1.0,20260803
K64,ESM-IF1,0,L-random,60,0.331,-0.3539,0.685,0.5939,0.7861,1.0,20260803
