source,judge,contrast,n_cx,mean_a,mean_b,delta,lo,hi,p_gt0,seed,nboot
of3,esmif,L-random,106,0.2451,-0.4874,0.7325,0.645,0.8267,1.0,20260803,5000
of3,esmif,L-naive,106,0.2451,0.0781,0.1671,0.1372,0.1975,1.0,20260803,5000
of3,esmif,naive-random,106,0.0781,-0.4874,0.5655,0.4686,0.6674,1.0,20260803,5000
of3,mif,L-random,106,0.2252,-0.4787,0.7039,0.6243,0.7891,1.0,20260803,5000
of3,mif,L-naive,106,0.2252,0.0046,0.2206,0.1919,0.2498,1.0,20260803,5000
of3,mif,naive-random,106,0.0046,-0.4787,0.4833,0.3981,0.5722,1.0,20260803,5000
af2,esmif,L-random,106,0.3502,-0.41,0.7602,0.6779,0.8459,1.0,20260803,5000
af2,esmif,L-naive,106,0.3502,0.1759,0.1742,0.1457,0.2041,1.0,20260803,5000
af2,esmif,naive-random,106,0.1759,-0.41,0.586,0.5021,0.6777,1.0,20260803,5000
af2,mif,L-random,106,0.3084,-0.4283,0.7367,0.659,0.8179,1.0,20260803,5000
af2,mif,L-naive,106,0.3084,0.0955,0.2129,0.1849,0.2413,1.0,20260803,5000
af2,mif,naive-random,106,0.0955,-0.4283,0.5238,0.4437,0.6151,1.0,20260803,5000
crystal,esmif,L-random,106,0.2192,-0.532,0.7512,0.6792,0.8236,1.0,20260803,5000
crystal,esmif,L-naive,106,0.2192,0.0319,0.1873,0.1578,0.2156,1.0,20260803,5000
crystal,esmif,naive-random,106,0.0319,-0.532,0.564,0.4854,0.6465,1.0,20260803,5000
crystal,mif,L-random,106,0.2061,-0.4708,0.6768,0.6116,0.7437,1.0,20260803,5000
crystal,mif,L-naive,106,0.2061,-0.0111,0.2171,0.1907,0.245,1.0,20260803,5000
crystal,mif,naive-random,106,-0.0111,-0.4708,0.4597,0.3832,0.5424,1.0,20260803,5000
