direction,alpha,n_cx,meanL_esmif,esmif_lo,esmif_hi,int_recovery,int_rec_lo,int_rec_hi,noninterface_recovery,noni_lo,noni_hi,meanL_mpnn,boot_dropped,p_gt0,seed,nboot,sweet_spot_alpha
L,0.0,271,-0.20479,-0.2489,-0.16059,0.2759,0.2673,0.2843,0.3649,0.3578,0.3718,0.0396,0.0,,20260803,5000,2.0
L,0.25,271,-0.07926,-0.12012,-0.03843,0.2856,0.277,0.2945,0.3649,0.3581,0.3718,0.1767,0.0,,20260803,5000,2.0
L,0.5,271,0.01476,-0.02546,0.0556,0.2917,0.2827,0.3008,0.365,0.358,0.3718,0.2834,0.0,,20260803,5000,2.0
L,1.0,271,0.13598,0.09621,0.17434,0.2969,0.2878,0.3061,0.365,0.3579,0.3717,0.4338,0.0,,20260803,5000,2.0
L,2.0,271,0.26504,0.22628,0.30493,0.2967,0.2874,0.306,0.3648,0.358,0.3718,0.6069,0.0,,20260803,5000,2.0
random,0.0,271,-0.20479,-0.24856,-0.16131,0.2759,0.2673,0.2847,0.3649,0.3579,0.3717,0.0396,0.0,,20260803,5000,2.0
random,0.25,271,-0.20949,-0.25307,-0.16556,0.2748,0.266,0.2838,0.3649,0.358,0.3717,0.0362,0.0,,20260803,5000,2.0
random,0.5,271,-0.22936,-0.27669,-0.1847,0.2707,0.262,0.2793,0.3649,0.3579,0.372,0.021,0.0,,20260803,5000,2.0
random,1.0,271,-0.31777,-0.37024,-0.26688,0.2551,0.2468,0.2634,0.3647,0.3576,0.3715,-0.047,0.0,,20260803,5000,2.0
random,2.0,271,-0.50788,-0.57485,-0.44193,0.2197,0.2119,0.2275,0.3641,0.3572,0.3711,-0.1943,0.0,,20260803,5000,2.0
L_minus_random,0.0,271,0.0,0.0,0.0,,,,,,,,,0.0,20260803,5000,2.0
L_minus_random,0.25,271,0.13022,0.12252,0.13826,,,,,,,,,1.0,20260803,5000,2.0
L_minus_random,0.5,271,0.24412,0.23001,0.25931,,,,,,,,,1.0,20260803,5000,2.0
L_minus_random,1.0,271,0.45376,0.42713,0.48142,,,,,,,,,1.0,20260803,5000,2.0
L_minus_random,2.0,271,0.77292,0.7259,0.82288,,,,,,,,,1.0,20260803,5000,2.0
