variant,arm,n_pairs,n_dropped,n_complexes,d_pred,d_pred_lo,d_pred_hi,d_cry,d_cry_lo,d_cry_hi,d_committed,selfcheck_maxabs,delta,delta_lo,delta_hi,command
AAMATCHED_any_interface,all,51,0.0,38,-0.02481466274509807,-0.473719274512468,0.41053527813000706,0.28865653239215694,-0.17284908317676942,0.7511692484284087,0.2886565323921569,4.440892098500626e-16,-0.3134711951372549,-0.6965325121582979,0.0493594134267566,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
HYDROMATCHED_any_interface,all,188,1.0,84,-0.27214041723404253,-0.5169951395003493,-0.040679899569894595,-0.002790887042328042,-0.22500107842238137,0.20775161868609268,-0.002790887042328042,4.440892098500626e-16,-0.2757101845159574,-0.4512892047612469,-0.10708811136936326,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
PRIMARY_loose_null,all,46,1.0,30,0.4679936658695652,-0.027697856376889513,0.9048160894322915,0.4200547855319149,-0.05013106653571432,0.8820494798977139,0.4200547855319148,4.440892098500626e-16,0.02691539152173914,-0.3187334457389534,0.35444142754626623,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
PRIMARY_loose_null,ptm_hi(med=0.856),24,,12,0.5904692783333333,0.05480871544999996,1.1228488026991756,,,,,,0.27145092749999994,0.07644421715498988,0.49757864012282627,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
PRIMARY_loose_null,ptm_lo(med=0.856),22,,18,0.33438390681818186,-0.4624447510284678,1.0566488850905795,,,,,,-0.23985064772727271,-0.8967842196584926,0.38366200316356086,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
PRIMARY_loose_null_T293_303,all,41,1.0,27,0.3466906429268293,-0.1664118434660947,0.8131781538158966,0.3401708190476191,-0.14703031656010457,0.8300000175943452,0.3401708190476191,4.440892098500626e-16,-0.015119115609756139,-0.41245314473907563,0.34841813061541305,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
SECONDARY_A_measured_nonhot,all,128,1.0,57,0.22443314589062507,-0.10430864184749995,0.5529701966561403,0.33725464542635664,0.009431194069979207,0.6518464493736047,0.33725464542635664,4.440892098500626e-16,-0.11972993973437497,-0.3197638001966525,0.08039156744854174,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
SECONDARY_B_any_interface,all,382,2.0,127,-0.19103252711518323,-0.37326550261007246,-0.003722729907067305,-0.04212257805208331,-0.22160156961901456,0.12915995401122582,-0.04212257805208328,4.440892098500626e-16,-0.15356963137696336,-0.2789375846493581,-0.028435303702104946,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
SECONDARY_B_any_interface,ptm_hi(med=0.852),195,,68,-0.23546856524102563,-0.4915389832145034,0.023907953678181226,,,,,,-0.12661947259999998,-0.28635661970963067,0.030607773725244848,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
SECONDARY_B_any_interface,ptm_lo(med=0.852),187,,59,-0.14469548201069518,-0.4011966567264311,0.12598940685859314,,,,,,-0.1816727381229947,-0.363053883036756,0.007771280116959212,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expA_confidence.csv --out results/expA_gap
