score,auroc,lo,hi,n,command
burial,0.6476467892535945,0.614085232411553,0.680086659702697,6119,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl,0.6852752477516183,0.6451797684443911,0.7277448096141954,6119,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
jsd,0.6833046915277539,0.6435698734527622,0.7257816025402164,6119,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
dH,0.6122893395199633,0.5683956200618564,0.6588243286301685,6119,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
logp_native,0.5147144411983732,0.47321687654670647,0.5571967287912428,6119,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
burial + KL,0.7100552786847683,0.6784514982440001,0.7415650009132353,6119,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
burial + JSD,0.7086449561780375,0.6772192636097761,0.740116482530642,6119,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
burial + KL + nbr,0.7123285787936071,0.6860462276144375,0.7377765266169255,6119,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile1,0.6110048226550171,0.5501814244487656,0.6829523661884727,1224,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile2,0.6742603516797065,0.6183372638065643,0.729327335712289,1224,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile3,0.624281013739231,0.5553856541399943,0.7007350729230292,1223,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile4,0.7604673807205453,0.6870017598655835,0.8261031547821303,1224,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile5,0.6082644628099173,0.4674254002895407,0.7283539304424598,1224,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/predicted --out /scratch/users/cbertsch/ftax/predicted/expA_kl --positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
