analysis,n_pairs,n_complexes,mean,lo,hi,boot_sd,n_boot,seed,order_gap_sd,order_gap_min,order_gap_max,mean_d_rsasa,mean_d_nbr,unconditional_mean,recovery_hot,recovery_null,n_hot,n_nonhot,rsasa_hot,rsasa_null,raw_spearman,partial_p,command,mpnn_ckpt,n_orders
PRIMARY_loose_null,40,26,0.4708339735,0.03311017562878789,0.9393601072580644,0.22737894112273577,10000.0,20260803.0,0.06538304565126306,0.38233511503785844,0.5827198041602969,-0.007214586182040042,0.05,0.543099464,,,,,,,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
PRIMARY_loose_null_T293_303,37,24,0.3933522764864865,-0.06784975196246128,0.8806929729040176,0.23687535807422672,10000.0,20260803.0,0.07174840705565559,0.3097009564170966,0.5311713377768928,-0.007179291925643888,0.10810810810810811,0.44404489324324337,,,,,,,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
strict_hot2_null,18,16,0.6787316683333333,0.004577320021929796,1.3884924124142155,0.35111678311525124,10000.0,20260803.0,0.14376907451043913,0.47761256413327324,0.9071386853853861,-0.0075233248594338276,-0.2222222222222222,0.4969193291666666,,,,,,,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
SECONDARY_A_measured_nonhot,113,50,0.448732005619469,0.11717874785851366,0.7692759236132436,0.165822022668014,10000.0,20260803.0,0.05591866058084741,0.3393001617715422,0.5158014770893924,-0.0010948914686353774,-0.12389380530973451,0.4101304236637168,,,,,,,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
SECONDARY_B_any_interface,370,119,-0.05366897315405404,-0.2488040504816375,0.13344319536259577,0.09700661386940236,10000.0,20260803.0,0.036608607644563175,-0.11041166695791321,-0.02181143291495942,-0.00041541806483126153,0.051351351351351354,-0.11114255347567567,,,,,,,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
AAMATCHED_any_interface,38,31,-0.09974937384210525,-0.5367707292597972,0.37347740403174023,0.23164582002195663,10000.0,20260803.0,0.10024619373341066,-0.2813921294322139,0.017288262514691594,0.004787005831519866,0.10526315789473684,-0.07758760528947374,,,,,,,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
HYDROMATCHED_any_interface,170,83,-0.14414539941764706,-0.43092811153128485,0.12939494388826003,0.14212291418838452,10000.0,20260803.0,0.032356037509688004,-0.18722530875135873,-0.10066691172473573,-0.0023908206596721777,0.18823529411764706,-0.14966109292352942,,,,,,,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
SENS_nbr_tol2_any_interface,439,126,-0.07527546413667427,-0.25060116463406934,0.09562056568524947,0.08806887437884041,10000.0,20260803.0,0.03630522115318725,-0.13826811238953626,-0.032178225067862075,-0.0004654680060663394,0.11617312072892938,-0.09870630965831438,,,,,,,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
UNCONTROLLED_PROBIDNET_strict_vs_all_other_iface,6122,140,0.058625570504816205,,,,,,,,,,,,0.49,0.4417725867399519,300.0,5822.0,0.09282457597991843,0.17230243604209028,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
UNCONTROLLED_strict_vs_measured_nonhot_iface,928,140,0.2920842416448406,,,,,,,,,,,,0.49,0.35509554140127386,300.0,628.0,0.09282457597991843,0.18995042170924364,,,python3 src/p0_burial_matched.py --data-dir /scratch/users/cbertsch/ftax/predicted --only-complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --out /scratch/users/cbertsch/ftax/predicted/expA_p0,v_48_020.pt,8
