kind,partial_T,median_irmsd,mean_d,lo,hi,n_cx,n_bb,irmsd_bin,auc_burial,auc_bk,dauroc,p_gt0,frac_degen,n,command
gap_by_T,0.0,1.2125980623458912e-06,0.19509162853161496,-0.32513903357208723,0.706258399653579,31,31.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T,5.0,1105.5019399757755,0.3366360197945308,0.056835967439183434,0.633881355577739,31,186.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T,10.0,25036.342281180303,0.19814468233655855,-0.08217444823640914,0.48938166062057176,31,186.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T,15.0,242561.27981246903,0.2137524805322129,-0.022388470978426046,0.45316456074235567,31,186.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T,20.0,1413980.2149740893,0.2969096900367822,0.07522751881897881,0.523526603419427,31,186.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T,30.0,15015579.094472405,0.16415722447591016,-0.0854435589629155,0.4339865606766872,31,186.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd,,,0.06708882679780517,-0.40061798125502157,0.5107887495864168,31,65.0,<1,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd,,,0.38104691313025896,0.0009126055389950688,0.7715232136458947,11,117.0,1-2,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd,,,0.33308098489788657,-0.16937153944137306,0.8132187174350928,11,58.0,2-3,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd,,,0.15687406790075878,-0.3372203662173089,0.6680939673135674,11,48.0,3-5,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd,,,-0.03681002655489882,-0.5338028529215829,0.4689188191339822,11,40.0,5-10,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd,,,0.2661222495580161,-0.02067600928660895,0.5807226877142156,30,633.0,>10,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T_ifaceok,0.0,1.2199952127916285e-06,0.3034885014782007,-0.19292955720347577,0.799923400755158,29,29.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T_ifaceok,5.0,1.0746466371032557,0.5493329156378303,0.0552896616152591,1.0789225000041447,11,65.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T_ifaceok,10.0,1.5181430846211883,0.38595507013225794,-0.24941396041857924,1.0010608919612083,11,65.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T_ifaceok,15.0,2.1140570114588817,0.25071898648383645,-0.15707934259277093,0.6693279885658714,11,62.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T_ifaceok,20.0,3.5824009713536245,0.3990224112916474,-0.036181471590893424,0.8321579345718324,11,60.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_T_ifaceok,30.0,9.209932636157962,0.4201963460355094,-0.15110898815546978,1.0936043964190911,11,47.0,,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd_ifaceok,,,0.16828555493431735,-0.2692141058215886,0.5882510264768501,29,62.0,<1,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd_ifaceok,,,0.3742881322173395,-0.0016310499032967543,0.7598333536793793,11,116.0,1-2,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd_ifaceok,,,0.37202305913172196,-0.15226257745740981,0.8769978588729194,11,52.0,2-3,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd_ifaceok,,,0.021536249255850137,-0.44938881581285534,0.521876413614622,10,45.0,3-5,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd_ifaceok,,,0.23656127002428876,-0.44987697022684825,0.9918144456590666,11,35.0,5-10,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
gap_by_irmsd_ifaceok,,,0.31792361391708257,-0.31856101108094054,0.9707491758589943,8,18.0,>10,,,,,,,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
kl_by_T,0.0,,,0.0318296507664864,0.14373872754812383,55,,,0.7222510672666436,0.822891427252798,0.10064035998615439,0.9894259818731118,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
kl_by_T,5.0,,,-0.09005258540856315,0.07582924069332951,55,,,0.3332756432444906,0.3120745355947848,-0.021201107649705786,0.35599194360523667,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
kl_by_T,10.0,,,-0.07946133173277312,0.06366822173649822,55,,,0.3555151724933656,0.3458809276566286,-0.009634244836737027,0.42900302114803623,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
kl_by_T,15.0,,,-0.06210328299273596,0.1436250359792201,55,,,0.35046728971962615,0.35470751124956734,0.0042402215299411905,0.5830815709969789,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
kl_by_T,20.0,,,-0.10187992714649971,0.1501135891179183,55,,,0.34983269874235606,0.3626110534210223,0.012778354678666226,0.6233635448136958,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
kl_by_T,30.0,,,-0.15466540265682305,0.1381533092974173,55,,,0.3521691473404869,0.3256028614284066,-0.026566285912080267,0.40584088620342396,0.007000000000000006,1935.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
kl_by_T_ifaceok,0.0,,,0.03023431163663174,0.14292762166263048,50,,,0.7204986149584488,0.8212373037857802,0.10073868882733139,0.9879275653923542,0.006000000000000005,1814.0,python3 src/expC_analyze.py --positions /scratch/users/cbertsch/expC2/scored_positions.csv --backbones /scratch/users/cbertsch/expC2/scored_backbones.csv --binder-map results/expC_complexes.csv --variant SECONDARY_B_any_interface --out results/expC2
