variant,arm,n_pairs,n_dropped,n_complexes,d_pred,d_pred_lo,d_pred_hi,d_cry,d_cry_lo,d_cry_hi,d_committed,selfcheck_maxabs,delta,delta_lo,delta_hi,command
AAMATCHED_any_interface,all,51,0.0,38,0.05960600362745092,-0.4693748287207167,0.5885271229216666,0.28865653239215694,-0.17284908317676942,0.7511692484284087,0.2886565323921569,4.440892098500626e-16,-0.22905052876470589,-0.7059124438052736,0.22616184104217923,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
EXPC_within_binder,all,58,0.0,31,-0.0009721558793104246,-0.3305020058806958,0.31380217016872586,0.2206064843448276,-0.12380086618499384,0.5419805419200542,0.22060648434482763,4.440892098500626e-16,-0.221578640224138,-0.49601203341157407,0.03676793137318168,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
HYDROMATCHED_any_interface,all,188,1.0,84,-0.19072856005319153,-0.45365043021869716,0.06297530554999961,-0.002790887042328042,-0.22500107842238137,0.20775161868609268,-0.002790887042328042,4.440892098500626e-16,-0.1942983273351064,-0.42464959668376645,0.029498245723830085,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
PRIMARY_loose_null,all,46,1.0,30,0.17905071752173915,-0.3940514898179607,0.6384791286304964,0.4200547855319149,-0.05013106653571432,0.8820494798977139,0.4200547855319148,4.440892098500626e-16,-0.262027556826087,-0.7306505354558029,0.15305462497452715,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
PRIMARY_loose_null,ptm_hi(med=0.84),26,,15,0.3268298086923077,-0.3597405233640872,0.8495865150583332,,,,,,-0.1410698947692307,-0.7431179699099378,0.21405136982799994,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
PRIMARY_loose_null,ptm_lo(med=0.84),20,,15,-0.013062101000000026,-0.9340888361578948,0.7915697802582415,,,,,,-0.41927251749999994,-1.2205100153749997,0.3998705488181817,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
PRIMARY_loose_null_T293_303,all,41,1.0,27,0.16609555063414636,-0.3908596489534375,0.6426006982451672,0.3401708190476191,-0.14703031656010457,0.8300000175943452,0.3401708190476191,4.440892098500626e-16,-0.19571420790243907,-0.6683814654791667,0.23461730217393395,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
SECONDARY_A_measured_nonhot,all,128,1.0,57,0.08780960153125004,-0.32583518029197783,0.46189734549804834,0.33725464542635664,0.009431194069979207,0.6518464493736047,0.33725464542635664,4.440892098500626e-16,-0.25635348409375003,-0.5177296360939238,-0.016996803137830366,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
SECONDARY_B_any_interface,all,382,2.0,127,-0.23328294638743458,-0.43996397393403364,-0.03518332594683632,-0.04212257805208331,-0.22160156961901456,0.12915995401122582,-0.04212257805208328,4.440892098500626e-16,-0.19582005064921473,-0.35773213899349543,-0.03906942081189918,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
SECONDARY_B_any_interface,ptm_hi(med=0.84),206,,74,-0.11605072863592233,-0.37952677153793013,0.14018949525924243,,,,,,-0.14184546417475727,-0.3294582004875874,0.02083854617678146,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
SECONDARY_B_any_interface,ptm_lo(med=0.84),176,,53,-0.37049792852840907,-0.6865171518171096,-0.07652290455761115,,,,,,-0.25899485072727274,-0.5430801728015282,0.013734724559272646,python3 src/expA_gap_reuse_pairs.py --pred-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --crystal-positions results/p0_positions.csv --pairs-glob results/p0_dssp_pairs_*.csv --confidence results/expD_confidence.csv --out results/expD_gap
