score,auroc,lo,hi,n,command
burial,0.6473597247405519,0.6141406174961983,0.6802394308459092,5993,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl,0.6754531446287896,0.6374524512963706,0.7157141227976075,5993,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
jsd,0.6739239942324234,0.6364567974277564,0.7136624004227481,5993,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
dH,0.6020765132153002,0.5550046975032046,0.6529426118629587,5993,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
logp_native,0.49534200120054706,0.4447157438413684,0.5481061955889701,5993,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
burial + KL,0.7009576528686268,0.6666548969837816,0.7366339711900222,5993,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
burial + JSD,0.6997456572995118,0.6658996183640233,0.7357170251635441,5993,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
burial + KL + nbr,0.6992094335769495,0.6642324661503936,0.732228702745492,5993,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile1,0.6160355150234481,0.5505511690976497,0.6847429698871446,1199,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile2,0.6403658102062632,0.5736095782809145,0.7086512082136313,1198,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile3,0.6141093474426808,0.5461413866315831,0.6757255655305842,1199,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile4,0.7213462704669497,0.6478664918156498,0.8121016584497665,1198,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
kl_burial_quintile5,0.6463871543264942,0.5035936080328611,0.8045493272794043,1199,python3 src/kl_detector.py --data-dir /scratch/users/cbertsch/ftax/expD --out /scratch/users/cbertsch/ftax/expD/expD_kl --positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --complexes results/pair_complexes.txt --mpnn-weights /scratch/users/cbertsch/ftax/ProteinMPNN/vanilla_model_weights/v_48_020.pt --threads 8
