block,subset,drop_k,dropped,estimate,lo95,hi95,p_gt0,p_lt0,n_units,n_cx,ci_excludes_0,infl_min,infl_max,infl_median,drop_mode,survives,seed,command
expA_of3_SECONDARY_B_dpred,full,0,,-0.19103252711518318,-0.3732655026100725,-0.0037227299070672856,0.0223,0.9777,382,127,True,-0.026723717787183243,0.03614594654257078,0.00022789035988238227,,,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,drop_top3_supporters,3,1JRH_LH_I|1Z7X_W_X|1JTD_A_B,-0.11510417769529085,-0.29051190956774253,0.059019121919844805,0.096,0.904,361,124,False,,,,support,False,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,drop_top5_supporters,5,1JRH_LH_I|1Z7X_W_X|1JTD_A_B|1BD2_ABC_DE|1JTG_A_B,-0.07623078110086455,-0.24550833969308525,0.09772547602865735,0.1924,0.8076,347,122,False,,,,support,False,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,drop_top3_absinfluence,3,2WPT_A_B|1JRH_LH_I|1Z7X_W_X,-0.17313828810555554,-0.33695141686807734,-0.008703856623847811,0.0198,0.9802,360,124,True,,,,abs,True,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,drop_top5_absinfluence,5,2WPT_A_B|1JRH_LH_I|1Z7X_W_X|1K8R_A_B|1JTD_A_B,-0.177350038504298,-0.329609671485328,-0.01750590581352963,0.0137,0.9863,349,122,True,,,,abs,True,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expD_af2_SECONDARY_B_dpred,full,0,,-0.23328294638743458,-0.43996397393403375,-0.035183325946836284,0.0096,0.9904,382,127,True,-0.034903265800767885,0.03269352842539963,-0.00015802218795948897,,,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expD_af2_SECONDARY_B_dpred,drop_top3_supporters,3,1JRH_LH_I|1JTD_A_B|1Z7X_W_X,-0.13471275476454295,-0.31414988258263016,0.040955819378715855,0.069,0.931,361,124,False,,,,support,False,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expD_af2_SECONDARY_B_dpred,drop_top5_supporters,5,1JRH_LH_I|1JTD_A_B|1Z7X_W_X|1VFB_AB_C|3QIB_ABP_CD,-0.0886029800681818,-0.2586886281514455,0.08089060547797884,0.156,0.844,352,122,False,,,,support,False,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expD_af2_SECONDARY_B_dpred,drop_top3_absinfluence,3,1JRH_LH_I|2WPT_A_B|1JTD_A_B,-0.19688590675,-0.3744920811656372,-0.01875373099648878,0.0126,0.9874,360,124,True,,,,abs,True,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expD_af2_SECONDARY_B_dpred,drop_top5_absinfluence,5,1JRH_LH_I|2WPT_A_B|1JTD_A_B|1Z7X_W_X|1DAN_HL_UT,-0.18935529190751446,-0.36450426188313845,-0.019694720976304026,0.0126,0.9874,346,122,True,,,,abs,True,20260803,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --af2-positions /scratch/users/cbertsch/ftax/expD/expD_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
