agg,metric,contrast,higher_better,delta,lo,hi,p_gt0,n,seed
mean_over_k,iptm,L_minus_random,True,0.1875,0.0994,0.2789,1.0,21,20260803
mean_over_k,iptm,L_minus_wt,True,-0.1744,-0.29,-0.0736,0.0,21,20260803
mean_over_k,interface_pae,L_minus_random,False,-5.2117,-7.5958,-2.905,0.0,20,20260803
mean_over_k,interface_pae,L_minus_wt,False,4.1614,1.3822,7.3077,0.9998,20,20260803
mean_over_k,interface_plddt,L_minus_random,True,7.3257,3.4415,11.5888,1.0,21,20260803
mean_over_k,interface_plddt,L_minus_wt,True,-9.3536,-13.7933,-5.1036,0.0,21,20260803
mean_over_k,ptm,L_minus_random,True,0.079,0.0398,0.1222,1.0,21,20260803
mean_over_k,ptm,L_minus_wt,True,-0.0703,-0.1135,-0.0319,0.0002,21,20260803
mean_over_k,composite,L_minus_random,True,0.6618,0.3676,0.955,1.0,20,20260803
mean_over_k,composite,L_minus_wt,True,-0.6634,-1.0496,-0.3204,0.0,20,20260803
best_of_k,iptm,L_minus_random,True,0.1462,0.0495,0.2481,0.9986,21,20260803
best_of_k,iptm,L_minus_wt,True,-0.1124,-0.2248,-0.0119,0.0118,21,20260803
best_of_k,interface_pae,L_minus_random,False,-3.8435,-6.626,-1.1815,0.0022,20,20260803
best_of_k,interface_pae,L_minus_wt,False,2.482,-0.5883,5.845,0.9424,20,20260803
best_of_k,interface_plddt,L_minus_random,True,5.7979,1.8633,9.8538,0.9988,21,20260803
best_of_k,interface_plddt,L_minus_wt,True,-5.9111,-10.5786,-1.4131,0.0038,21,20260803
best_of_k,ptm,L_minus_random,True,0.0686,0.0252,0.1138,0.9986,21,20260803
best_of_k,ptm,L_minus_wt,True,-0.0433,-0.0862,-0.0029,0.0178,21,20260803
best_of_k,composite,L_minus_random,True,0.5301,0.1993,0.8611,0.9998,20,20260803
best_of_k,composite,L_minus_wt,True,-0.4414,-0.8209,-0.0778,0.0078,20,20260803
