agg,metric,contrast,higher_better,delta,lo,hi,p_gt0,n,seed
mean_over_k,iptm,L_minus_random,True,0.2261,0.1718,0.2825,1.0,60,20260803
mean_over_k,iptm,L_minus_wt,True,-0.0971,-0.1404,-0.0559,0.0,60,20260803
mean_over_k,interface_pae,L_minus_random,False,-5.2677,-6.5108,-3.9825,0.0,58,20260803
mean_over_k,interface_pae,L_minus_wt,False,1.5495,0.2892,2.8568,0.991,58,20260803
mean_over_k,interface_plddt,L_minus_random,True,9.4715,7.1277,11.9092,1.0,60,20260803
mean_over_k,interface_plddt,L_minus_wt,True,-6.9513,-8.9147,-5.0857,0.0,60,20260803
mean_over_k,ptm,L_minus_random,True,0.08,0.0578,0.103,1.0,60,20260803
mean_over_k,ptm,L_minus_wt,True,-0.0342,-0.0492,-0.0198,0.0,60,20260803
mean_over_k,composite,L_minus_random,True,0.7791,0.5991,0.9553,1.0,58,20260803
mean_over_k,composite,L_minus_wt,True,-0.3881,-0.5419,-0.2432,0.0,58,20260803
best_of_k,iptm,L_minus_random,True,0.1952,0.134,0.2572,1.0,60,20260803
best_of_k,iptm,L_minus_wt,True,-0.0195,-0.0613,0.0202,0.1788,60,20260803
best_of_k,interface_pae,L_minus_random,False,-4.4827,-5.9037,-3.0534,0.0,58,20260803
best_of_k,interface_pae,L_minus_wt,False,-0.6985,-2.4153,0.6952,0.1858,58,20260803
best_of_k,interface_plddt,L_minus_random,True,8.5582,5.8568,11.3755,1.0,60,20260803
best_of_k,interface_plddt,L_minus_wt,True,-2.9137,-4.9774,-1.0398,0.0,60,20260803
best_of_k,ptm,L_minus_random,True,0.0767,0.0507,0.1018,1.0,60,20260803
best_of_k,ptm,L_minus_wt,True,-0.0018,-0.0182,0.016,0.4058,60,20260803
best_of_k,composite,L_minus_random,True,0.7111,0.5043,0.9162,1.0,58,20260803
best_of_k,composite,L_minus_wt,True,-0.0897,-0.2488,0.0685,0.1382,58,20260803
