agg,metric,contrast,higher_better,delta,lo,hi,p_gt0,n,seed
mean_over_k,iptm,L_minus_random,True,0.2352,0.1989,0.2721,1.0,120,20260803
mean_over_k,iptm,L_minus_wt,True,-0.0838,-0.1156,-0.0534,0.0,120,20260803
mean_over_k,interface_pae,L_minus_random,False,-5.6886,-6.5807,-4.7396,0.0,117,20260803
mean_over_k,interface_pae,L_minus_wt,False,1.3354,0.4347,2.171,0.9972,117,20260803
mean_over_k,interface_plddt,L_minus_random,True,10.2523,8.6272,11.9324,1.0,120,20260803
mean_over_k,interface_plddt,L_minus_wt,True,-6.2607,-7.6092,-4.9709,0.0,120,20260803
mean_over_k,ptm,L_minus_random,True,0.0802,0.0651,0.0957,1.0,120,20260803
mean_over_k,ptm,L_minus_wt,True,-0.0268,-0.0379,-0.0153,0.0,120,20260803
mean_over_k,composite,L_minus_random,True,0.8197,0.6986,0.9448,1.0,117,20260803
mean_over_k,composite,L_minus_wt,True,-0.3319,-0.4359,-0.2278,0.0,117,20260803
best_of_k,iptm,L_minus_random,True,0.1926,0.1467,0.2371,1.0,120,20260803
best_of_k,iptm,L_minus_wt,True,-0.0058,-0.0352,0.0233,0.346,120,20260803
best_of_k,interface_pae,L_minus_random,False,-4.6577,-5.741,-3.6053,0.0,117,20260803
best_of_k,interface_pae,L_minus_wt,False,-0.6832,-1.7052,0.2705,0.0882,117,20260803
best_of_k,interface_plddt,L_minus_random,True,8.6355,6.7944,10.5026,1.0,120,20260803
best_of_k,interface_plddt,L_minus_wt,True,-2.189,-3.4788,-0.9223,0.0004,120,20260803
best_of_k,ptm,L_minus_random,True,0.0705,0.053,0.089,1.0,120,20260803
best_of_k,ptm,L_minus_wt,True,0.0023,-0.0096,0.0153,0.6352,120,20260803
best_of_k,composite,L_minus_random,True,0.6948,0.5531,0.8362,1.0,117,20260803
best_of_k,composite,L_minus_wt,True,-0.0458,-0.1496,0.0606,0.2054,117,20260803
