agg,metric,contrast,higher_better,delta,lo,hi,p_gt0,n,seed
mean_over_k,iptm,L_minus_random,True,0.2444,0.1944,0.2949,1.0,60,20260803
mean_over_k,iptm,L_minus_wt,True,-0.0705,-0.1131,-0.0268,0.0008,60,20260803
mean_over_k,interface_pae,L_minus_random,False,-6.1022,-7.4648,-4.8152,0.0,59,20260803
mean_over_k,interface_pae,L_minus_wt,False,1.125,-0.1649,2.3126,0.9578,59,20260803
mean_over_k,interface_plddt,L_minus_random,True,11.0331,8.7971,13.2823,1.0,60,20260803
mean_over_k,interface_plddt,L_minus_wt,True,-5.5701,-7.356,-3.7739,0.0,60,20260803
mean_over_k,ptm,L_minus_random,True,0.0804,0.0592,0.1022,1.0,60,20260803
mean_over_k,ptm,L_minus_wt,True,-0.0194,-0.0347,-0.0028,0.0124,60,20260803
mean_over_k,composite,L_minus_random,True,0.8635,0.6998,1.0238,1.0,59,20260803
mean_over_k,composite,L_minus_wt,True,-0.2799,-0.4278,-0.1321,0.0,59,20260803
best_of_k,iptm,L_minus_random,True,0.19,0.13,0.2525,1.0,60,20260803
best_of_k,iptm,L_minus_wt,True,0.0078,-0.0313,0.0505,0.6364,60,20260803
best_of_k,interface_pae,L_minus_random,False,-4.8297,-6.4102,-3.2748,0.0,59,20260803
best_of_k,interface_pae,L_minus_wt,False,-0.6682,-2.0187,0.5218,0.1464,59,20260803
best_of_k,interface_plddt,L_minus_random,True,8.7128,6.3329,11.1596,1.0,60,20260803
best_of_k,interface_plddt,L_minus_wt,True,-1.4643,-3.0432,0.1865,0.0432,60,20260803
best_of_k,ptm,L_minus_random,True,0.0643,0.0403,0.0897,1.0,60,20260803
best_of_k,ptm,L_minus_wt,True,0.0063,-0.0107,0.0268,0.7442,60,20260803
best_of_k,composite,L_minus_random,True,0.6836,0.4878,0.8804,1.0,59,20260803
best_of_k,composite,L_minus_wt,True,-0.0053,-0.1454,0.1461,0.461,59,20260803
