agg,metric,contrast,higher_better,delta,lo,hi,p_gt0,n,seed
mean_over_k,iptm,L_minus_random,True,0.1387,0.1009,0.1773,1.0,60,20260803
mean_over_k,iptm,L_minus_wt,True,-0.0502,-0.0859,-0.0108,0.008,60,20260803
mean_over_k,interface_pae,L_minus_random,False,-4.092,-5.1919,-3.0052,0.0,58,20260803
mean_over_k,interface_pae,L_minus_wt,False,1.361,0.1195,2.5167,0.9824,58,20260803
mean_over_k,interface_plddt,L_minus_random,True,5.6778,4.2285,7.1544,1.0,60,20260803
mean_over_k,interface_plddt,L_minus_wt,True,-6.6848,-7.9853,-5.4285,0.0,60,20260803
mean_over_k,ptm,L_minus_random,True,0.0481,0.0328,0.0642,1.0,60,20260803
mean_over_k,ptm,L_minus_wt,True,-0.0223,-0.0375,-0.0055,0.0054,60,20260803
mean_over_k,composite,L_minus_random,True,0.6765,0.5291,0.8259,1.0,58,20260803
mean_over_k,composite,L_minus_wt,True,-0.4116,-0.5661,-0.2462,0.0,58,20260803
best_of_k,iptm,L_minus_random,True,0.0808,0.0493,0.1142,1.0,60,20260803
best_of_k,iptm,L_minus_wt,True,0.0066,-0.0222,0.0429,0.6418,60,20260803
best_of_k,interface_pae,L_minus_random,False,-2.4853,-3.6104,-1.4405,0.0,58,20260803
best_of_k,interface_pae,L_minus_wt,False,-0.5065,-1.7489,0.5365,0.1804,58,20260803
best_of_k,interface_plddt,L_minus_random,True,4.7491,3.3274,6.1535,1.0,60,20260803
best_of_k,interface_plddt,L_minus_wt,True,-3.5766,-4.6669,-2.5391,0.0,60,20260803
best_of_k,ptm,L_minus_random,True,0.0291,0.015,0.0437,1.0,60,20260803
best_of_k,ptm,L_minus_wt,True,0.0012,-0.0122,0.0165,0.542,60,20260803
best_of_k,composite,L_minus_random,True,0.4938,0.3583,0.6306,1.0,58,20260803
best_of_k,composite,L_minus_wt,True,-0.1162,-0.2304,0.0149,0.0396,58,20260803
