agg,metric,contrast,higher_better,delta,lo,hi,p_gt0,n,seed
mean_over_k,iptm,L_minus_random,True,0.1578,0.1023,0.215,1.0,60,20260803
mean_over_k,iptm,L_minus_wt,True,-0.0698,-0.1138,-0.0257,0.0012,60,20260803
mean_over_k,interface_pae,L_minus_random,False,-4.1623,-5.6918,-2.6757,0.0,58,20260803
mean_over_k,interface_pae,L_minus_wt,False,0.8313,-0.5987,2.1442,0.8812,58,20260803
mean_over_k,interface_plddt,L_minus_random,True,5.0526,2.5582,7.4318,1.0,60,20260803
mean_over_k,interface_plddt,L_minus_wt,True,-5.4898,-7.3061,-3.8658,0.0,60,20260803
mean_over_k,ptm,L_minus_random,True,0.0635,0.0397,0.0877,1.0,60,20260803
mean_over_k,ptm,L_minus_wt,True,-0.0226,-0.0384,-0.0059,0.005,60,20260803
mean_over_k,composite,L_minus_random,True,0.5247,0.3262,0.7138,1.0,58,20260803
mean_over_k,composite,L_minus_wt,True,-0.287,-0.4367,-0.1371,0.0002,58,20260803
best_of_k,iptm,L_minus_random,True,0.1043,0.0475,0.1612,1.0,60,20260803
best_of_k,iptm,L_minus_wt,True,-0.0,-0.041,0.045,0.4768,60,20260803
best_of_k,interface_pae,L_minus_random,False,-2.5334,-4.321,-0.748,0.0036,58,20260803
best_of_k,interface_pae,L_minus_wt,False,-0.9941,-2.6533,0.3553,0.0896,58,20260803
best_of_k,interface_plddt,L_minus_random,True,3.5404,1.31,5.7574,0.9984,60,20260803
best_of_k,interface_plddt,L_minus_wt,True,-1.9189,-3.7589,-0.2422,0.0126,60,20260803
best_of_k,ptm,L_minus_random,True,0.0428,0.0183,0.0685,1.0,60,20260803
best_of_k,ptm,L_minus_wt,True,0.004,-0.012,0.022,0.6604,60,20260803
best_of_k,composite,L_minus_random,True,0.345,0.146,0.5481,0.9998,58,20260803
best_of_k,composite,L_minus_wt,True,-0.0272,-0.1825,0.1337,0.3564,58,20260803
