metric,contrast,higher_better,n,mean_a,mean_b,delta,lo,hi,p_gt0,seed
iptm,naive-random,True,60,0.7213,0.4609,0.2603,0.2045,0.3173,1.0,20260803
iptm,L-naive,True,60,0.6871,0.7213,-0.0342,-0.0659,-0.0058,0.0076,20260803
iptm,L-random,True,60,0.6871,0.4609,0.2261,0.1712,0.2808,1.0,20260803
interface_pae,naive-random,False,58,8.4207,13.8289,-5.4083,-6.7544,-4.0395,0.0,20260803
interface_pae,L-naive,False,58,8.5612,8.4207,0.1405,-0.6433,0.934,0.6426,20260803
interface_pae,L-random,False,58,8.5612,13.8289,-5.2677,-6.5476,-3.974,0.0,20260803
interface_plddt,naive-random,True,60,86.3104,73.4194,12.8909,10.4383,15.3008,1.0,20260803
interface_plddt,L-naive,True,60,82.8909,86.3104,-3.4195,-4.8713,-2.1488,0.0,20260803
interface_plddt,L-random,True,60,82.8909,73.4194,9.4715,7.0675,11.9481,1.0,20260803
ptm,naive-random,True,60,0.8288,0.7397,0.0891,0.0676,0.1106,1.0,20260803
ptm,L-naive,True,60,0.8197,0.8288,-0.0091,-0.0201,0.0015,0.0464,20260803
ptm,L-random,True,60,0.8197,0.7397,0.08,0.0577,0.1022,1.0,20260803
composite,naive-random,True,58,0.285,-0.6474,0.9325,0.7446,1.1203,1.0,20260803
composite,L-naive,True,58,0.1347,0.285,-0.1503,-0.2584,-0.052,0.0008,20260803
composite,L-random,True,58,0.1347,-0.6474,0.7822,0.6011,0.9649,1.0,20260803
