model,tier,flank,n,gap,lo,hi,command
mif,SECONDARY_B_any_interface,2,376,-0.1312371122844452,-0.3506123903280481,0.08630891409421307,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mif,SECONDARY_B_any_interface,6,338,-0.12416696869700514,-0.3633722319347126,0.11094413097073008,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mif,SECONDARY_B_any_interface,11,318,-0.09417289845618979,-0.33477983377564097,0.14791431378230135,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mif,SENS_nbr_tol2_any_interface,2,457,-0.17270097829228265,-0.38395518635444614,0.03734188478105997,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mif,SENS_nbr_tol2_any_interface,6,410,-0.14450058804560337,-0.38046537006780456,0.07588165667709525,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mif,SENS_nbr_tol2_any_interface,11,380,-0.1392536244268078,-0.38129070440853075,0.09348195864037367,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mif,PRIMARY_loose_null,2,47,0.5556868062790562,0.10942449091931426,0.9818811028963697,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mif,PRIMARY_loose_null,6,43,0.5087288240468952,0.06268394051221064,0.960228510037809,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mif,PRIMARY_loose_null,11,43,0.5087288240468952,0.06268394051221064,0.960228510037809,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,SECONDARY_B_any_interface,2,376,-0.00847267506128929,-0.1958873074308857,0.1843958962786723,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,SECONDARY_B_any_interface,6,338,-0.008191617128588045,-0.21230517972345164,0.1936558441915315,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,SECONDARY_B_any_interface,11,318,0.03367117349550409,-0.1755343115050363,0.24102978263390662,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,SENS_nbr_tol2_any_interface,2,457,-0.03218258002719941,-0.20183243938981382,0.1390292047636414,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,SENS_nbr_tol2_any_interface,6,410,-0.00935649301220731,-0.18966208998850445,0.17715738069909986,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,SENS_nbr_tol2_any_interface,11,380,0.01911369781745108,-0.17013388212884456,0.2076352847402858,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,PRIMARY_loose_null,2,47,0.4330785983103387,-0.07251891882681263,0.9187177320704887,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,PRIMARY_loose_null,6,43,0.3573592823258666,-0.13612088237120235,0.8324742296497736,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_soluble,PRIMARY_loose_null,11,43,0.3573592823258666,-0.13612088237120235,0.8324742296497736,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_vanilla,SECONDARY_B_any_interface,2,377,-0.011726333267904487,-0.18497180043514058,0.1627906065976069,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_vanilla,SECONDARY_B_any_interface,6,339,-0.013069347849557515,-0.20783077112756096,0.18351516563887432,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_vanilla,SECONDARY_B_any_interface,11,319,0.03380796297492163,-0.1619511727971591,0.2303438082557361,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_vanilla,SENS_nbr_tol2_any_interface,2,459,0.010555788139433551,-0.1567703648373098,0.1780120539083369,python3 src/junction_sensitivity.py --out results/junction_sensitivity
mpnn_vanilla,SENS_nbr_tol2_any_interface,6,412,0.04373046103640778,-0.1339550898650755,0.2258372126209018,python3 src/junction_sensitivity.py --out results/junction_sensitivity
