fixture,test,kl_sauroc,kl_lo,kl_hi,leak_sauroc,diff,diff_lo,diff_hi,p_gt0,verdict,note,seed,n_boot,command
SKEMPI_crystal,leakage_bench_10bins,0.5953,0.5565,0.6337,0.537,0.0582,0.011,0.1041,0.9925,KL BEATS leakage,,20260803,2000,python3 src/kl_readout_audit2.py
SKEMPI_crystal,leakage_bench_20bins,0.5921,0.5546,0.6297,0.5321,0.06,0.0172,0.1045,0.998,KL BEATS leakage,,20260803,2000,python3 src/kl_readout_audit2.py
SKEMPI_crystal,leakage_bench_40bins,0.5902,0.5518,0.63,0.5211,0.0691,0.0193,0.1212,0.997,KL BEATS leakage,,20260803,2000,python3 src/kl_readout_audit2.py
SKEMPI_crystal,leakage_bench_80bins,0.5889,0.549,0.6296,0.4992,0.0897,0.0375,0.1423,0.9995,KL BEATS leakage,,20260803,2000,python3 src/kl_readout_audit2.py
SKEMPI_crystal,leakage_bench_160bins,0.5854,0.5451,0.6271,0.5139,0.0715,0.0209,0.1239,0.9945,KL BEATS leakage,,20260803,2000,python3 src/kl_readout_audit2.py
SKEMPI_crystal,committed_estimator_vs_calibrated_null,0.0074,,,-0.0223,0.0297,0.0156,0.043,1.0,KL BEATS noise floor,"noise floor CI [-0.0369,-0.0101] over 200 draws",20260803,2000,python3 src/kl_readout_audit2.py
SKEMPI_crystal,reductio_duplicate_dsasa,-0.0011,,,,,,,,"an estimator that penalises duplicating its own feature is measuring the combiner, not the feature",,20260803,2000,python3 src/kl_readout_audit2.py
SKEMPI_crystal,reductio_duplicate_burial,-0.0011,,,,,,,,"an estimator that penalises duplicating its own feature is measuring the combiner, not the feature",,20260803,2000,python3 src/kl_readout_audit2.py
Bennett_denovo,leakage_bench_10bins,0.5024,0.4758,0.5299,0.5481,-0.0457,-0.0812,-0.0087,0.007,not beyond leakage,,20260803,2000,python3 src/kl_readout_audit2.py
Bennett_denovo,leakage_bench_20bins,0.4975,0.472,0.5244,0.5372,-0.0397,-0.0788,-0.0033,0.0175,not beyond leakage,,20260803,2000,python3 src/kl_readout_audit2.py
Bennett_denovo,leakage_bench_40bins,0.4961,0.4681,0.5239,0.5278,-0.0317,-0.0749,0.0131,0.075,not beyond leakage,,20260803,2000,python3 src/kl_readout_audit2.py
Bennett_denovo,leakage_bench_80bins,0.4933,0.4612,0.5263,0.5065,-0.0132,-0.0619,0.0376,0.3075,not beyond leakage,,20260803,2000,python3 src/kl_readout_audit2.py
Bennett_denovo,leakage_bench_160bins,0.5007,0.4628,0.5405,0.5007,0.0,-0.063,0.0611,0.4935,not beyond leakage,,20260803,2000,python3 src/kl_readout_audit2.py
Bennett_denovo,committed_estimator_vs_calibrated_null,-0.0123,,,-0.0228,0.0105,0.0013,0.0201,0.985,KL BEATS noise floor,"noise floor CI [-0.0356,-0.0108] over 200 draws",20260803,2000,python3 src/kl_readout_audit2.py
Bennett_denovo,reductio_duplicate_dsasa,-0.0195,,,,,,,,"an estimator that penalises duplicating its own feature is measuring the combiner, not the feature",,20260803,2000,python3 src/kl_readout_audit2.py
Bennett_denovo,reductio_duplicate_burial,-0.0008,,,,,,,,"an estimator that penalises duplicating its own feature is measuring the combiner, not the feature",,20260803,2000,python3 src/kl_readout_audit2.py
