metric,ranker,estimate,lo,hi,p_gt0,abs_kcal,n_cx,abs_kcal_lo,abs_kcal_hi,seed,nboot,ddg_col,command
energy_capture@k3,nbr,0.4952393739928746,0.43847276942706254,0.5535214494080991,,5.5698268662200565,111,,,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
energy_capture@k3,kl,0.49703572872340374,0.43961921026252,0.5550259769176796,,5.613598984825671,111,,,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
energy_capture@k3,klbur,0.5133454804135059,0.45429609323905185,0.5717171278094468,,5.894292981217685,111,,,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
energy_capture@k3,random_expected,0.4256753513247527,0.37196126453803174,0.48236959954985126,,,111,,,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
DELTA_energy_capture@k3,kl_minus_nbr,0.0017963547305290396,-0.022371639196200926,0.026596792162508834,0.5562,0.04377211860561527,111,-0.323469739745017,0.4129767992965744,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
DELTA_energy_capture@k3,klbur_minus_nbr,0.018106106420631225,-0.0024905122903919265,0.03940392593505565,0.9558,0.3244661149976287,111,0.0128049223671901,0.6478067882394898,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
energy_capture@k25pct,nbr,0.3870113088369192,0.35706764050202566,0.41800958002217703,,5.973746674443063,111,,,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
energy_capture@k25pct,kl,0.3620283533577014,0.3353874351840437,0.3900368420568364,,5.804738061053188,111,,,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
energy_capture@k25pct,klbur,0.3806971045034026,0.34862436712171824,0.412820229180677,,5.9827519387382395,111,,,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
energy_capture@k25pct,random_expected,0.29517480219856557,0.2869051873359971,0.30352430021636695,,,111,,,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
DELTA_energy_capture@k25pct,kl_minus_nbr,-0.024982955479217687,-0.055693392846485494,0.005081475246844825,0.0511,-0.16900861338987588,111,-0.6200593535664499,0.29923412356520024,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
DELTA_energy_capture@k25pct,klbur_minus_nbr,-0.006314204333516542,-0.031525308304082324,0.01838250146708624,0.3073,0.00900526429517613,111,-0.36479406826028965,0.3993413235604067,20260803,10000,ddG,python3 src/kl_triage_energy.py --ddg ddG --out results/kl_triage_energy.csv
