metric,ranker,estimate,lo,hi,p_gt0,n_cx,seed,nboot,command
capture@k3,burial_score,0.12655469530469532,0.08306524031524032,0.17433140886890885,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
capture@k3,kl,0.20625804750804755,0.14785087759462756,0.2713057747807747,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
capture@k3,klbur,0.20967868242868243,0.1515558379120879,0.27447329545454546,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
capture@k3,random_expected,0.07860949090326733,0.07347345762770144,0.0841585467816491,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
DELTA_capture@k3,kl_minus_burial_score,0.07970335220335223,0.007331418581418572,0.15369480519480508,0.9845,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
DELTA_capture@k3,klbur_minus_burial_score,0.08312398712398712,0.012996407758907761,0.15537322954822952,0.9906,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
capture@k25pct,burial_score,0.39866755466755466,0.3258585137085137,0.4744574356199357,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
capture@k25pct,kl,0.5364087024087024,0.4576058066933067,0.6150008116883117,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
capture@k25pct,klbur,0.505256438006438,0.4299110091297591,0.5814667825230325,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
capture@k25pct,random_expected,0.260304052350214,0.25863085665451735,0.26206210946352715,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
DELTA_capture@k25pct,kl_minus_burial_score,0.13774114774114776,0.03639975579975581,0.2375700396825396,0.9961,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
DELTA_capture@k25pct,klbur_minus_burial_score,0.10658888333888333,0.02851237165612166,0.18458367951492946,0.9964,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
AUROC_is_hot,burial_score,0.6547398025353988,0.6181018880126616,0.6904366202999891,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
AUROC_is_hot,kl,0.7139270368367191,0.6735766894438637,0.7530168895223688,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
AUROC_is_hot,klbur,0.7168795001823561,0.6770388544447182,0.7559225639343156,,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
DELTA_AUROC_is_hot,kl_minus_burial_score,0.05918723430132026,0.013929535899242566,0.10214665369658041,0.9948,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
DELTA_AUROC_is_hot,klbur_minus_burial_score,0.062139697646957266,0.03782984310718052,0.0869880396226893,1.0,100,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
AUROC_is_hot_MODEL_UNCERTAIN,burial_score,0.6920497723235137,0.6461727904369139,0.7361036840255596,,66,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
AUROC_is_hot_MODEL_UNCERTAIN,kl,0.6731880429081072,0.6151075672296481,0.72957097430733,,66,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
DELTA_AUROC_MODEL_UNCERTAIN,kl_minus_burial,-0.01886172941540635,-0.08265299110613625,0.04152818132795366,0.271,66,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/predicted/expA_kl_joined.csv --out results/kl_triage_expA.csv
