metric,ranker,estimate,lo,hi,p_gt0,n_cx,seed,nboot,command
capture@k3,burial_score,0.13909163935479724,0.08791510025062657,0.19633902866139707,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
capture@k3,kl,0.19345864661654133,0.1321331453634085,0.2599625104427736,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
capture@k3,klbur,0.22582706766917293,0.16110682957393482,0.2945509607351711,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
capture@k3,random_expected,0.08086137712637206,0.07536528059880104,0.08689583838356761,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
DELTA_capture@k3,kl_minus_burial_score,0.0543670072617441,-0.02077397018186492,0.13350458678748145,0.917,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
DELTA_capture@k3,klbur_minus_burial_score,0.08673542831437567,0.018454308849045687,0.15793760041128463,0.9932,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
capture@k25pct,burial_score,0.40720519246835035,0.33679312062206795,0.480838120943384,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
capture@k25pct,kl,0.522476383265857,0.4434728327228327,0.6003045112781954,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
capture@k25pct,klbur,0.5296131354026091,0.45403364179679967,0.6054483484351906,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
capture@k25pct,random_expected,0.26118981747096565,0.25958380218723837,0.2628955887970127,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
DELTA_capture@k25pct,kl_minus_burial_score,0.1152711907975066,0.015943400167084367,0.21366342940685046,0.9887,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
DELTA_capture@k25pct,klbur_minus_burial_score,0.1224079429342587,0.04658593599383073,0.19935698219908746,0.9994,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
AUROC_is_hot,burial_score,0.6604417941678996,0.6208423466484768,0.6999667675644087,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
AUROC_is_hot,kl,0.7076580705822108,0.6637588977839689,0.7491488108460616,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
AUROC_is_hot,klbur,0.7158347435938556,0.6741290701858834,0.7563354699877552,,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
DELTA_AUROC_is_hot,kl_minus_burial_score,0.047216276414311135,-0.004206829808410776,0.09641480435054237,0.9646,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
DELTA_AUROC_is_hot,klbur_minus_burial_score,0.055392949425955795,0.02651989380472996,0.08488066507080819,1.0,95,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
AUROC_is_hot_MODEL_UNCERTAIN,burial_score,0.6383006561465447,0.5824757362613461,0.6944398101957588,,68,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
AUROC_is_hot_MODEL_UNCERTAIN,kl,0.6612216585506914,0.5995942037441194,0.7213079500013081,,68,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
DELTA_AUROC_MODEL_UNCERTAIN,kl_minus_burial,0.022921002404146698,-0.04916670560058408,0.088368752878775,0.7498,68,20260803,10000,python3 src/kl_triage.py --joined /scratch/users/cbertsch/ftax/expD/expD_kl_joined.csv --out results/kl_triage_expD.csv
