fixture,test,stat,n,note,lo,hi,p_gt0,verdict,n_groups,n_pos,n_parsed,n_unique,n_mapped,map_rate,wt_match_rate_of_mapped,wt_match_rate_overall,wt_match_rate_shuffled_within_complex,n_pairs,n_positions,n_designs,frac_P_nat_positive,median_P_nat,native_aa_match_restype,n_mapped_geometry,verify_n_designs,verify_n_positions,verify_max_abs_err,verify_median_abs_err,seed,command
SKEMPI,positive_control_rescoring_reproduces_committed_KL,5.424716447710587e-07,5742.0,residue agreement 1.000; float32 MPNN precision,,,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,algebraic_identity_KL_equals_EP_L_plus_r_wt,8.912231193036746e-07,13401.0,scalar KL is ONE functional of the leverage vector L,,,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,theorem_confidence_blind_to_leverage,0.2818,904.0,"median |ΔL_rms| within P-matched pairs (TV<0.02) = 0.2818 vs overall SD(L_rms) = 0.9547; median |Δconfidence| within pairs = 0.0044; Spearman(confidence, L_rms) = +0.075",,,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,spearman_confidence_vs_leverage_magnitude,0.0746,13401.0,,,,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,CPI_position_level(leverage L(->Ala) | burial+nbr+dSASA),0.00484,13401.0,,0.00328,0.00649,1.0,ADDS (CI>0),343.0,327.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,robustness_drop3_influential_complexes(CPI_position_level(L(->Ala) | burial+nbr+dSASA)),0.0041,13185.0,"dropped ['1KBH_A_B', '3EQS_A_B', '4BFI_A_B']",0.00282,0.0055,1.0,SURVIVES,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,within_stratum_AUROC_position(-L(->Ala)) for is_hot,0.6239,13401.0,,0.5891,0.6626,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,within_stratum_AUROC_position(-scalar KL) for is_hot,0.4021,13401.0,,0.3629,0.4386,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,within_stratum_AUROC_position(-confidence) for is_hot,0.5291,13401.0,,0.4918,0.5643,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,CPI_position_level(leverage |L| rms | burial+nbr+dSASA),0.00216,13401.0,,0.00125,0.00312,1.0,ADDS (CI>0),343.0,327.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,CPI_position_level(leverage min_a L | burial+nbr+dSASA),0.002,13401.0,,0.0011,0.00297,1.0,ADDS (CI>0),343.0,327.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,CPI_position_level(scalar KL [ref +0.002] | burial+nbr+dSASA),0.00093,13401.0,,0.00028,0.00163,0.999,ADDS (CI>0),343.0,327.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,CPI_position_level(confidence [ref 0.000] | burial+nbr+dSASA),0.00019,13401.0,,-0.00025,0.00061,0.802,conditionally INDEPENDENT (CI spans 0),343.0,327.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,CPI_position_level(negentropy of P | burial+nbr+dSASA),0.00084,13401.0,,0.00022,0.00151,0.996,ADDS (CI>0),343.0,327.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI,positive_control_mutation_mapping,,,,,,,,,,4956.0,4193.0,4193.0,1.0,1.0,1.0,0.18817076079179584,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),spearman_L_vs_ddG,-0.301,2949.0,,-0.3542,-0.2434,0.0,,285.0,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),spearman_confidence_vs_ddG,0.1843,2949.0,,,,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),spearman_scalarKL_vs_ddG,0.2155,2949.0,,,,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),spearman_logP(mut|cx)_vs_ddG,-0.2352,2949.0,,,,,,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(LEVERAGE L (full) | burial+nbr+dSASA),0.05884,2949.0,,0.04569,0.07268,1.0,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),robustness_drop3_influential_complexes(CPI(L | burial+nbr+dSASA)),0.05178,2417.0,"dropped ['1CHO_EFG_I', '1R0R_E_I', '3SGB_E_I']",0.04111,0.06324,1.0,SURVIVES,,,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(LEVERAGE L (full) | burial+nbr+dSASA+BLOSUM+dVol+dHydro),0.04684,2949.0,,0.03428,0.06029,1.0,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(LEVERAGE L (full) | burial+nbr+dSASA+confidence),0.0558,2949.0,,0.04264,0.06978,1.0,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(LEVERAGE L (full) | burial+nbr+dSASA+scalarKL),0.06459,2949.0,,0.05123,0.07837,1.0,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(LEVERAGE L (full) | ALL: geom+subst+confidence+scalarKL),0.05042,2949.0,,0.03796,0.0637,1.0,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(confidence | burial+nbr+dSASA),0.01003,2949.0,,0.0046,0.01557,1.0,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(scalar KL | burial+nbr+dSASA),0.00628,2949.0,,0.00222,0.01022,0.999,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(logP(mut|complex) | burial+nbr+dSASA),0.03182,2949.0,,0.02466,0.03914,1.0,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
SKEMPI (natural),CPI(confidence | burial+nbr+dSASA+BLOSUM+dVol+dHydro),0.01298,2949.0,,0.00691,0.01972,1.0,ADDS (CI>0),285.0,1432.0,,,,,,,,,,,,,,,,,,,20260803,python3 src/leverage_decomposition.py --stage analyse --out results/leverage_decomposition.csv --threads 4 --bennett-verify 3
