fixture,test,stat,n,note,lo,hi,p_gt0,verdict,n_groups,n_pos,n_parsed,n_unique,n_mapped,map_rate,wt_match_rate_of_mapped,wt_match_rate_overall,wt_match_rate_shuffled_within_complex,seed,model,command
SKEMPI_esmif,algebraic_identity_KL_equals_EP_L_plus_r_wt,3.552713678800501e-15,13037.0,,,,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,theorem_confidence_blind_to_leverage,1.2719,2520.0,"median |ΔL_rms| within P-matched pairs (TV<0.02) = 1.2719 vs overall SD(L_rms) = 1.7486; median |Δconfidence| within pairs = 0.0037; Spearman(confidence, L_rms) = +0.305",,,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,spearman_confidence_vs_leverage_magnitude,0.3049,13037.0,,,,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,CPI_position_level(leverage L(->Ala) | burial+nbr+dSASA),0.00424,13037.0,,0.00271,0.00574,1.0,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,robustness_drop3_influential_complexes(CPI_position_level(L(->Ala) | burial+nbr+dSASA)),0.00346,12956.0,"dropped ['1EMV_A_B', '3EQS_A_B', '3EQY_A_C']",0.00225,0.00473,1.0,SURVIVES,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,within_stratum_AUROC_position(-L(->Ala)) for is_hot,0.6409,13037.0,,0.6006,0.6822,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,within_stratum_AUROC_position(-scalar KL) for is_hot,0.3954,13037.0,,0.3614,0.4289,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,within_stratum_AUROC_position(-confidence) for is_hot,0.5487,13037.0,,0.5109,0.5829,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,CPI_position_level(leverage |L| rms | burial+nbr+dSASA),0.00105,13037.0,,0.0004,0.00174,1.0,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,CPI_position_level(leverage min_a L | burial+nbr+dSASA),0.00134,13037.0,,0.00044,0.0022,0.999,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,CPI_position_level(scalar KL [ref +0.002] | burial+nbr+dSASA),0.00103,13037.0,,0.00037,0.00179,0.999,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,CPI_position_level(confidence [ref 0.000] | burial+nbr+dSASA),-4e-05,13037.0,,-0.00026,0.00019,0.368,conditionally INDEPENDENT (CI spans 0),337.0,317.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI_esmif,CPI_position_level(negentropy of P | burial+nbr+dSASA),0.0006,13037.0,,2e-05,0.00118,0.979,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
SKEMPI,positive_control_mutation_mapping,,,,,,,,,,4956.0,4193.0,4123.0,0.9833055091819699,1.0,0.9833055091819699,0.1882124666504972,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",spearman_L_vs_ddG,-0.2554,2900.0,,-0.3156,-0.1902,0.0,,280.0,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",spearman_confidence_vs_ddG,0.2445,2900.0,,,,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",spearman_scalarKL_vs_ddG,0.1412,2900.0,,,,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",spearman_logP(mut|cx)_vs_ddG,-0.2581,2900.0,,,,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(LEVERAGE L (full) | burial+nbr+dSASA),0.03504,2900.0,,0.02601,0.04475,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",robustness_drop3_influential_complexes(CPI(L | burial+nbr+dSASA)),0.03353,2490.0,"dropped ['1JTG_A_B', '1PPF_E_I', '3SGB_E_I']",0.02355,0.04299,1.0,SURVIVES,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(LEVERAGE L (full) | burial+nbr+dSASA+BLOSUM+dVol+dHydro),0.02695,2900.0,,0.01931,0.03495,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(LEVERAGE L (full) | burial+nbr+dSASA+confidence),0.018,2900.0,,0.01162,0.02429,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(LEVERAGE L (full) | burial+nbr+dSASA+scalarKL),0.0407,2900.0,,0.03079,0.05058,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(LEVERAGE L (full) | ALL: geom+subst+confidence+scalarKL),0.00987,2900.0,,0.00464,0.01542,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(confidence | burial+nbr+dSASA),0.02263,2900.0,,0.01233,0.03254,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(scalar KL | burial+nbr+dSASA),-0.0013,2900.0,,-0.00322,0.00075,0.115,conditionally INDEPENDENT (CI spans 0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(logP(mut|complex) | burial+nbr+dSASA),0.03048,2900.0,,0.02281,0.03837,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(confidence | burial+nbr+dSASA+BLOSUM+dVol+dHydro),0.02895,2900.0,,0.01895,0.0394,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(scalar KL | burial+nbr+dSASA+BLOSUM+dVol+dHydro),-0.00189,2900.0,,-0.00381,-3e-05,0.023,conditionally INDEPENDENT (CI spans 0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",CPI(logP(mut|complex) | burial+nbr+dSASA+BLOSUM+dVol+dHydro),0.02017,2900.0,,0.0125,0.0271,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",within_stratum_AUROC(-LEVERAGE L (full) | burial+nbr+dSASA),0.6077,2900.0,,0.5779,0.6358,,,280.0,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",marginal_AUROC(-LEVERAGE L (full)),0.6291,2900.0,,,,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",within_stratum_AUROC(-confidence | burial+nbr+dSASA),0.4138,2900.0,,0.3816,0.4437,,,280.0,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
"SKEMPI (natural, ESM-IF1)",marginal_AUROC(-confidence),0.3764,2900.0,,,,,,,,,,,,,,,20260803,esm_if1_gvp4_t16_142M_UR50,python3 src/leverage_esmif.py --stage analyse --out results/leverage_esmif.csv
