fixture,test,stat,n,note,lo,hi,p_gt0,verdict,n_groups,n_pos,n_parsed,n_unique,n_mapped,map_rate,wt_match_rate_of_mapped,wt_match_rate_overall,wt_match_rate_shuffled_within_complex,seed,model,command
SKEMPI_mif,theorem_confidence_blind_to_leverage,2.0164,1307.0,"median |ΔL_rms| within P-matched pairs (TV<0.02) = 2.0164 vs overall SD(L_rms) = 1.6946; median |Δconfidence| within pairs = 0.0028; Spearman(confidence, L_rms) = +0.243",,,,,,,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,spearman_confidence_vs_leverage_magnitude,0.2432,12491.0,,,,,,,,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,CPI_position_level(leverage L(->Ala) | burial+nbr+dSASA),0.00401,12491.0,,0.00222,0.00605,1.0,ADDS (CI>0),326.0,309.0,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,robustness_drop3_influential_complexes(CPI_position_level(L(->Ala) | burial+nbr+dSASA)),0.00207,12410.0,"dropped ['1EMV_A_B', '3EQS_A_B', '3EQY_A_C']",0.00109,0.0031,1.0,SURVIVES,,,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,within_stratum_AUROC_position(-L(->Ala)) for is_hot,0.6198,12491.0,,0.5789,0.6648,,,,,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,within_stratum_AUROC_position(-scalar KL) for is_hot,0.4213,12491.0,,0.3771,0.4641,,,,,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,within_stratum_AUROC_position(-confidence) for is_hot,0.5325,12491.0,,0.4993,0.5639,,,,,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,CPI_position_level(leverage |L| rms | burial+nbr+dSASA),0.00034,12491.0,,-0.0003,0.00106,0.831,conditionally INDEPENDENT (CI spans 0),326.0,309.0,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,CPI_position_level(leverage min_a L | burial+nbr+dSASA),0.0012,12491.0,,0.00016,0.00223,0.986,ADDS (CI>0),326.0,309.0,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
SKEMPI_mif,CPI_position_level(scalar KL [ref +0.002] | burial+nbr+dSASA),0.00058,12491.0,,-8e-05,0.00142,0.954,conditionally INDEPENDENT (CI spans 0),326.0,309.0,,,,,,,,20260803,mif,python3 src/leverage_extra_models.py --model mif --stage analyse --out results/leverage_mif.csv
