fixture,test,stat,n,note,lo,hi,p_gt0,verdict,n_groups,n_pos,n_parsed,n_unique,n_mapped,map_rate,wt_match_rate_of_mapped,wt_match_rate_overall,wt_match_rate_shuffled_within_complex,seed,model,command
SKEMPI_pifold,theorem_confidence_blind_to_leverage,2.0157,2846.0,"median |ΔL_rms| within P-matched pairs (TV<0.02) = 2.0157 vs overall SD(L_rms) = 2.0245; median |Δconfidence| within pairs = 0.0020; Spearman(confidence, L_rms) = +0.296",,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,spearman_confidence_vs_leverage_magnitude,0.2959,13037.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,CPI_position_level(leverage L(->Ala) | burial+nbr+dSASA),0.00299,13037.0,,0.00184,0.00414,1.0,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,robustness_drop3_influential_complexes(CPI_position_level(L(->Ala) | burial+nbr+dSASA)),0.00224,12956.0,"dropped ['1EMV_A_B', '3EQS_A_B', '3EQY_A_C']",0.0014,0.00317,1.0,SURVIVES,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,within_stratum_AUROC_position(-L(->Ala)) for is_hot,0.6206,13037.0,,0.5826,0.6571,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,within_stratum_AUROC_position(-scalar KL) for is_hot,0.4002,13037.0,,0.3666,0.4331,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,within_stratum_AUROC_position(-confidence) for is_hot,0.5503,13037.0,,0.5108,0.5852,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,CPI_position_level(leverage |L| rms | burial+nbr+dSASA),0.00022,13037.0,,-0.00024,0.00066,0.817,conditionally INDEPENDENT (CI spans 0),337.0,317.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,CPI_position_level(leverage min_a L | burial+nbr+dSASA),0.00122,13037.0,,0.00034,0.00209,0.998,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,CPI_position_level(scalar KL [ref +0.002] | burial+nbr+dSASA),0.00033,13037.0,,7e-05,0.00061,0.994,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,CPI_position_level(confidence [ref 0.000] | burial+nbr+dSASA),0.00012,13037.0,,-0.00022,0.00047,0.739,conditionally INDEPENDENT (CI spans 0),337.0,317.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI_pifold,CPI_position_level(negentropy of P | burial+nbr+dSASA),0.00059,13037.0,,2e-05,0.00115,0.979,ADDS (CI>0),337.0,317.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
SKEMPI,positive_control_mutation_mapping,,,,,,,,,,4956.0,4193.0,4123.0,0.9833055091819699,1.0,0.9833055091819699,0.1882124666504972,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",spearman_L_vs_ddG,-0.3275,2900.0,,-0.3872,-0.2555,0.0,,280.0,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",spearman_confidence_vs_ddG,0.2012,2900.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",spearman_scalarKL_vs_ddG,0.1855,2900.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",spearman_logP(mut|cx)_vs_ddG,-0.2256,2900.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(LEVERAGE L (full) | burial+nbr+dSASA),0.05002,2900.0,,0.03924,0.06081,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",robustness_drop3_influential_complexes(CPI(L | burial+nbr+dSASA)),0.04039,2514.0,"dropped ['1CBW_FGH_I', '1CHO_EFG_I', '3SGB_E_I']",0.03117,0.04933,1.0,SURVIVES,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(LEVERAGE L (full) | burial+nbr+dSASA+BLOSUM+dVol+dHydro),0.03839,2900.0,,0.0294,0.04821,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(LEVERAGE L (full) | burial+nbr+dSASA+confidence),0.04248,2900.0,,0.03416,0.05205,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(LEVERAGE L (full) | burial+nbr+dSASA+scalarKL),0.07786,2900.0,,0.05925,0.098,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(LEVERAGE L (full) | ALL: geom+subst+confidence+scalarKL),0.0476,2900.0,,0.03498,0.06159,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(confidence | burial+nbr+dSASA),0.01271,2900.0,,0.00572,0.01952,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(scalar KL | burial+nbr+dSASA),-0.00068,2900.0,,-0.0028,0.0014,0.277,conditionally INDEPENDENT (CI spans 0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(logP(mut|complex) | burial+nbr+dSASA),0.0161,2900.0,,0.01058,0.02174,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(confidence | burial+nbr+dSASA+BLOSUM+dVol+dHydro),0.01409,2900.0,,0.00606,0.02225,0.999,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(scalar KL | burial+nbr+dSASA+BLOSUM+dVol+dHydro),-0.00178,2900.0,,-0.00393,3e-05,0.029,conditionally INDEPENDENT (CI spans 0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",CPI(logP(mut|complex) | burial+nbr+dSASA+BLOSUM+dVol+dHydro),0.00954,2900.0,,0.00493,0.01409,1.0,ADDS (CI>0),280.0,1415.0,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",within_stratum_AUROC(-LEVERAGE L (full) | burial+nbr+dSASA),0.6327,2900.0,,0.603,0.6591,,,280.0,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",marginal_AUROC(-LEVERAGE L (full)),0.654,2900.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",within_stratum_AUROC(-confidence | burial+nbr+dSASA),0.4309,2900.0,,0.394,0.4667,,,280.0,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",marginal_AUROC(-confidence),0.4117,2900.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",within_stratum_AUROC(-scalar KL | burial+nbr+dSASA),0.4681,2900.0,,0.4378,0.5025,,,280.0,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",marginal_AUROC(-scalar KL),0.4008,2900.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",within_stratum_AUROC(-logP(mut|complex) | burial+nbr+dSASA),0.5831,2900.0,,0.55,0.6165,,,280.0,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",marginal_AUROC(-logP(mut|complex)),0.6113,2900.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
"SKEMPI (natural, pifold)",marginal_AUROC(geometry burial+nbr+dSASA),0.6767,2900.0,,,,,,,,,,,,,,,20260803,pifold,python3 src/leverage_extra_models.py --model pifold --stage analyse --out results/leverage_pifold.csv
