source,metric,stat,n,n_cx,note,lo,hi,p_gt0,n_pos,spearman_L_ddG,fixture,test,verdict,seed,shared_n_cx,command
crystal,mapping_control,1.0,3521,140.0,map_rate=1.0,,,,,,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,positive_control_reproduces_committed_L_mut,1.1324882507685041e-05,3521,,,,,,,,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,positive_control_reproduces_committed_L_pos,1.1205673218217527e-05,5690,,,,,,,,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,CPI_mut(L | burial+nbr+dSASA),0.04624,2520,140.0,,0.03324,0.06003,1.0,1309.0,-0.2789,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
,,0.02643,2114,,"dropped ['1AO7_ABC_DE', '1CHO_EFG_I', '1R0R_E_I']",0.01806,0.03669,1.0,,,crystal,robustness_drop3_influential_complexes(CPI_mut(L|geom) [crystal]),SURVIVES,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,CPI_mut(L | burial+nbr+dSASA+confidence),0.04544,2520,140.0,,0.03067,0.06114,1.0,1309.0,-0.2789,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,CPI_pos(L(->Ala) | burial+nbr+dSASA),0.00936,5690,140.0,,0.00618,0.01275,1.0,325.0,,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,CPI_pos(|L|_rms | burial+nbr+dSASA),0.00564,5690,140.0,,0.00356,0.00789,1.0,325.0,,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
of3,mapping_control,1.0,3521,140.0,map_rate=1.0,,,,,,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
of3,CPI_mut(L | burial+nbr+dSASA),0.03891,2520,140.0,,0.02646,0.05043,1.0,1309.0,-0.2719,,,,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
,,0.02434,1988,,"dropped ['1CHO_EFG_I', '1R0R_E_I', '3SGB_E_I']",0.01603,0.03372,1.0,,,of3,robustness_drop3_influential_complexes(CPI_mut(L|geom) [of3]),SURVIVES,20260803,140,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
