source,metric,stat,n,n_cx,n_hot,lo,hi,p_gt0,seed,command
crystal,ranker_AUROC_geometry,0.7264,5690,140.0,325.0,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,ranker_AUROC_geometry+|L|rms,0.7406,5690,140.0,325.0,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,ranker_dAUROC_addL_vs_geometry,0.0142,5690,140.0,325.0,0.0043,0.0246,0.997,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
crystal,ranker_AUROC_|L|rms_alone,0.706,5690,,,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
of3,ranker_AUROC_geometry,0.7046,5690,140.0,325.0,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
of3,ranker_AUROC_geometry+|L|rms,0.7113,5690,140.0,325.0,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
of3,ranker_dAUROC_addL_vs_geometry,0.0067,5690,140.0,325.0,-0.0011,0.0149,0.952,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
of3,ranker_AUROC_|L|rms_alone,0.6774,5690,,,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
af2,ranker_AUROC_geometry,0.6724,5690,140.0,325.0,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
af2,ranker_AUROC_geometry+|L|rms,0.6771,5690,140.0,325.0,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
af2,ranker_dAUROC_addL_vs_geometry,0.0047,5690,140.0,325.0,-0.0019,0.0121,0.912,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
af2,ranker_AUROC_|L|rms_alone,0.6494,5690,,,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
pooled_of3_af2,ranker_AUROC_geometry,0.6905,11380,140.0,650.0,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
pooled_of3_af2,ranker_AUROC_geometry+|L|rms,0.6962,11380,140.0,650.0,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
pooled_of3_af2,ranker_dAUROC_addL_vs_geometry,0.0057,11380,140.0,650.0,-0.0009,0.0129,0.952,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
pooled_of3_af2,ranker_AUROC_|L|rms_alone,0.6635,11380,,,,,,20260803,python3 src/leverage_predicted.py --stage analyse --out results/leverage_predicted.csv --threads 4
