metric,ranker,value,lo,hi,n,p_gt0,n_complexes,seed,note,command
marginal_AUROC_is_hot,leverage |L|_rms,0.6941,0.6613,0.7282,13401.0,,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
marginal_AUROC_is_hot,leverage -L(->Ala),0.6495,0.6104,0.689,13401.0,,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
marginal_AUROC_is_hot,ΔSASA,0.6642,0.6256,0.7046,13401.0,,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
marginal_AUROC_is_hot,burial,0.6669,0.6339,0.6986,13401.0,,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
marginal_AUROC_is_hot,KL,0.6812,0.6447,0.7195,13401.0,,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
marginal_AUROC_is_hot,confidence,0.5103,0.4726,0.5482,13401.0,,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
marginal_AUROC_is_hot,random,0.4955,0.4665,0.5259,13401.0,,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
paired_AUROC_Lrms_minus_ΔSASA,|L|_rms,0.0299,-0.0011,0.0608,13401.0,0.971,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
paired_AUROC_Lrms_minus_burial,|L|_rms,0.0272,-0.0235,0.0782,13401.0,0.864,,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_3,leverage |L|_rms,0.2306,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_3,leverage -L(->Ala),0.2836,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_3,ΔSASA,0.2379,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_3,burial,0.2105,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_3,KL,0.2238,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_3,confidence,0.0641,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_3,random,0.0856,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_5,leverage |L|_rms,0.3411,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_5,leverage -L(->Ala),0.4052,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_5,ΔSASA,0.3445,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_5,burial,0.2963,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_5,KL,0.3223,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_5,confidence,0.1258,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
capture_at_5,random,0.1409,,,,,108.0,20260803,position-level hotspot triage incl. leverage (audit's headline test); complex-clustered boot,python3 src/leverage_triage.py
