analysis,n_pairs,n_complexes,mean,lo,hi,boot_sd,n_boot,seed,order_gap_sd,order_gap_min,order_gap_max,mean_d_rsasa,mean_d_nbr,unconditional_mean,recovery_hot,recovery_null,n_hot,n_nonhot,rsasa_hot,rsasa_null,raw_spearman,partial_p,command,mpnn_ckpt,n_orders
PRIMARY_loose_null,47,31,0.4200547855319149,-0.05013106653571432,0.8820494798977139,0.23555492694392044,10000.0,20260803.0,0.07944613105810588,0.3042571181629566,0.5352745588789595,-0.001557672882935919,0.0,0.3888763169361703,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
PRIMARY_loose_null_T293_303,42,28,0.3401708190476191,-0.14703031656010457,0.8300000175943452,0.25119310474111034,10000.0,20260803.0,0.09849877957466051,0.2068990587833382,0.489233560860157,-0.0017621224783842871,-0.11904761904761904,0.2982848410952381,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
strict_hot2_null,21,16,0.14515841380952377,-0.43805376793824125,0.6598529606522556,0.283098540077621,10000.0,20260803.0,0.1739920962238911,-0.05992468588408982,0.3872705829285441,-0.008468141294149325,0.0,0.15951141761904764,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
SECONDARY_A_measured_nonhot,129,58,0.33725464542635664,0.009431194069979207,0.6518464493736047,0.16311578511121413,10000.0,20260803.0,0.05424780482721379,0.2807928266566853,0.4204243501836015,-0.003600164913345644,-0.031007751937984496,0.26296341632558146,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
SECONDARY_B_any_interface,384,129,-0.04212257805208331,-0.22160156961901456,0.12915995401122582,0.09025444236829804,10000.0,20260803.0,0.021016707249677514,-0.07042604809976181,-0.010462812196540975,-3.929411014106096e-05,0.078125,-0.10305034953906252,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
AAMATCHED_any_interface,51,38,0.28865653239215694,-0.17284908317676942,0.7511692484284087,0.23473154662673928,10000.0,20260803.0,0.11316403795256481,0.18141846490256927,0.5154967439525268,0.0011970353938796107,0.11764705882352941,0.24303246439215692,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
HYDROMATCHED_any_interface,189,85,-0.002790887042328042,-0.22500107842238137,0.20775161868609268,0.11047853455341729,10000.0,20260803.0,0.04757962132615222,-0.06733619492678417,0.06564281108202759,0.0008741396552426597,-0.010582010582010581,-0.058950778412698406,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
SENS_nbr_tol2_any_interface,470,136,-0.02124343177446811,-0.18919152346747548,0.14386326862057167,0.08474132077723068,10000.0,20260803.0,0.018004544310287002,-0.04194232515515163,0.0040396334405275024,-0.0009143028658626009,0.2404255319148936,-0.08935144381914893,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
UNCONTROLLED_PROBIDNET_strict_vs_all_other_iface,13412,343,0.10526897382872757,,,,,,,,,,,,0.5290519877675841,0.44486052732136033,327.0,13085.0,0.08031402911003174,0.16767638719201758,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
UNCONTROLLED_strict_vs_measured_nonhot_iface,1059,343,0.40225178918418836,,,,,,,,,,,,0.5290519877675841,0.35655737704918034,327.0,732.0,0.08031402911003174,0.19359534311128923,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
UNCONTROLLED_loose_vs_null_iface,943,343,0.32920071854773036,,,,,,,,,,,,0.48074179743223966,0.34710743801652894,701.0,242.0,0.10491807200306455,0.21831443960789965,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
F1_all_single,4950,319,-0.199559874112619,,,,,,,,,,,,,,,,,,-0.2716590936525362,1.2256695988140738e-45,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
F1_interface_only,3545,285,-0.24717638346065107,,,,,,,,,,,,,,,,,,-0.29729871226171756,1.7008113546800097e-50,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
F1_interface_T293_303,3389,273,-0.24647485212716788,,,,,,,,,,,,,,,,,,-0.2978448368408106,4.4499223534400136e-48,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pair_d_buried_polar,384,129,-0.09983153467167805,,,,,,,,,,,,,,,,,,,0.05060683323844409,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pair_d_unsat_polar,384,129,-0.0991031289626704,,,,,,,,,,,,,,,,,,,0.05232321330577254,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pair_d_chi1_strain,301,118,-0.04792677828870652,,,,,,,,,,,,,,,,,,,0.40737886846324534,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pair_d_bfac_z,384,129,-0.07612555525414534,,,,,,,,,,,,,,,,,,,0.13647464742293558,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pair_d_gnm,384,129,0.017272218642975824,,,,,,,,,,,,,,,,,,,0.735825392999268,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_jointOLS_d_buried_polar,301,118,-0.008899503877834697,-0.1972796206510954,0.179480612895426,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_jointOLS_d_unsat_polar,301,118,-0.20360829413920592,-0.3929005951280504,-0.014315993150361389,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_jointOLS_d_chi1_strain,301,118,-0.05210514975399187,-0.23339029790704918,0.12917999839906547,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_jointOLS_d_bfac_z,301,118,-0.0948643351539615,-0.27685230162301644,0.08712363131509346,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_jointOLS_d_gnm,301,118,0.201413054819933,0.01869653211795269,0.3841295775219133,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pos_buried_polar_frac,13412,343,0.020428830375993464,,,,,,,,,,,,,,,,,,,0.017986637846115015,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pos_n_unsat_bur_polar,13412,343,-0.016132339547095573,,,,,,,,,,,,,,,,,,,0.061729080995544076,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pos_chi1_strain,11583,343,-0.11238126364057584,,,,,,,,,,,,,,,,,,,7.139227585085466e-34,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pos_bfac_z,13412,343,-0.05611795936583206,,,,,,,,,,,,,,,,,,,7.844591187890578e-11,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
CAUSAL_pos_gnm_msf,13412,343,-0.07783778663053899,,,,,,,,,,,,,,,,,,,1.7601355499383024e-19,python3 src/p0_burial_matched.py --out results/p0_dssp --cache results/p0_positions.csv,v_48_020.pt,8
