analysis,n_pairs,n_complexes,mean,lo,hi,boot_sd,n_boot,seed,order_gap_sd,order_gap_min,order_gap_max,mean_d_rsasa,mean_d_nbr,unconditional_mean,recovery_hot,recovery_null,n_hot,n_nonhot,rsasa_hot,rsasa_null,raw_spearman,partial_p,command,mpnn_ckpt,n_orders
PRIMARY_loose_null,42,29,0.5976024286190476,0.06370542681336146,1.0495572860128262,0.2560827089069858,10000.0,20260803.0,0.06643682770565533,0.5162296304035754,0.6922391967049667,-0.002814435002206411,0.07142857142857142,0.5896109613809525,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
PRIMARY_loose_null_T293_303,40,28,0.5930294569,0.0353273816212122,1.0660617199499995,0.26378295423192755,10000.0,20260803.0,0.0704743058387769,0.5031371049582958,0.6961134752258659,-0.002784247106127339,0.025,0.5972337648500001,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
strict_hot2_null,21,14,0.9607808955238096,0.23880642872909347,1.645920845725,0.35841282215115833,10000.0,20260803.0,0.13619925159326945,0.7568281083589509,1.1923292538239842,-0.010786799865013843,0.047619047619047616,1.0122234301904762,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
SECONDARY_A_measured_nonhot,121,57,0.4851507280330578,0.11785095585542961,0.8470195490406937,0.18596963680241446,10000.0,20260803.0,0.037180375334568076,0.4297979428502154,0.5532229547042492,-0.0045278720387835385,0.03305785123966942,0.49077833572727275,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
SECONDARY_B_any_interface,384,132,0.02630932814583334,-0.1679678708814252,0.21149989891974796,0.09604060746624489,10000.0,20260803.0,0.023641027643750496,-0.0028844167827628553,0.05547819595085457,0.0005396978010780123,0.028645833333333332,0.0285677866484375,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
AAMATCHED_any_interface,47,37,0.560882577893617,0.12231477423764524,0.9775875568221586,0.2186674152958253,10000.0,20260803.0,0.09590661941391726,0.44471359997987747,0.7239526714733306,0.0009302188275646227,0.1276595744680851,0.6055512479787234,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
HYDROMATCHED_any_interface,180,94,0.12524377001666667,-0.14325980272138064,0.38506552351089474,0.13483788458565096,10000.0,20260803.0,0.03334598730109077,0.08930796931187311,0.16744747286041578,0.00019124626469916307,-0.07222222222222222,0.14628845808333335,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
SENS_nbr_tol2_any_interface,479,141,-0.0012071966283924962,-0.1760856427272697,0.17143292814516414,0.08875633854729781,10000.0,20260803.0,0.025622626921959758,-0.039417848457623125,0.025916448512380955,-0.001308348175105329,0.13569937369519833,-0.01062007692484344,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
UNCONTROLLED_PROBIDNET_strict_vs_all_other_iface,5745,141,0.14702871262714723,,,,,,,,,,,,0.5476923076923077,0.4769372693726937,325.0,5420.0,0.08060031398069341,0.1766799405478654,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
UNCONTROLLED_strict_vs_measured_nonhot_iface,997,141,0.4060672468355859,,,,,,,,,,,,0.5476923076923077,0.38839285714285715,325.0,672.0,0.08060031398069341,0.19699135676615226,,,python3 src/p0_burial_matched.py --out results/p0_n002 --mpnn-weights /home/chris/ftax/ProteinMPNN/vanilla_model_weights/v_48_002.pt --only-complexes results/pair_complexes.txt,v_48_002.pt,8
