analysis,n_pairs,n_complexes,mean,lo,hi,boot_sd,n_boot,seed,order_gap_sd,order_gap_min,order_gap_max,mean_d_rsasa,mean_d_nbr,unconditional_mean,recovery_hot,recovery_null,n_hot,n_nonhot,rsasa_hot,rsasa_null,raw_spearman,partial_p,command,mpnn_ckpt,n_orders
PRIMARY_loose_null,42,29,0.33352604761904764,-0.1315525916260822,0.7922711489795795,0.23572070117294822,10000.0,20260803.0,0.11859682789398239,0.12871254537077176,0.4745042696595192,-0.002814435002206411,0.07142857142857142,0.3823398725238095,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
PRIMARY_loose_null_T293_303,40,28,0.31584022375,-0.16994874056774542,0.8148836034651314,0.24662248519606766,10000.0,20260803.0,0.11972135907659658,0.11823352184146643,0.46722436845302584,-0.002784247106127339,0.025,0.35018732615000003,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
strict_hot2_null,21,14,0.23588789999999996,-0.46450204558184144,0.743690437670635,0.3142566148063673,10000.0,20260803.0,0.16639738058185416,-0.05062834599188395,0.4831669493800118,-0.010786799865013843,0.047619047619047616,0.31493430666666666,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
SECONDARY_A_measured_nonhot,121,57,0.3838039305785124,0.041254863758928555,0.7194177674533898,0.1735738218298587,10000.0,20260803.0,0.03408505868581599,0.3346601635956567,0.45055434095465446,-0.0045278720387835385,0.03305785123966942,0.330755821123967,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
SECONDARY_B_any_interface,384,132,-0.04311392952604168,-0.23079626537345876,0.13662780694350343,0.09334398235092935,10000.0,20260803.0,0.02467930563728235,-0.08576244651339948,-0.004514914840304612,0.0005396978010780123,0.028645833333333332,-0.08999271415885418,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
AAMATCHED_any_interface,47,37,0.5549276696170213,0.1508257537276281,0.9527444165559918,0.2047522062744896,10000.0,20260803.0,0.10165479584126282,0.4175502791049633,0.7399952100946549,0.0009302188275646227,0.1276595744680851,0.5806488088085107,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
HYDROMATCHED_any_interface,180,94,0.05027469107777776,-0.1807715883682524,0.27510146990116446,0.11710239644675079,10000.0,20260803.0,0.057913728436262905,-0.029929514726003012,0.13409125084678333,0.00019124626469916307,-0.07222222222222222,0.05682587874444443,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
SENS_nbr_tol2_any_interface,479,141,-0.015911672494780798,-0.17791303828517757,0.14519242232710597,0.08275056441036463,10000.0,20260803.0,0.023469364713426602,-0.049722147790524564,0.016119633064389464,-0.001308348175105329,0.13569937369519833,-0.061299265252609626,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
UNCONTROLLED_PROBIDNET_strict_vs_all_other_iface,13412,343,0.10526897382872757,,,,,,,,,,,,0.5290519877675841,0.44486052732136033,327.0,13085.0,0.08031402911003174,0.16767638719201758,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
UNCONTROLLED_strict_vs_measured_nonhot_iface,1059,343,0.40225178918418836,,,,,,,,,,,,0.5290519877675841,0.35655737704918034,327.0,732.0,0.08031402911003174,0.19359534311128923,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
UNCONTROLLED_loose_vs_null_iface,943,343,0.32920071854773036,,,,,,,,,,,,0.48074179743223966,0.34710743801652894,701.0,242.0,0.10491807200306455,0.21831443960789965,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
F1_all_single,4950,319,-0.199559874112619,,,,,,,,,,,,,,,,,,-0.2716590936525362,1.2256695988140738e-45,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
F1_interface_only,3545,285,-0.24717638346065107,,,,,,,,,,,,,,,,,,-0.29729871226171756,1.7008113546800097e-50,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
F1_interface_T293_303,3389,273,-0.24647485212716788,,,,,,,,,,,,,,,,,,-0.2978448368408106,4.4499223534400136e-48,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pair_d_buried_polar,384,132,-0.11615751993209357,,,,,,,,,,,,,,,,,,,0.02281588243164739,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pair_d_unsat_polar,384,132,-0.11581327186832523,,,,,,,,,,,,,,,,,,,0.023225117794746244,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pair_d_chi1_strain,310,125,0.028996105830378552,,,,,,,,,,,,,,,,,,,0.6110510936222446,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pair_d_bfac_z,384,132,0.01782281034892001,,,,,,,,,,,,,,,,,,,0.7277325054110335,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pair_d_gnm,384,132,0.0767172611983317,,,,,,,,,,,,,,,,,,,0.13344444672761765,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_jointOLS_d_buried_polar,310,125,0.00924054899557225,-0.17226836100167467,0.19074945899281917,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_jointOLS_d_unsat_polar,310,125,-0.17418285472297795,-0.3554841911341428,0.007118481688186906,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_jointOLS_d_chi1_strain,310,125,-0.005722388411848068,-0.18300819196848278,0.17156341514478662,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_jointOLS_d_bfac_z,310,125,-0.02432003422639187,-0.2059897105385294,0.15734964208574567,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_jointOLS_d_gnm,310,125,0.25325370949773035,0.07232103928638464,0.43418637970907603,,,,,,,,,,,,,,,,,,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pos_buried_polar_frac,13412,343,0.019832996416041117,,,,,,,,,,,,,,,,,,,0.02162590768976501,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pos_n_unsat_bur_polar,13412,343,-0.016267779629900052,,,,,,,,,,,,,,,,,,,0.05957529704664984,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pos_chi1_strain,11583,343,-0.11210577563823258,,,,,,,,,,,,,,,,,,,1.028514183387861e-33,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pos_bfac_z,13412,343,-0.057139288408572665,,,,,,,,,,,,,,,,,,,3.541184610251626e-11,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
CAUSAL_pos_gnm_msf,13412,343,-0.07898230476179462,,,,,,,,,,,,,,,,,,,5.1697897027830754e-20,python3 src/p0_burial_matched.py --out results/p0,v_48_020.pt,8
