model,analysis,n_pairs,n_complexes,gap_logp,lo,hi,gap_recovery,rec_lo,rec_hi,n_dropped_junction,command
mpnn_soluble,AAMATCHED_any_interface,51,38,0.3660671139756838,-0.1334735402949918,0.8331119121494359,0.2156862745098039,0.0,0.4222222222222222,0,python3 src/p0_multimodel.py --models mpnn_soluble --out results/panel --threads 3 --max-batch 1
mpnn_soluble,HYDROMATCHED_any_interface,188,84,0.0189649357282101,-0.2315868859182268,0.2524028326703787,0.0478723404255319,-0.0516129032258064,0.1428571428571428,0,python3 src/p0_multimodel.py --models mpnn_soluble --out results/panel --threads 3 --max-batch 1
mpnn_soluble,PRIMARY_loose_null,47,31,0.4330785983103387,-0.0725189188268126,0.9187177320704888,0.1702127659574468,-0.0212765957446808,0.3541666666666667,0,python3 src/p0_multimodel.py --models mpnn_soluble --out results/panel --threads 3 --max-batch 1
mpnn_soluble,PRIMARY_loose_null_T293_303,42,28,0.3453449791386014,-0.1970501819959157,0.8597356036539122,0.1428571428571428,-0.0476190476190476,0.3265306122448979,0,python3 src/p0_multimodel.py --models mpnn_soluble --out results/panel --threads 3 --max-batch 1
mpnn_soluble,SECONDARY_A_measured_nonhot,129,58,0.4112426235463268,0.0269901592659253,0.7662148382345106,0.1317829457364341,-0.0158730158730158,0.2649621212121211,0,python3 src/p0_multimodel.py --models mpnn_soluble --out results/panel --threads 3 --max-batch 1
mpnn_soluble,SECONDARY_B_any_interface,383,128,-0.0371256723182942,-0.2223326771361964,0.1478078205758366,0.0261096605744125,-0.047752808988764,0.1021918546781685,0,python3 src/p0_multimodel.py --models mpnn_soluble --out results/panel --threads 3 --max-batch 1
mpnn_soluble,SENS_nbr_tol2_any_interface,468,134,-0.0602472794648164,-0.2295625507547421,0.10700945627476,0.0149572649572649,-0.0576140811913169,0.0887254044121668,0,python3 src/p0_multimodel.py --models mpnn_soluble --out results/panel --threads 3 --max-batch 1
mpnn_soluble,strict_hot2_null,21,16,0.2751910470071292,-0.2024802800107516,0.7838821503180565,0.0476190476190476,-0.1578947368421052,0.2631578947368421,0,python3 src/p0_multimodel.py --models mpnn_soluble --out results/panel --threads 3 --max-batch 1
mif,AAMATCHED_any_interface,50,38,0.3674862193829875,-0.2029809781671476,0.9305150592045552,0.22,0.0612244897959183,0.375,932,python3 src/p0_multimodel.py --models mif --out results/panel --threads 3 --max-batch 1
mif,HYDROMATCHED_any_interface,181,82,0.1038875583305303,-0.1761578706068073,0.3872801743122465,0.0607734806629834,-0.0298544776119402,0.1517268460010832,932,python3 src/p0_multimodel.py --models mif --out results/panel --threads 3 --max-batch 1
mif,PRIMARY_loose_null,47,31,0.5556868062790562,0.1094244909193142,0.9818811028963697,0.2765957446808511,0.0980392156862745,0.4651162790697674,932,python3 src/p0_multimodel.py --models mif --out results/panel --threads 3 --max-batch 1
mif,PRIMARY_loose_null_T293_303,42,28,0.4613327179362213,-0.0035970139612676,0.9202919123498056,0.2857142857142857,0.0908585858585859,0.4897959183673469,932,python3 src/p0_multimodel.py --models mif --out results/panel --threads 3 --max-batch 1
mif,SECONDARY_A_measured_nonhot,128,58,0.2213893261209265,-0.1121352321717642,0.5522083179396632,0.140625,0.0288461538461538,0.2523364485981308,932,python3 src/p0_multimodel.py --models mif --out results/panel --threads 3 --max-batch 1
mif,SECONDARY_B_any_interface,377,128,-0.1429976620516677,-0.3593594288849804,0.07640782427205,0.0212201591511936,-0.049754000082689,0.0909145410943971,932,python3 src/p0_multimodel.py --models mif --out results/panel --threads 3 --max-batch 1
mif,SENS_nbr_tol2_any_interface,460,134,-0.1773821802065383,-0.3931894038408842,0.0250863121247584,0.017391304347826,-0.0446808510638297,0.0781258979885057,932,python3 src/p0_multimodel.py --models mif --out results/panel --threads 3 --max-batch 1
mif,strict_hot2_null,21,16,0.5301226228032083,-0.108537819491262,1.1969597373820495,0.3809523809523809,0.1363636363636363,0.6470588235294118,932,python3 src/p0_multimodel.py --models mif --out results/panel --threads 3 --max-batch 1
pifold,AAMATCHED_any_interface,50,38,0.2720126650485946,-0.187166337853212,0.7489753359870797,0.06,-0.1304347826086956,0.25,932,python3 src/p0_multimodel.py --models pifold --out results/panel --analyse-only
pifold,HYDROMATCHED_any_interface,181,82,0.0320502967697056,-0.3302633128977854,0.3847754449740539,0.0,-0.090426798378926,0.0899484126984126,932,python3 src/p0_multimodel.py --models pifold --out results/panel --analyse-only
pifold,PRIMARY_loose_null,47,31,0.3597818708378851,-0.2343104888097216,0.8885213999407793,0.1914893617021276,0.0217391304347826,0.358974358974359,932,python3 src/p0_multimodel.py --models pifold --out results/panel --analyse-only
pifold,PRIMARY_loose_null_T293_303,42,28,0.286150446746708,-0.372323608194048,0.8564515747639445,0.1666666666666666,-0.0238095238095238,0.3478260869565217,932,python3 src/p0_multimodel.py --models pifold --out results/panel --analyse-only
pifold,SECONDARY_A_measured_nonhot,128,58,0.316257069929537,-0.1173074281024603,0.6838814912554452,0.109375,-0.0088495575221238,0.2250041390728476,932,python3 src/p0_multimodel.py --models pifold --out results/panel --analyse-only
pifold,SECONDARY_B_any_interface,377,128,-0.1713156645980628,-0.3962874990047763,0.0454300429336023,-0.0557029177718832,-0.1211267605633802,0.0084033613445378,932,python3 src/p0_multimodel.py --models pifold --out results/panel --analyse-only
pifold,SENS_nbr_tol2_any_interface,460,134,-0.2502334056188965,-0.456916185932698,-0.0473535747624751,-0.0543478260869565,-0.1115622931568271,0.0022172949002217,932,python3 src/p0_multimodel.py --models pifold --out results/panel --analyse-only
pifold,strict_hot2_null,21,16,0.3508245550806277,-0.5443076209390552,1.0916470121338675,0.1428571428571428,-0.1052631578947368,0.3684210526315789,932,python3 src/p0_multimodel.py --models pifold --out results/panel --analyse-only
esmif,AAMATCHED_any_interface,27,19,0.44475887362851707,-0.35871160903360066,1.2599322110966447,0.037037037037037035,-0.19230769230769232,0.25,0,python3 src/p0_multimodel.py --models esmif --out results/panel --complexes /tmp/esmif_small.txt --threads 2 --max-batch 1
esmif,HYDROMATCHED_any_interface,113,49,0.2288277767636051,-0.11635030549957158,0.5790782763626504,0.0,-0.13333333333333333,0.13592233009708737,0,python3 src/p0_multimodel.py --models esmif --out results/panel --complexes /tmp/esmif_small.txt --threads 2 --max-batch 1
esmif,PRIMARY_loose_null,28,16,0.5058514146782856,-0.013493023046208273,0.9165184906902323,0.10714285714285714,-0.11538461538461539,0.27586206896551724,0,python3 src/p0_multimodel.py --models esmif --out results/panel --complexes /tmp/esmif_small.txt --threads 2 --max-batch 1
esmif,PRIMARY_loose_null_T293_303,23,13,0.4076676245313138,-0.193384149442823,0.8605643192630096,0.08695652173913043,-0.15789473684210525,0.25,0,python3 src/p0_multimodel.py --models esmif --out results/panel --complexes /tmp/esmif_small.txt --threads 2 --max-batch 1
esmif,SECONDARY_A_measured_nonhot,83,34,0.4939084316594021,0.1335715037554754,0.8329976707377255,0.13253012048192772,0.0,0.2597402597402597,0,python3 src/p0_multimodel.py --models esmif --out results/panel --complexes /tmp/esmif_small.txt --threads 2 --max-batch 1
esmif,SECONDARY_B_any_interface,239,84,-0.128415744132148,-0.3691531928369748,0.10780849416201518,-0.04602510460251046,-0.13200188679245284,0.04132612255779406,0,python3 src/p0_multimodel.py --models esmif --out results/panel --complexes /tmp/esmif_small.txt --threads 2 --max-batch 1
esmif,SENS_nbr_tol2_any_interface,298,88,-0.12506959604919127,-0.345060145542467,0.10483374490903202,-0.06375838926174497,-0.13804745213327305,0.012126823793490378,0,python3 src/p0_multimodel.py --models esmif --out results/panel --complexes /tmp/esmif_small.txt --threads 2 --max-batch 1
esmif,strict_hot2_null,13,8,0.5629938995250716,0.055908093129151584,1.10749581758225,0.07692307692307693,0.0,0.2,0,python3 src/p0_multimodel.py --models esmif --out results/panel --complexes /tmp/esmif_small.txt --threads 2 --max-batch 1
