pdb,n_chains,n_het
1a05,2,2
1a16,1,3
1a41,1,1
1a4s,4,0
1a50,2,3
1aa6,1,3
1afr,6,1
1afw,2,1
1am2,1,0
1amy,1,1
1auk,1,3
1auw,4,0
1ax4,4,2
1b3r,4,1
1b66,2,2
1b73,1,0
1b93,3,2
1bmt,2,1
1bs0,1,1
1btl,1,1
1bwd,2,0
1bxk,2,1
1bxr,8,6
1c17,13,0
1c3c,2,0
1ci8,2,1
1czf,2,2
1db3,1,0
1dco,8,0
1dii,4,3
1djo,2,1
1dlg,2,3
1dli,1,4
1dnp,2,2
1do8,4,4
1doc,1,3
1dqa,4,3
1dqr,2,1
1e6u,1,4
1ecl,1,0
1eh6,1,1
1ehk,3,5
1ehy,4,1
1eq2,10,3
1ezv,11,5
1f2d,4,2
1f6d,4,4
1fft,8,3
1fuq,2,2
1fva,2,0
1fwj,3,2
1gu1,12,4
1h7a,1,3
1hdh,2,3
1ho1,4,0
1hrk,2,2
1hzy,2,5
1i29,1,2
1i78,2,2
1igs,1,1
1jxa,3,1
1k4l,1,2
1lcb,1,2
1ljl,1,1
1m21,2,2
1m6k,2,2
1mcz,16,3
1mki,2,4
1mns,1,2
1mro,6,11
1mum,2,1
1ndo,6,2
1nfs,2,3
1nia,3,1
1nlu,1,4
1nn4,4,0
1oba,1,1
1onr,2,0
1pvd,2,2
1qdl,2,0
1qfe,2,1
1qjd,1,5
1qv0,1,4
1rba,2,0
1rbl,16,3
1rql,2,2
1rtu,1,2
1s6l,1,0
1snn,2,3
1tde,1,1
1v54,26,17
1vr7,2,2
1w85,10,4
1wrr,1,2
1x9h,2,3
1xld,2,2
1yrc,1,3
1zk7,1,3
1zp3,3,3
2ahj,4,7
2akj,1,2
2gb0,2,3
2gh5,2,4
2npx,1,3
2qt6,2,9
2qut,4,1
3eca,4,1
3h8i,2,3
3rfa,2,3
3wql,4,1
4hpn,1,3
4mhx,2,4
5eat,1,2
7enl,1,2
