complex_id,n_seeds,iptm_mean,iptm_sd
1ACB_E_I,3,0.9067,0.0047
1AK4_A_D,3,0.7767,0.0694
1B2S_A_D,3,0.9067,0.0047
1CT0_E_I,3,0.9133,0.0047
1DAN_HL_UT,3,0.87,0.0
