complex_id,L,n_hot,n_ctl,Rhot_default,Rctl_default,gap_default,Rall_default,Rhot_oracle_first,Rctl_oracle_first,gap_oracle_first,Rall_oracle_first
1A22_A_B,372,9,9,0.4588888888888889,0.17666666666666667,0.28222222222222226,0.4033333333333333,0.43555555555555553,0.17,0.26555555555555554,0.40413978494623654
1AK4_A_D,310,2,2,0.98,0.5,0.48,0.5255161290322581,1.0,0.5,0.5,0.5288064516129032
1BP3_A_B,383,5,5,0.108,0.208,-0.09999999999999999,0.34224543080939945,0.008,0.214,-0.206,0.3400522193211488
1BRS_A_D,195,5,5,0.22,0.598,-0.378,0.577076923076923,0.344,0.66,-0.31600000000000006,0.5745641025641026
1C1Y_A_B,244,2,2,0.46,0.185,0.275,0.398483606557377,0.5,0.24,0.26,0.40225409836065573
1CBW_FGH_I,297,1,1,0.47,0.0,0.47,0.5023232323232323,0.84,0.0,0.84,0.5033333333333333
1CHO_EFG_I,291,2,2,0.95,0.015,0.9349999999999999,0.5641580756013745,0.98,0.005,0.975,0.5638831615120274
1E50_A_B,245,4,4,0.26,0.56,-0.30000000000000004,0.444530612244898,0.2575,0.56,-0.30250000000000005,0.44551020408163267
1EMV_A_B,214,4,4,0.2525,0.1925,0.06,0.48574766355140186,0.25,0.14,0.10999999999999999,0.48817757009345797
1FC2_C_D,249,1,1,0.0,0.0,0.0,0.3966265060240964,0.0,0.0,0.0,0.3933734939759036
1FCC_A_C,262,1,1,0.27,0.61,-0.33999999999999997,0.4334351145038168,0.0,0.61,-0.61,0.43385496183206107
1GCQ_AB_C,182,1,1,1.0,1.0,0.0,0.5254945054945055,1.0,1.0,0.0,0.5286813186813187
1GUA_A_B,243,2,2,0.03,0.125,-0.095,0.4201234567901235,0.0,0.105,-0.105,0.42061728395061726
1H9D_A_B,250,3,3,0.56,0.4533333333333333,0.10666666666666674,0.46928,0.6666666666666666,0.45666666666666667,0.20999999999999996,0.47444
1IAR_A_B,317,2,2,0.5,0.435,0.065,0.40082018927444796,0.485,0.465,0.019999999999999962,0.3997160883280757
1K8R_A_B,248,4,4,0.2125,0.35,-0.13749999999999998,0.39891129032258066,0.2325,0.335,-0.10250000000000001,0.39931451612903224
1KTZ_A_B,188,1,1,0.23,0.0,0.23,0.4820744680851064,0.0,0.0,0.0,0.4829787234042553
1LFD_A_B,254,5,5,0.444,0.036,0.40800000000000003,0.4759842519685039,0.466,0.022,0.444,0.4732677165354331
1PPF_E_I,274,1,1,1.0,1.0,0.0,0.5028102189781022,1.0,1.0,0.0,0.5036131386861313
1R0R_E_I,325,2,2,0.175,0.5,-0.325,0.6151384615384615,0.345,0.5,-0.15500000000000003,0.6158153846153847
1REW_AB_C,292,1,1,0.94,0.44,0.49999999999999994,0.48448630136986304,1.0,0.35,0.65,0.48763698630136987
