complex_id,pdb,avg_plddt,ptm,iptm,ranking,interface_plddt,n_res,rmsd_ca_global,rmsd_ca_interface
1A22_A_B,1A22_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,88.38701612903226,0.88,0.87,0.8720000000000001,89.74949999999998,372,2.878338586051469,1.6989378074961887
1A4Y_A_B,1A4Y_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,94.58895368782161,0.91,0.91,0.9100000000000001,90.19833333333332,583,1.4208884354184217,2.013961888690557
1AHW_AB_C,1AHW_AB_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,89.74065286624204,0.69,0.57,0.594,74.55795454545455,628,19.518143379398747,14.889274712946358
1AK4_A_D,1AK4_A_D_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,95.62345161290322,0.84,0.84,0.8400000000000001,94.03653846153846,310,2.488091293830243,0.8517700091338449
1AO7_ABC_DE,1AO7_ABC_DE_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,90.95455445544553,0.8,0.77,0.7760000000000001,76.35790697674418,707,9.857683491251784,1.8334275582609971
1BD2_ABC_DE,1BD2_ABC_DE_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,92.28952147239262,0.84,0.81,0.8160000000000002,82.00244444444445,815,2.0382695132549338,1.8467890524442794
1BJ1_HL_VW,1BJ1_HL_VW_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,91.472197092084,0.71,0.59,0.614,68.32722222222223,619,10.419607493319923,10.438590392780997
1BP3_A_B,1BP3_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,88.72485639686684,0.88,0.87,0.8720000000000001,91.94967213114755,383,2.573758197794763,1.1914580933258234
1BRS_A_D,1BRS_A_D_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,97.4840512820513,0.93,0.92,0.9220000000000002,97.8917857142857,195,0.8051273807631519,0.8864331132965165
1C1Y_A_B,1C1Y_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,93.66536885245901,0.91,0.88,0.8860000000000001,93.72222222222224,244,0.7139981478811035,0.4642085058118065
1C4Z_ABC_D,1C4Z_ABC_D_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,75.40043551088777,0.38,0.25,0.276,75.03249999999998,1194,30.93386441664363,1.2329399408410597
1CBW_FGH_I,1CBW_FGH_I_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,97.52050505050505,0.95,0.94,0.942,97.20580645161289,297,0.9117209192548129,0.6182958572359644
1CHO_EFG_I,1CHO_EFG_I_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,97.60996563573883,0.95,0.95,0.95,97.64617647058823,291,0.7440306868680756,0.31567583703948504
1DAN_HL_UT,1DAN_HL_UT_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,93.44534923339012,0.9,0.89,0.8920000000000001,92.80432098765432,587,1.1874838386247428,1.033181852088245
1DQJ_AB_C,1DQJ_AB_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,91.04307414104882,0.74,0.66,0.676,75.39341463414634,553,4.939966457597627,5.63892456528383
1DVF_AB_CD,1DVF_AB_CD_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,86.9019955654102,0.55,0.41,0.43800000000000006,73.97263157894737,451,21.74282200029653,14.946992101591885
1E50_A_B,1E50_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,94.70057142857142,0.92,0.92,0.9200000000000002,94.24520000000001,245,1.1329737184969206,1.52922491722538
1EFN_A_B,1EFN_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,95.48962732919256,0.86,0.84,0.8440000000000001,95.19863636363638,161,1.3512940015061525,0.8259962649110678
1EMV_A_B,1EMV_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,96.52789719626169,0.92,0.91,0.9120000000000001,98.16000000000001,214,0.9688917851041478,0.29637290512396747
1F47_A_B,1F47_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,94.51285714285714,0.91,0.88,0.8860000000000001,96.41125,161,0.8852400949851356,0.5078035679035813
1FC2_C_D,1FC2_C_D_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,93.31305220883534,0.87,0.73,0.758,85.39333333333333,249,1.9574927636236077,1.0460953486969835
1FCC_A_C,1FCC_A_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,88.03404580152672,0.73,0.21,0.314,78.94692307692307,262,7.224053664157963,10.499110084923466
1FFW_A_B,1FFW_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,95.08387755102041,0.91,0.85,0.8620000000000001,93.92039999999999,196,0.9880349135337513,0.7141657388465131
1GC1_G_C,1GC1_G_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,81.29786610878661,0.78,0.75,0.7560000000000001,79.47755555555555,478,7.51273275342413,6.102171612076555
1GCQ_AB_C,1GCQ_AB_C_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,94.4954945054945,0.84,0.78,0.7920000000000001,91.28191489361703,182,1.073677318508647,1.2087885215679044
1GUA_A_B,1GUA_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb,94.03847736625514,0.91,0.88,0.8860000000000001,93.25592592592592,243,0.8955209527912177,0.7213111228686608
1H9D_A_B,1H9D_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb,93.97748000000001,0.91,0.91,0.9100000000000001,96.26041666666667,250,1.6503242707473353,0.7230071733133572
1IAR_A_B,1IAR_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,90.48794952681388,0.88,0.89,0.8880000000000001,93.96454545454547,317,1.4857699657611856,0.5501020747577098
1JCK_A_B,1JCK_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb,87.53664570230607,0.57,0.21,0.28200000000000003,63.43793103448275,477,8.068357827415332,6.22897662618245
1JRH_LH_I,1JRH_LH_I_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb,73.86744343891404,0.64,0.57,0.584,63.68375,442,15.000153200612486,7.049452596240327
1JTD_A_B,1JTD_A_B_unrelaxed_rank_001_alphafold2_multimer_v3_model_3_seed_000.pdb,91.44758878504675,0.61,0.26,0.33,74.98173076923077,535,4.457124893443647,3.5672007851796788
