backbone_id,complex_id,d,n_pairs,partial_T,irmsd,interface_ok,irmsd_bin
1A22_A_B_T0_0,1A22_A_B,0.32189568877220154,7,0,5.009934885648364e-06,1,<1
1A22_A_B_T40_1,1A22_A_B,-1.362004109791347,7,40,19.010578448517126,1,>10
1BP3_A_B_T20_2,1BP3_A_B,0.08359451293945312,5,20,1580258.457032893,0,>10
1BRS_A_D_T10_0,1BRS_A_D,0.20411902666091908,2,10,1.916348753956326,1,1-2
1BRS_A_D_T40_2,1BRS_A_D,-1.0829962268471718,2,40,18.308480057893,1,>10
1E50_A_B_T20_1,1E50_A_B,0.07032787799835216,2,20,1.9098711918782911,1,1-2
1EMV_A_B_T0_0,1EMV_A_B,0.5803183019161224,1,0,1.137102366454785e-06,1,<1
1FCC_A_C_T20_2,1FCC_A_C,-0.8578004837036128,1,20,2.6971714701479383,1,2-3
1GUA_A_B_T40_0,1GUA_A_B,-0.3674938678741455,1,40,14.337339909808785,1,>10
1H9D_A_B_T10_1,1H9D_A_B,-0.5641047209501266,2,10,2.159097533360116,1,2-3
1H9D_A_B_T5_0,1H9D_A_B,-1.0938476920127869,2,5,1.7189112092923136,1,1-2
1IAR_A_B_T20_1,1IAR_A_B,0.3410370349884033,1,20,1769744.8074884997,0,>10
1K8R_A_B_T0_0,1K8R_A_B,-0.7133884429931641,1,0,1.893436912055463e-06,1,<1
1K8R_A_B_T40_1,1K8R_A_B,0.7790718078613281,1,40,63170040.38199968,0,>10
1LFD_A_B_T20_2,1LFD_A_B,-1.1290659904479976,1,20,1674594.2769009983,0,>10
1S1Q_A_B_T10_1,1S1Q_A_B,1.2828547954559317,1,10,29871.55027381405,0,>10
1S1Q_A_B_T5_0,1S1Q_A_B,1.261647462844849,1,5,1239.0762729006062,0,>10
1VFB_AB_C_T20_2,1VFB_AB_C,0.8041927814483647,1,20,1613140.0207812348,0,>10
2A9K_A_B_T10_0,2A9K_A_B,0.07831859588623069,1,10,1.569866694949621,1,1-2
2A9K_A_B_T40_2,2A9K_A_B,-1.9048151969909668,1,40,28.31889177746314,0,>10
2GOX_A_B_T10_1,2GOX_A_B,-0.5464394092559814,1,10,1.9932053240816403,1,1-2
2GOX_A_B_T5_0,2GOX_A_B,1.0498442649841313,1,5,1.4505067225320445,0,1-2
2J0T_A_D_T20_1,2J0T_A_D,-1.184328556060791,1,20,1519159.7150667678,0,>10
2WPT_A_B_T0_0,2WPT_A_B,0.7157018681367239,6,0,7.931300427220125e-07,1,<1
3BK3_A_C_T10_2,3BK3_A_C,-0.6605910435318948,1,10,2.1874528008356227,1,2-3
