complex_id,cif,avg_plddt,ptm,iptm,ranking,interface_plddt,n_res,rmsd_ca_global,rmsd_ca_interface
1A22_A_B,1A22_A_B_seed_2746317213_sample_2_model.cif,84.512657,0.857585,0.845153,0.847639,88.80560013333333,372,2.9180580177110857,1.1074159381788076
1A4Y_A_B,1A4Y_A_B_seed_2746317213_sample_2_model.cif,91.884048,0.92595,0.920038,0.92122,92.84936086666667,583,1.0862445308673294,0.9071375887604518
1AHW_AB_C,1AHW_AB_C_seed_2746317213_sample_4_model.cif,88.950104,0.644607,0.524307,0.548367,81.74545536363638,628,21.321829026612146,23.10719773121737
1AK4_A_D,1AK4_A_D_seed_2746317213_sample_4_model.cif,87.719879,0.674438,0.530712,0.559458,80.25143000000001,310,15.605779723956505,7.9106015394867715
1AO7_ABC_DE,1AO7_ABC_DE_seed_2746317213_sample_3_model.cif,93.075958,0.876216,0.886235,0.890597,95.7117164651163,707,8.502830668885204,1.350526426213196
1BD2_ABC_DE,1BD2_ABC_DE_seed_2746317213_sample_4_model.cif,91.703712,0.79457,0.757733,0.770622,82.45949664444446,815,3.4807743408072205,3.200805616498888
1BJ1_HL_VW,1BJ1_HL_VW_seed_2746317213_sample_4_model.cif,88.803185,0.644811,0.534108,0.556249,74.47755772222223,619,17.812197628887155,24.582527511519622
1BP3_A_B,1BP3_A_B_seed_2746317213_sample_5_model.cif,85.338982,0.855647,0.842101,0.851338,88.57800204918033,383,2.8237782203067625,1.314324619698598
1BRS_A_D,1BRS_A_D_seed_2746317213_sample_5_model.cif,94.13224,0.927456,0.916088,0.918361,96.86810060714286,195,0.569245515098596,0.35659056192668115
1C1Y_A_B,1C1Y_A_B_seed_2746317213_sample_3_model.cif,89.531151,0.893705,0.848989,0.857932,91.25403718518518,244,1.066058773472782,0.6084352032618034
1C4Z_ABC_D,1C4Z_ABC_D_seed_2746317213_sample_5_model.cif,79.514267,0.389526,0.284724,0.305685,84.46910166666667,1194,34.63407917501047,1.0907426189001825
1CBW_FGH_I,1CBW_FGH_I_seed_2746317213_sample_4_model.cif,96.633308,0.960198,0.954501,1.044866,98.0806625483871,297,0.8515288190434335,0.814508464760222
1CHO_EFG_I,1CHO_EFG_I_seed_2746317213_sample_5_model.cif,97.091293,0.966752,0.963028,1.05312,98.44956423529413,291,0.6265259000659303,0.2129315438296901
1DAN_HL_UT,1DAN_HL_UT_seed_2746317213_sample_5_model.cif,88.864418,0.880587,0.883164,0.905647,90.14847874074073,587,4.053469576353835,1.4663245223843764
