complex_id,direction,alpha,n_int,int_recovery,meanL_mpnn,meanL_esmif
1ACB_E_I,L,0.0,32,0.5366,-0.0329,0.0409
1ACB_E_I,L,2.0,32,0.4785,0.1771,0.5839
1ACB_E_I,random,0.0,32,0.5273,-0.0408,0.032
1ACB_E_I,random,2.0,32,0.4014,-0.2407,-0.5556
1AK4_A_D,L,0.0,26,0.6677,-0.043,0.2731
1AK4_A_D,L,2.0,26,0.5871,-0.0753,0.6069
1AK4_A_D,random,0.0,26,0.6569,-0.0348,0.2564
1AK4_A_D,random,2.0,26,0.5661,-0.2408,0.1915
1B2S_A_D,L,0.0,28,0.5296,0.0417,0.8766
1B2S_A_D,L,2.0,28,0.332,0.3949,2.002
1B2S_A_D,random,0.0,28,0.5285,0.0646,0.9335
1B2S_A_D,random,2.0,28,0.3253,-0.4064,-0.0622
1CT0_E_I,L,0.0,28,0.6144,0.1329,0.3711
1CT0_E_I,L,2.0,28,0.4955,0.3758,1.2088
1CT0_E_I,random,0.0,28,0.6122,0.1215,0.3992
1CT0_E_I,random,2.0,28,0.4464,-0.2899,-0.6124
1DAN_HL_UT,L,0.0,81,0.4172,-0.1194,0.0659
1DAN_HL_UT,L,2.0,81,0.3864,0.1319,0.7975
1DAN_HL_UT,random,0.0,81,0.4095,-0.092,0.0986
1DAN_HL_UT,random,2.0,81,0.2664,-0.4242,-0.4949
1DQJ_AB_C,L,0.0,41,0.3655,0.0492,0.5216
1DQJ_AB_C,L,2.0,41,0.2694,0.2402,1.3003
1DQJ_AB_C,random,0.0,41,0.3685,0.0436,0.5082
1DQJ_AB_C,random,2.0,41,0.279,-0.0865,0.2925
1FY8_E_I,L,0.0,31,0.6436,-0.0936,0.0896
1FY8_E_I,L,2.0,31,0.557,0.1887,1.0309
1FY8_E_I,random,0.0,31,0.6467,-0.1074,0.0493
1FY8_E_I,random,2.0,31,0.5292,-0.1453,0.3458
1GL0_E_I,L,0.0,43,0.5058,0.1389,0.3831
1GL0_E_I,L,2.0,43,0.4317,0.4961,1.3662
1GL0_E_I,random,0.0,43,0.5258,0.1239,0.3992
1GL0_E_I,random,2.0,43,0.4281,-0.1439,0.021
1GL1_A_I,L,0.0,34,0.534,0.0986,0.2477
1GL1_A_I,L,2.0,34,0.4246,0.4813,1.1392
1GL1_A_I,random,0.0,34,0.5285,0.093,0.2293
1GL1_A_I,random,2.0,34,0.4614,0.052,0.2376
1KAC_A_B,L,0.0,34,0.4747,-0.0868,0.1235
1KAC_A_B,L,2.0,34,0.4554,0.1395,0.7011
1KAC_A_B,random,0.0,34,0.4706,-0.066,0.1337
1KAC_A_B,random,2.0,34,0.3474,-0.4306,-0.4456
1KIQ_AB_C,L,0.0,30,0.425,-0.0516,0.1265
