complex_id,direction,alpha,meanL_mpnn,meanL_esmif,meanL_mif
1ACB_E_I,naive,2.0,0.6421,-0.0781,0.1255
1AK4_A_D,naive,2.0,0.0088,0.2513,-0.0041
1B2S_A_D,naive,2.0,0.4089,1.0837,-0.0769
1CT0_E_I,naive,2.0,0.5441,0.4451,0.4783
1DAN_HL_UT,naive,2.0,0.0787,0.0722,-0.1868
1DQJ_AB_C,naive,2.0,0.2891,0.1635,-0.0938
1FY8_E_I,naive,2.0,0.2709,0.1511,0.2617
1GL0_E_I,naive,2.0,0.6769,0.1147,0.5016
1GL1_A_I,naive,2.0,0.8888,0.4213,0.6987
1KAC_A_B,naive,2.0,0.1448,-0.0754,-0.0701
1KIQ_AB_C,naive,2.0,0.1153,0.2685,-0.0605
1LFD_A_B,naive,2.0,0.164,0.2159,-0.2123
1P69_A_B,naive,2.0,0.194,-0.0558,-0.1889
1R0R_E_I,naive,2.0,0.4466,0.4142,0.2208
1S0W_A_C,naive,2.0,0.8158,0.2907,0.3198
1SBB_A_B,naive,2.0,0.1339,0.1781,-0.0166
1SBN_E_I,naive,2.0,0.6996,0.3478,0.3391
1SGY_E_I,naive,2.0,0.518,0.1763,0.3633
1TM7_E_I,naive,2.0,0.3976,0.136,0.1403
1TMG_E_I,naive,2.0,0.4167,0.0522,0.0928
1VFB_AB_C,naive,2.0,0.0454,0.0242,-0.0904
1X1X_A_D,naive,2.0,0.5284,0.8596,0.0345
1XGP_AB_C,naive,2.0,0.4898,0.4109,0.0541
1Y48_E_I,naive,2.0,0.3301,-0.0982,0.1485
1Y4A_E_I,naive,2.0,0.4965,0.2053,0.3626
2AW2_A_B,naive,2.0,0.1891,0.0496,0.2364
2B12_A_B,naive,2.0,0.2286,0.0456,-0.1496
2HRK_A_B,naive,2.0,0.1305,-0.2671,-0.0596
2JEL_LH_P,naive,2.0,0.2151,0.4049,-0.0127
2KSO_A_B,naive,2.0,0.533,0.3703,-0.0507
2NU2_E_I,naive,2.0,0.476,0.4371,0.4237
2OI9_AQ_BC,naive,2.0,0.0572,-0.2825,-0.2514
2REX_A_B,naive,2.0,0.1236,-0.7519,-0.1124
2SIC_E_I,naive,2.0,0.6541,0.7154,0.3133
3BK3_A_C,naive,2.0,0.0315,0.0861,0.082
3BT1_A_U,naive,2.0,0.3339,0.1335,0.2287
3BTF_E_I,naive,2.0,0.4015,0.0677,0.1959
3BTH_E_I,naive,2.0,0.5004,0.2767,0.5169
3BTM_E_I,naive,2.0,0.4039,0.2028,-0.0956
3EQS_A_B,naive,2.0,0.0439,-0.7726,-0.0999
3HFM_HL_Y,naive,2.0,0.1738,0.273,0.0544
3KUD_A_B,naive,2.0,0.0945,0.307,-0.1067
3N0P_A_B,naive,2.0,0.2405,-0.0735,0.0513
3N4I_A_B,naive,2.0,0.5284,0.0174,0.1449
3Q8D_A_E,naive,2.0,0.7008,1.0867,-0.1956
3SE3_B_C,naive,2.0,0.4568,0.0753,0.1466
3SE4_B_C,naive,2.0,0.2607,0.0055,-0.1046
3TGK_E_I,naive,2.0,0.4524,0.1923,0.4877
3UIG_A_P,naive,2.0,0.5442,-0.0439,0.182
3UIH_A_P,naive,2.0,0.5232,0.6541,1.3022
4BFI_A_B,naive,2.0,0.45,-0.0462,0.1287
4EKD_A_B,naive,2.0,0.3299,0.303,-0.1502
4G0N_A_B,naive,2.0,0.223,0.5085,-0.0358
4KRL_A_B,naive,2.0,0.2877,-0.1266,-0.2021
4L0P_A_B,naive,2.0,0.0311,-0.5124,-0.4715
4MYW_A_B,naive,2.0,0.1257,0.0345,0.1012
4N8V_G_ABC,naive,2.0,0.4064,-0.0669,0.1157
5F4E_A_B,naive,2.0,0.186,-0.0047,0.2953
5M2O_A_B,naive,2.0,0.2893,-0.2142,0.2867
5TAR_A_B,naive,2.0,0.3321,0.2794,0.3434
