complex_id,direction,alpha,meanL_pifold
1ACB_E_I,L,2.0,0.351
1ACB_E_I,random,2.0,-0.6599
1AK4_A_D,L,2.0,0.1388
1AK4_A_D,random,2.0,-0.0964
1B2S_A_D,L,2.0,-0.0651
1B2S_A_D,random,2.0,-1.0828
1CT0_E_I,L,2.0,0.6427
1CT0_E_I,random,2.0,-0.9427
1DAN_HL_UT,L,2.0,0.2697
1DAN_HL_UT,random,2.0,-0.6273
1DQJ_AB_C,L,2.0,0.3306
1DQJ_AB_C,random,2.0,-0.0703
1FY8_E_I,L,2.0,0.3543
1FY8_E_I,random,2.0,-0.2991
1GL0_E_I,L,2.0,0.5105
1GL0_E_I,random,2.0,-0.3685
1GL1_A_I,L,2.0,0.1828
1GL1_A_I,random,2.0,-0.047
1KAC_A_B,L,2.0,0.3286
1KAC_A_B,random,2.0,-0.6691
1KIQ_AB_C,L,2.0,-0.1287
1KIQ_AB_C,random,2.0,-0.4005
1LFD_A_B,L,2.0,0.0917
1LFD_A_B,random,2.0,-0.5359
1P69_A_B,L,2.0,0.3025
1P69_A_B,random,2.0,-0.4053
1R0R_E_I,L,2.0,0.6977
1R0R_E_I,random,2.0,0.2496
1S0W_A_C,L,2.0,0.5326
1S0W_A_C,random,2.0,-0.0647
1SBB_A_B,L,2.0,0.6509
1SBB_A_B,random,2.0,0.3663
1SBN_E_I,L,2.0,0.7911
1SBN_E_I,random,2.0,0.1215
1SGY_E_I,L,2.0,0.6236
1SGY_E_I,random,2.0,0.1178
1TM7_E_I,L,2.0,0.5285
1TM7_E_I,random,2.0,-0.1581
1TMG_E_I,L,2.0,0.4276
1TMG_E_I,random,2.0,0.0451
1VFB_AB_C,L,2.0,0.2892
1VFB_AB_C,random,2.0,-0.3963
1X1X_A_D,L,2.0,-0.007
1X1X_A_D,random,2.0,-1.1028
1XGP_AB_C,L,2.0,0.5701
1XGP_AB_C,random,2.0,-0.0647
1Y48_E_I,L,2.0,0.4926
1Y48_E_I,random,2.0,-0.6151
1Y4A_E_I,L,2.0,0.8243
1Y4A_E_I,random,2.0,-0.0224
2AW2_A_B,L,2.0,0.3691
2AW2_A_B,random,2.0,-0.307
2B12_A_B,L,2.0,-0.0781
2B12_A_B,random,2.0,-0.4677
2HRK_A_B,L,2.0,0.0522
2HRK_A_B,random,2.0,-1.6815
2JEL_LH_P,L,2.0,0.5965
2JEL_LH_P,random,2.0,-0.8531
2KSO_A_B,L,2.0,0.0901
2KSO_A_B,random,2.0,-0.3639
2NU2_E_I,L,2.0,0.9786
2NU2_E_I,random,2.0,-0.6809
2OI9_AQ_BC,L,2.0,-0.036
2OI9_AQ_BC,random,2.0,-0.4011
2REX_A_B,L,2.0,0.3267
2REX_A_B,random,2.0,-0.8143
2SIC_E_I,L,2.0,0.8658
2SIC_E_I,random,2.0,-0.1502
3BK3_A_C,L,2.0,0.229
3BK3_A_C,random,2.0,-1.5012
3BT1_A_U,L,2.0,0.4763
3BT1_A_U,random,2.0,-0.1248
3BTF_E_I,L,2.0,0.5252
3BTF_E_I,random,2.0,-0.2223
3BTH_E_I,L,2.0,1.129
3BTH_E_I,random,2.0,-0.0402
3BTM_E_I,L,2.0,0.9503
3BTM_E_I,random,2.0,0.6664
3EQS_A_B,L,2.0,-0.2909
3EQS_A_B,random,2.0,-1.9262
3HFM_HL_Y,L,2.0,0.7889
3HFM_HL_Y,random,2.0,0.2875
3KUD_A_B,L,2.0,0.1656
3KUD_A_B,random,2.0,-0.018
3N0P_A_B,L,2.0,0.2154
3N0P_A_B,random,2.0,-0.625
3N4I_A_B,L,2.0,0.7204
3N4I_A_B,random,2.0,-0.0358
3Q8D_A_E,L,2.0,-0.0659
3Q8D_A_E,random,2.0,-0.0891
3SE3_B_C,L,2.0,0.3389
3SE3_B_C,random,2.0,-0.6483
3SE4_B_C,L,2.0,0.0917
3SE4_B_C,random,2.0,-0.6331
3TGK_E_I,L,2.0,0.3872
3TGK_E_I,random,2.0,-0.0563
3UIG_A_P,L,2.0,-0.2131
3UIG_A_P,random,2.0,0.0194
3UIH_A_P,L,2.0,0.831
3UIH_A_P,random,2.0,0.4028
4BFI_A_B,L,2.0,0.0137
4BFI_A_B,random,2.0,-0.8531
4EKD_A_B,L,2.0,0.22
4EKD_A_B,random,2.0,-0.137
4G0N_A_B,L,2.0,-0.1524
4G0N_A_B,random,2.0,-0.2031
4KRL_A_B,L,2.0,0.0743
4KRL_A_B,random,2.0,-0.4169
4L0P_A_B,L,2.0,-0.1254
4L0P_A_B,random,2.0,-1.2789
4MYW_A_B,L,2.0,0.4196
4MYW_A_B,random,2.0,-0.3038
4N8V_G_ABC,L,2.0,0.6767
4N8V_G_ABC,random,2.0,-0.0191
5F4E_A_B,L,2.0,0.2312
5F4E_A_B,random,2.0,-0.2543
5M2O_A_B,L,2.0,0.4774
5M2O_A_B,random,2.0,-0.6922
5TAR_A_B,L,2.0,0.2604
5TAR_A_B,random,2.0,-0.2124
