complex_id,direction,k,iptm,ptm,interface_pae,interface_plddt,n_iface,seed
1ACB_E_I,wt,-1,0.91,0.94,2.5729,93.2416,32,20260803
1ACB_E_I,L,0,0.91,0.94,2.4832,92.8266,32,20260803
1ACB_E_I,L,1,0.9,0.93,2.5852,92.2169,32,20260803
1ACB_E_I,L,2,0.91,0.93,2.9865,91.1838,32,20260803
1ACB_E_I,random,0,0.32,0.81,12.5533,67.2409,32,20260803
1ACB_E_I,random,1,0.36,0.82,11.5333,70.7397,32,20260803
1ACB_E_I,random,2,0.82,0.92,3.9757,88.6394,32,20260803
1AK4_A_D,wt,-1,0.81,0.82,2.8106,92.1892,26,20260803
1AK4_A_D,L,0,0.17,0.58,23.6345,67.68,26,20260803
1AK4_A_D,L,1,0.83,0.8,2.9852,91.3742,26,20260803
1AK4_A_D,L,2,0.55,0.68,6.8239,78.8619,26,20260803
1AK4_A_D,random,0,0.47,0.67,8.558,74.7377,26,20260803
1AK4_A_D,random,1,0.26,0.6,16.2696,65.6323,26,20260803
1AK4_A_D,random,2,0.31,0.61,14.2516,66.7831,26,20260803
1B2S_A_D,wt,-1,0.91,0.92,1.7888,96.7036,28,20260803
1B2S_A_D,L,0,0.84,0.88,2.5588,92.6675,28,20260803
1B2S_A_D,L,1,0.86,0.9,2.9305,91.6204,28,20260803
1B2S_A_D,L,2,0.9,0.92,1.9953,95.9996,28,20260803
1B2S_A_D,random,0,0.25,0.63,12.8953,70.3443,28,20260803
1B2S_A_D,random,1,0.87,0.9,2.2031,95.0321,28,20260803
1B2S_A_D,random,2,0.8,0.86,3.1456,89.7711,28,20260803
1CT0_E_I,wt,-1,0.91,0.94,1.8962,96.3214,28,20260803
1CT0_E_I,L,0,0.92,0.94,1.8755,96.31,28,20260803
1CT0_E_I,L,1,0.92,0.94,1.8024,97.0761,28,20260803
1CT0_E_I,L,2,0.92,0.95,1.6402,97.6582,28,20260803
1CT0_E_I,random,0,0.81,0.92,3.685,89.9504,28,20260803
1CT0_E_I,random,1,0.3,0.81,11.6019,66.1614,28,20260803
1CT0_E_I,random,2,0.79,0.91,4.3109,88.1896,28,20260803
1DAN_HL_UT,wt,-1,0.87,0.89,5.1168,91.0085,81,20260803
1DAN_HL_UT,L,0,0.83,0.85,6.4308,86.6568,81,20260803
1DAN_HL_UT,L,1,0.85,0.87,6.0561,88.8965,81,20260803
1DAN_HL_UT,L,2,0.83,0.85,6.5751,87.4138,81,20260803
1DAN_HL_UT,random,0,0.72,0.72,11.0601,75.5732,81,20260803
1DAN_HL_UT,random,1,0.71,0.72,14.5578,70.8888,81,20260803
1DAN_HL_UT,random,2,0.76,0.76,11.8535,74.7348,81,20260803
1DQJ_AB_C,wt,-1,0.66,0.74,18.0779,75.6,41,20260803
