complex_id,direction,alpha,n_int,int_recovery,noninterface_recovery,meanL_mpnn,meanL_esmif,meanL_mif
1ACB_E_I,naive,0.0,32,0.3076,0.4145,0.3145,-0.3596,-0.0724
1ACB_E_I,naive,2.0,32,0.4028,0.4174,0.6442,-0.1863,0.0281
1AK4_A_D,naive,0.0,26,0.3726,0.374,-0.2021,0.0349,-0.3048
1AK4_A_D,naive,2.0,26,0.5403,0.3744,0.0213,0.2407,-0.0224
1B2S_A_D,naive,0.0,28,0.298,0.4079,0.0779,0.299,-0.3112
1B2S_A_D,naive,2.0,28,0.3772,0.4094,0.4325,1.0287,0.0079
1CT0_E_I,naive,0.0,28,0.4007,0.4644,0.1232,-0.2185,0.2767
1CT0_E_I,naive,2.0,28,0.5307,0.4676,0.517,0.384,0.4884
1DAN_HL_UT,naive,0.0,81,0.2805,0.3865,-0.1837,-0.3049,-0.3275
1DAN_HL_UT,naive,2.0,81,0.4057,0.3873,0.0621,-0.0222,-0.2011
1DQJ_AB_C,naive,0.0,41,0.2717,0.4033,0.0446,-0.038,-0.2242
1DQJ_AB_C,naive,2.0,41,0.3754,0.4029,0.2438,0.1841,-0.1519
1FY8_E_I,naive,0.0,31,0.3775,0.4186,0.1361,0.0828,0.1257
1FY8_E_I,naive,2.0,31,0.4934,0.4205,0.3546,0.212,0.3244
1GL0_E_I,naive,0.0,43,0.3016,0.3982,0.4296,0.0646,0.256
1GL0_E_I,naive,2.0,43,0.3725,0.4003,0.7089,0.1397,0.5002
1GL1_A_I,naive,0.0,34,0.3286,0.4104,0.5227,0.0964,0.4868
1GL1_A_I,naive,2.0,34,0.3929,0.4107,0.9723,0.3766,0.8571
1KAC_A_B,naive,0.0,34,0.2978,0.364,-0.2023,-0.4497,-0.1793
1KAC_A_B,naive,2.0,34,0.4026,0.3652,0.1405,-0.0735,-0.0493
1KIQ_AB_C,naive,0.0,30,0.2771,0.4196,-0.071,-0.045,-0.1129
1KIQ_AB_C,naive,2.0,30,0.3786,0.4209,0.0292,0.2108,-0.1354
1LFD_A_B,naive,0.0,24,0.304,0.3351,-0.1204,0.0989,-0.4106
1LFD_A_B,naive,2.0,24,0.4186,0.3344,0.1512,0.3838,-0.2559
1P69_A_B,naive,0.0,34,0.2881,0.3632,-0.1444,-0.4465,-0.2641
1P69_A_B,naive,2.0,34,0.3805,0.3653,0.189,-0.0988,-0.1547
1R0R_E_I,naive,0.0,33,0.3243,0.4689,0.3097,0.4226,0.4524
1R0R_E_I,naive,2.0,33,0.4806,0.4705,0.3888,0.3405,0.2396
1S0W_A_C,naive,0.0,50,0.2288,0.3948,0.4296,0.1311,0.2395
1S0W_A_C,naive,2.0,50,0.2869,0.3941,0.7509,0.218,0.3043
1SBB_A_B,naive,0.0,26,0.28,0.3061,-0.203,-0.0536,-0.1376
1SBB_A_B,naive,2.0,26,0.4507,0.3065,0.1928,0.2272,0.0072
1SBN_E_I,naive,0.0,35,0.2772,0.4341,0.395,0.1231,0.1124
1SBN_E_I,naive,2.0,35,0.3576,0.4351,0.6785,0.3682,0.3236
1SGY_E_I,naive,0.0,28,0.3945,0.4515,0.0251,-0.5357,0.0524
1SGY_E_I,naive,2.0,28,0.5592,0.4552,0.5168,0.1296,0.4053
1TM7_E_I,naive,0.0,35,0.3112,0.4426,0.18,-0.0107,-0.0736
1TM7_E_I,naive,2.0,35,0.4214,0.4443,0.3248,0.0949,0.0542
1TMG_E_I,naive,0.0,35,0.3094,0.4416,0.1607,-0.0503,-0.0725
1TMG_E_I,naive,2.0,35,0.4196,0.4436,0.3295,0.0687,0.0366
1VFB_AB_C,naive,0.0,33,0.2874,0.4125,-0.0311,-0.0527,-0.0207
1VFB_AB_C,naive,2.0,33,0.3982,0.4129,0.1153,0.1045,-0.0097
1X1X_A_D,naive,0.0,30,0.2771,0.4006,0.169,0.3306,-0.3014
1X1X_A_D,naive,2.0,30,0.3453,0.4047,0.5103,0.838,0.0636
1XGP_AB_C,naive,0.0,36,0.2279,0.3951,0.2025,0.178,-0.0113
1XGP_AB_C,naive,2.0,36,0.3186,0.3963,0.4345,0.2412,-0.047
1Y48_E_I,naive,0.0,35,0.3321,0.445,0.1651,-0.2772,0.0904
