complex_id,direction,alpha,n_int,int_recovery,noninterface_recovery,meanL_mpnn,meanL_esmif
1A22_A_B,L,0.0,60,0.2445,0.2946,-0.1517,-0.2721
1A22_A_B,L,0.25,60,0.2604,0.2944,-0.0239,-0.1686
1A22_A_B,L,0.5,60,0.2716,0.2945,0.0953,-0.0821
1A22_A_B,L,1.0,60,0.2938,0.2943,0.2371,0.0267
1A22_A_B,L,2.0,60,0.3091,0.2944,0.3914,0.1277
1A22_A_B,random,0.0,60,0.2445,0.2946,-0.1517,-0.2721
1A22_A_B,random,0.25,60,0.2474,0.2944,-0.1787,-0.2832
1A22_A_B,random,0.5,60,0.2424,0.2939,-0.196,-0.2986
1A22_A_B,random,1.0,60,0.2349,0.294,-0.2633,-0.3832
1A22_A_B,random,2.0,60,0.1995,0.2939,-0.4183,-0.5758
1A4Y_A_B,L,0.0,60,0.1607,0.3723,0.0132,0.1128
1A4Y_A_B,L,0.25,60,0.1622,0.3724,0.096,0.1882
1A4Y_A_B,L,0.5,60,0.1677,0.3724,0.1808,0.2616
1A4Y_A_B,L,1.0,60,0.1768,0.3722,0.3073,0.3608
1A4Y_A_B,L,2.0,60,0.1815,0.3724,0.4591,0.4848
1A4Y_A_B,random,0.0,60,0.1607,0.3723,0.0132,0.1128
1A4Y_A_B,random,0.25,60,0.1557,0.3724,0.0183,0.1325
1A4Y_A_B,random,0.5,60,0.1602,0.3722,0.0079,0.1309
1A4Y_A_B,random,1.0,60,0.156,0.3722,-0.0029,0.1213
1A4Y_A_B,random,2.0,60,0.1401,0.372,-0.0811,0.0385
1ACB_E_I,L,0.0,32,0.2959,0.4123,0.3264,-0.3389
1ACB_E_I,L,0.25,32,0.3032,0.412,0.469,-0.2581
1ACB_E_I,L,0.5,32,0.3071,0.4118,0.555,-0.2123
1ACB_E_I,L,1.0,32,0.3188,0.4117,0.723,-0.1476
1ACB_E_I,L,2.0,32,0.3252,0.4115,0.9348,-0.0766
1ACB_E_I,random,0.0,32,0.2959,0.4123,0.3264,-0.3389
1ACB_E_I,random,0.25,32,0.293,0.4125,0.3138,-0.3614
1ACB_E_I,random,0.5,32,0.2822,0.4122,0.2989,-0.4057
1ACB_E_I,random,1.0,32,0.2573,0.4126,0.2596,-0.4559
1ACB_E_I,random,2.0,32,0.2202,0.4114,0.1406,-0.568
1AHW_AB_C,L,0.0,44,0.1825,0.3456,0.1527,-0.0272
1AHW_AB_C,L,0.25,44,0.1854,0.345,0.313,0.0712
1AHW_AB_C,L,0.5,44,0.185,0.3448,0.4266,0.1339
1AHW_AB_C,L,1.0,44,0.1861,0.3448,0.5441,0.2053
1AHW_AB_C,L,2.0,44,0.1911,0.3451,0.7157,0.3133
1AHW_AB_C,random,0.0,44,0.1825,0.3456,0.1527,-0.0272
1AHW_AB_C,random,0.25,44,0.1808,0.3454,0.1627,-0.0381
1AHW_AB_C,random,0.5,44,0.1783,0.3453,0.159,-0.0464
1AHW_AB_C,random,1.0,44,0.1641,0.3451,0.0976,-0.0786
1AHW_AB_C,random,2.0,44,0.1392,0.3444,-0.0274,-0.14
1AK4_A_D,L,0.0,26,0.366,0.3627,-0.2236,0.0412
1AK4_A_D,L,0.25,26,0.3882,0.3632,-0.1342,0.0785
1AK4_A_D,L,0.5,26,0.4056,0.3635,-0.0674,0.11
1AK4_A_D,L,1.0,26,0.4255,0.3638,0.0423,0.1782
1AK4_A_D,L,2.0,26,0.4285,0.3636,0.1786,0.2368
1AK4_A_D,random,0.0,26,0.366,0.3627,-0.2236,0.0412
1AK4_A_D,random,0.25,26,0.3648,0.363,-0.2352,0.0374
1AK4_A_D,random,0.5,26,0.366,0.3632,-0.2379,0.0171
1AK4_A_D,random,1.0,26,0.3474,0.3632,-0.2819,-0.0187
1AK4_A_D,random,2.0,26,0.256,0.3627,-0.569,-0.2447
1B2S_A_D,L,0.0,28,0.3019,0.4075,0.0793,0.3508
1B2S_A_D,L,0.25,28,0.3214,0.4074,0.2625,0.5627
1B2S_A_D,L,0.5,28,0.3281,0.408,0.3826,0.6853
1B2S_A_D,L,1.0,28,0.3281,0.4078,0.5619,0.8816
1B2S_A_D,L,2.0,28,0.3259,0.4086,0.7484,1.0351
1B2S_A_D,random,0.0,28,0.3019,0.4075,0.0793,0.3508
1B2S_A_D,random,0.25,28,0.3131,0.4075,0.0752,0.3539
1B2S_A_D,random,0.5,28,0.3131,0.4077,0.0254,0.2912
1B2S_A_D,random,1.0,28,0.2997,0.4059,-0.1755,0.0182
1B2S_A_D,random,2.0,28,0.264,0.4049,-0.5699,-0.4424
1B2U_A_D,L,0.0,30,0.2672,0.4106,-0.0112,0.2649
1B2U_A_D,L,0.25,30,0.2911,0.412,0.1696,0.4763
1B2U_A_D,L,0.5,30,0.3094,0.4108,0.2856,0.618
1B2U_A_D,L,1.0,30,0.3266,0.413,0.4736,0.7955
1B2U_A_D,L,2.0,30,0.3271,0.4131,0.6676,0.9802
