block,complex_id,influence,command
expA_of3_SECONDARY_B_dpred,1JRH_LH_I,-0.026723717787183243,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1Z7X_W_X,-0.026504309013849897,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1JTD_A_B,-0.019865664240516556,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1BD2_ABC_DE,-0.017359797189257314,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1JTG_A_B,-0.015763624701204737,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4PWX_AB_CD,-0.013724037014654134,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,4J2L_A_CD,-0.01305913087371341,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1BRS_A_D,-0.012945817932159348,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1TM1_E_I,-0.011543363795921996,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1OGA_ABC_DE,-0.01094254762446703,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
expA_of3_SECONDARY_B_dpred,1XGQ_AB_C,-0.010514083130931301,python3 src/expD_leverage.py --expA-pairs results/p0_dssp_pairs_SECONDARY_B_any_interface.csv --of3-positions /scratch/users/cbertsch/ftax/predicted/expA_p0_positions.csv --c2-perbackbone results/expC2_gap_perbackbone.csv --out results/expD_leverage.csv
