complex_id,direction,k,iptm,ptm,interface_pae,interface_plddt,n_iface,seed
1ACB_E_I,wt,-1,0.91,0.94,2.5729,93.2416,32,20260803
1ACB_E_I,L,0,0.88,0.93,2.9088,90.6972,32,20260803
1ACB_E_I,L,1,0.81,0.91,4.0338,85.9219,32,20260803
1ACB_E_I,L,2,0.64,0.86,7.3061,78.2178,32,20260803
1ACB_E_I,random,0,0.63,0.87,6.454,78.0259,32,20260803
1ACB_E_I,random,1,0.48,0.84,9.7935,71.3866,32,20260803
1ACB_E_I,random,2,0.75,0.9,5.6363,81.3422,32,20260803
1AK4_A_D,wt,-1,0.81,0.82,2.8106,92.1892,26,20260803
1AK4_A_D,L,0,0.66,0.77,4.756,84.8885,26,20260803
1AK4_A_D,L,1,0.2,0.6,18.68,62.8912,26,20260803
1AK4_A_D,L,2,0.18,0.59,19.9886,59.4458,26,20260803
1AK4_A_D,random,0,0.2,0.6,14.5952,62.5469,26,20260803
1AK4_A_D,random,1,0.21,0.6,14.0649,64.0023,26,20260803
1AK4_A_D,random,2,0.23,0.61,12.3778,65.14,26,20260803
1B2S_A_D,wt,-1,0.91,0.92,1.7888,96.7036,28,20260803
1B2S_A_D,L,0,0.81,0.86,3.1323,89.8146,28,20260803
1B2S_A_D,L,1,0.7,0.81,3.7436,87.3239,28,20260803
1B2S_A_D,L,2,0.82,0.87,2.696,91.7921,28,20260803
1B2S_A_D,random,0,0.18,0.59,15.9692,76.4768,28,20260803
1B2S_A_D,random,1,0.22,0.6,13.5025,70.0175,28,20260803
1B2S_A_D,random,2,0.39,0.68,9.2091,74.1196,28,20260803
1CT0_E_I,wt,-1,0.91,0.94,1.8962,96.3214,28,20260803
1CT0_E_I,L,0,0.88,0.93,2.232,94.8779,28,20260803
1CT0_E_I,L,1,0.9,0.94,2.0491,95.7868,28,20260803
1CT0_E_I,L,2,0.89,0.94,2.0538,95.9218,28,20260803
1CT0_E_I,random,0,0.31,0.81,12.3685,65.9486,28,20260803
1CT0_E_I,random,1,0.36,0.82,10.0464,69.665,28,20260803
1CT0_E_I,random,2,0.33,0.81,12.5222,63.8668,28,20260803
1DAN_HL_UT,wt,-1,0.87,0.89,5.1168,91.0085,81,20260803
1DAN_HL_UT,L,0,0.81,0.82,7.973,83.0951,81,20260803
1DAN_HL_UT,L,1,0.82,0.84,6.4478,86.6375,81,20260803
1DAN_HL_UT,L,2,0.83,0.82,9.8189,80.9873,81,20260803
1DAN_HL_UT,random,0,0.69,0.7,11.4682,74.6363,81,20260803
1DAN_HL_UT,random,1,0.77,0.78,9.3495,78.8153,81,20260803
1DAN_HL_UT,random,2,0.74,0.74,10.5578,76.701,81,20260803
1DQJ_AB_C,wt,-1,0.66,0.74,18.0779,75.6,41,20260803
1DQJ_AB_C,L,0,0.67,0.76,16.8226,68.3902,41,20260803
1DQJ_AB_C,L,1,0.66,0.75,19.6786,73.0398,41,20260803
1DQJ_AB_C,L,2,0.66,0.75,17.1977,71.021,41,20260803
1DQJ_AB_C,random,0,0.65,0.74,19.0218,71.1983,41,20260803
1DQJ_AB_C,random,1,0.65,0.74,19.0349,72.5373,41,20260803
1DQJ_AB_C,random,2,0.65,0.74,18.9067,71.1141,41,20260803
1FY8_E_I,wt,-1,0.92,0.94,1.9136,96.6323,31,20260803
1FY8_E_I,L,0,0.42,0.81,10.6942,65.3958,31,20260803
1FY8_E_I,L,1,0.4,0.81,10.7481,69.8771,31,20260803
1FY8_E_I,L,2,0.27,0.78,13.3157,60.1381,31,20260803
1FY8_E_I,random,0,0.28,0.79,13.6307,62.4448,31,20260803
1FY8_E_I,random,1,0.22,0.77,15.9257,61.9113,31,20260803
1FY8_E_I,random,2,0.28,0.79,14.2096,62.6777,31,20260803
1GL0_E_I,wt,-1,0.94,0.95,2.1274,95.7877,43,20260803
1GL0_E_I,L,0,0.9,0.94,3.0169,91.4037,43,20260803
1GL0_E_I,L,1,0.92,0.94,2.7337,92.3142,43,20260803
1GL0_E_I,L,2,0.9,0.93,3.0456,90.6149,43,20260803
1GL0_E_I,random,0,0.44,0.87,13.7223,60.0612,43,20260803
1GL0_E_I,random,1,0.83,0.9,5.5926,76.7226,43,20260803
1GL0_E_I,random,2,0.86,0.92,4.4282,82.836,43,20260803
1GL1_A_I,wt,-1,0.93,0.94,2.1981,95.61,34,20260803
1GL1_A_I,L,0,0.85,0.92,4.0516,84.2,34,20260803
1GL1_A_I,L,1,0.91,0.94,2.7333,93.6929,34,20260803
1GL1_A_I,L,2,0.91,0.93,3.2287,89.1609,34,20260803
1GL1_A_I,random,0,0.37,0.86,12.2937,61.8732,34,20260803
1GL1_A_I,random,1,0.46,0.87,10.8534,62.6965,34,20260803
1GL1_A_I,random,2,0.75,0.91,6.0043,77.0071,34,20260803
1KAC_A_B,wt,-1,0.17,0.62,25.6403,82.7368,34,20260803
1KAC_A_B,L,0,0.45,0.73,11.7369,79.6941,34,20260803
1KAC_A_B,L,1,0.17,0.6,21.5259,69.4047,34,20260803
1KAC_A_B,L,2,0.16,0.6,21.6498,70.9288,34,20260803
1KAC_A_B,random,0,0.19,0.61,20.2963,69.6694,34,20260803
1KAC_A_B,random,1,0.22,0.64,19.4023,76.8841,34,20260803
1KAC_A_B,random,2,0.24,0.64,15.5631,69.3288,34,20260803
1KIQ_AB_C,wt,-1,0.57,0.69,19.6323,79.6307,30,20260803
1KIQ_AB_C,L,0,0.59,0.7,17.678,76.116,30,20260803
1KIQ_AB_C,L,1,0.56,0.69,19.6029,76.3913,30,20260803
1KIQ_AB_C,L,2,0.56,0.69,19.5756,76.866,30,20260803
1KIQ_AB_C,random,0,0.55,0.68,21.5182,70.6087,30,20260803
1KIQ_AB_C,random,1,0.55,0.68,21.6542,78.3447,30,20260803
1KIQ_AB_C,random,2,0.56,0.68,20.9445,72.1833,30,20260803
1LFD_A_B,wt,-1,0.86,0.92,3.3051,91.57,24,20260803
1LFD_A_B,L,0,0.73,0.86,5.9039,82.875,24,20260803
1LFD_A_B,L,1,0.68,0.84,6.5241,81.9112,24,20260803
1LFD_A_B,L,2,0.79,0.89,5.0063,84.8371,24,20260803
1LFD_A_B,random,0,0.25,0.69,16.4032,58.8508,24,20260803
1LFD_A_B,random,1,0.77,0.85,6.7048,80.9704,24,20260803
1LFD_A_B,random,2,0.15,0.64,23.6232,62.6254,24,20260803
1P69_A_B,wt,-1,0.17,0.62,24.9096,81.7056,34,20260803
1P69_A_B,L,0,0.18,0.61,20.3515,70.7274,34,20260803
1P69_A_B,L,1,0.18,0.61,19.4697,70.0547,34,20260803
1P69_A_B,L,2,0.18,0.61,20.4108,71.5185,34,20260803
1P69_A_B,random,0,0.62,0.81,7.6655,76.7259,34,20260803
1P69_A_B,random,1,0.17,0.6,20.2401,69.36,34,20260803
1P69_A_B,random,2,0.82,0.89,5.7097,89.6485,34,20260803
1R0R_E_I,wt,-1,0.93,0.96,2.0159,96.633,33,20260803
1R0R_E_I,L,0,0.89,0.96,3.1753,92.7936,33,20260803
1R0R_E_I,L,1,0.92,0.96,2.044,95.9039,33,20260803
1R0R_E_I,L,2,0.93,0.96,1.6769,97.8694,33,20260803
1R0R_E_I,random,0,0.34,0.86,12.7585,66.7597,33,20260803
1R0R_E_I,random,1,0.77,0.93,5.1732,84.1012,33,20260803
1R0R_E_I,random,2,0.35,0.86,11.0817,69.2627,33,20260803
1S0W_A_C,wt,-1,0.84,0.91,4.8478,86.6068,50,20260803
1S0W_A_C,L,0,0.73,0.87,6.5653,81.8412,50,20260803
1S0W_A_C,L,1,0.71,0.86,6.8532,81.5134,50,20260803
1S0W_A_C,L,2,0.9,0.94,3.416,90.7872,50,20260803
1S0W_A_C,random,0,0.21,0.66,18.0696,69.5168,50,20260803
1S0W_A_C,random,1,0.26,0.68,16.217,65.4786,50,20260803
1S0W_A_C,random,2,0.22,0.66,18.4051,67.8352,50,20260803
1SBB_A_B,wt,-1,0.29,0.58,26.8589,80.0092,26,20260803
1SBB_A_B,L,0,0.24,0.58,16.8957,66.0777,26,20260803
1SBB_A_B,L,1,0.67,0.78,6.692,83.6873,26,20260803
1SBB_A_B,L,2,0.11,0.52,27.4524,79.0838,26,20260803
1SBB_A_B,random,0,0.24,0.58,17.8264,70.3154,26,20260803
1SBB_A_B,random,1,0.09,0.51,29.3836,80.6327,26,20260803
1SBB_A_B,random,2,0.18,0.55,22.3741,71.5496,26,20260803
1SBN_E_I,wt,-1,0.93,0.96,1.8119,96.9949,35,20260803
1SBN_E_I,L,0,0.91,0.96,2.2217,95.1906,35,20260803
1SBN_E_I,L,1,0.92,0.95,2.2833,94.496,35,20260803
1SBN_E_I,L,2,0.9,0.95,2.3902,94.1434,35,20260803
1SBN_E_I,random,0,0.83,0.93,3.558,88.0766,35,20260803
1SBN_E_I,random,1,0.88,0.95,2.3544,94.0851,35,20260803
1SBN_E_I,random,2,0.82,0.94,3.156,91.7054,35,20260803
1SGY_E_I,wt,-1,0.91,0.94,1.9939,95.5154,28,20260803
1SGY_E_I,L,0,0.9,0.94,2.1452,95.3179,28,20260803
1SGY_E_I,L,1,0.88,0.93,2.6003,92.2207,28,20260803
1SGY_E_I,L,2,0.47,0.84,8.2858,72.6846,28,20260803
1SGY_E_I,random,0,0.78,0.91,3.927,88.7379,28,20260803
1SGY_E_I,random,1,0.87,0.93,2.6318,92.5689,28,20260803
1SGY_E_I,random,2,0.32,0.8,12.102,63.7939,28,20260803
1TM7_E_I,wt,-1,0.92,0.96,1.8149,96.6326,35,20260803
1TM7_E_I,L,0,0.92,0.96,1.9482,96.6306,35,20260803
1TM7_E_I,L,1,0.92,0.96,1.8589,97.204,35,20260803
1TM7_E_I,L,2,0.91,0.95,2.0349,96.102,35,20260803
1TM7_E_I,random,0,0.78,0.91,4.5819,85.8594,35,20260803
1TM7_E_I,random,1,0.87,0.95,2.5946,94.0049,35,20260803
1TM7_E_I,random,2,0.86,0.94,2.7422,92.8746,35,20260803
1TMG_E_I,wt,-1,0.92,0.96,1.8023,96.5531,35,20260803
1TMG_E_I,L,0,0.9,0.95,2.2464,95.1271,35,20260803
1TMG_E_I,L,1,0.86,0.94,3.2695,89.8763,35,20260803
1TMG_E_I,L,2,0.9,0.95,2.1709,95.6331,35,20260803
1TMG_E_I,random,0,0.37,0.85,12.4597,67.7503,35,20260803
1TMG_E_I,random,1,0.35,0.84,11.4539,68.9309,35,20260803
1TMG_E_I,random,2,0.31,0.84,12.4042,68.1243,35,20260803
1VFB_AB_C,wt,-1,0.56,0.69,20.9528,79.8282,33,20260803
1VFB_AB_C,L,0,0.56,0.68,20.6603,77.4045,33,20260803
1VFB_AB_C,L,1,0.56,0.69,20.6355,76.2909,33,20260803
1VFB_AB_C,L,2,0.56,0.69,19.3981,77.3182,33,20260803
1VFB_AB_C,random,0,0.55,0.68,22.0751,73.3627,33,20260803
1VFB_AB_C,random,1,0.55,0.68,21.5487,77.4267,33,20260803
1VFB_AB_C,random,2,0.55,0.68,21.2786,76.5091,33,20260803
1X1X_A_D,wt,-1,0.92,0.93,1.6989,97.3787,30,20260803
1X1X_A_D,L,0,0.86,0.89,2.7652,91.417,30,20260803
1X1X_A_D,L,1,0.85,0.88,2.7687,90.6807,30,20260803
1X1X_A_D,L,2,0.9,0.92,2.0194,96.172,30,20260803
1X1X_A_D,random,0,0.63,0.78,6.3704,75.6993,30,20260803
1X1X_A_D,random,1,0.89,0.91,2.1569,95.1253,30,20260803
1X1X_A_D,random,2,0.84,0.88,2.8243,91.6353,30,20260803
1XGP_AB_C,wt,-1,0.64,0.74,19.4709,74.2919,36,20260803
1XGP_AB_C,L,0,0.74,0.8,10.7348,76.4661,36,20260803
1XGP_AB_C,L,1,0.65,0.75,19.0413,74.4486,36,20260803
1XGP_AB_C,L,2,0.72,0.78,15.1321,78.0569,36,20260803
1XGP_AB_C,random,0,0.65,0.75,20.3081,73.8122,36,20260803
1XGP_AB_C,random,1,0.65,0.74,19.457,75.7775,36,20260803
1XGP_AB_C,random,2,0.66,0.75,17.7199,70.115,36,20260803
1Y48_E_I,wt,-1,0.92,0.95,1.9934,95.9357,35,20260803
1Y48_E_I,L,0,0.78,0.89,6.0077,81.0969,35,20260803
1Y48_E_I,L,1,0.91,0.95,2.2698,94.7389,35,20260803
1Y48_E_I,L,2,0.92,0.96,1.8438,96.874,35,20260803
1Y48_E_I,random,0,0.62,0.9,6.5663,78.7097,35,20260803
1Y48_E_I,random,1,0.89,0.95,2.6231,92.4237,35,20260803
1Y48_E_I,random,2,0.9,0.95,2.2569,94.804,35,20260803
1Y4A_E_I,wt,-1,0.92,0.96,2.2798,95.6207,41,20260803
1Y4A_E_I,L,0,0.91,0.96,2.329,95.6383,41,20260803
1Y4A_E_I,L,1,0.89,0.95,2.8848,93.3937,41,20260803
1Y4A_E_I,L,2,0.89,0.95,3.109,92.4607,41,20260803
1Y4A_E_I,random,0,0.65,0.9,7.405,78.798,41,20260803
1Y4A_E_I,random,1,0.87,0.95,3.0681,92.5439,41,20260803
1Y4A_E_I,random,2,0.86,0.95,3.7176,90.1276,41,20260803
2AW2_A_B,wt,-1,0.87,0.87,2.244,96.3636,42,20260803
2AW2_A_B,L,0,0.84,0.85,2.9345,93.3643,42,20260803
2AW2_A_B,L,1,0.72,0.79,4.2985,87.8417,42,20260803
2AW2_A_B,L,2,0.75,0.8,3.5815,88.8164,42,20260803
2AW2_A_B,random,0,0.49,0.66,8.6284,80.185,42,20260803
2AW2_A_B,random,1,0.61,0.72,7.913,78.8993,42,20260803
2AW2_A_B,random,2,0.61,0.7,5.6453,89.7886,42,20260803
2B12_A_B,wt,-1,0.84,0.92,4.0356,91.1619,21,20260803
2B12_A_B,L,0,0.72,0.89,6.7139,83.4957,21,20260803
2B12_A_B,L,1,0.62,0.87,8.699,79.9481,21,20260803
2B12_A_B,L,2,0.81,0.92,5.1183,87.2738,21,20260803
2B12_A_B,random,0,0.86,0.93,3.8315,88.4295,21,20260803
2B12_A_B,random,1,0.75,0.9,7.1532,87.4095,21,20260803
2B12_A_B,random,2,0.39,0.8,11.866,76.1643,21,20260803
2HRK_A_B,wt,-1,0.91,0.93,1.9633,96.4312,25,20260803
2HRK_A_B,L,0,0.88,0.92,2.5727,93.6392,25,20260803
2HRK_A_B,L,1,0.9,0.93,2.1776,95.5952,25,20260803
