complex_id,direction,alpha,meanL_mpnn,meanL_esmif,meanL_mif
1ACB_E_I,L,2.0,0.2229,0.5809,0.2702
1ACB_E_I,random,2.0,-0.2743,-0.5991,-0.4096
1AK4_A_D,L,2.0,-0.0639,0.6299,-0.0449
1AK4_A_D,random,2.0,-0.2258,0.2368,-0.1007
1B2S_A_D,L,2.0,0.4084,1.9857,-0.1238
1B2S_A_D,random,2.0,-0.307,0.098,-1.0151
1CT0_E_I,L,2.0,0.3555,1.2129,0.7525
1CT0_E_I,random,2.0,-0.3434,-0.735,-0.3017
1DAN_HL_UT,L,2.0,0.1552,0.8245,0.1459
1DAN_HL_UT,random,2.0,-0.4371,-0.4523,-0.4321
1DQJ_AB_C,L,2.0,0.216,1.3577,0.2691
1DQJ_AB_C,random,2.0,-0.0578,0.3071,-0.1649
1FY8_E_I,L,2.0,0.2073,1.0717,-0.092
1FY8_E_I,random,2.0,-0.1859,0.2959,-0.4724
1GL0_E_I,L,2.0,0.4889,1.3381,0.3697
1GL0_E_I,random,2.0,-0.0704,0.0566,-0.231
1GL1_A_I,L,2.0,0.3998,1.0931,0.4532
1GL1_A_I,random,2.0,0.1299,0.4213,0.2642
1KAC_A_B,L,2.0,0.1317,0.7012,0.3821
1KAC_A_B,random,2.0,-0.4613,-0.5705,-0.4137
1KIQ_AB_C,L,2.0,0.1437,1.137,0.0825
1KIQ_AB_C,random,2.0,-0.1932,-0.2124,-0.2843
1LFD_A_B,L,2.0,0.1014,1.1234,0.0541
1LFD_A_B,random,2.0,-0.229,0.4709,-0.3201
1P69_A_B,L,2.0,0.207,0.6177,0.2432
1P69_A_B,random,2.0,-0.2422,-0.1214,-0.3255
1R0R_E_I,L,2.0,0.4247,1.7109,0.6027
1R0R_E_I,random,2.0,0.1862,0.9265,0.5288
1S0W_A_C,L,2.0,0.5992,1.4118,0.592
1S0W_A_C,random,2.0,0.161,0.1843,0.1178
1SBB_A_B,L,2.0,0.2953,1.5292,0.4671
1SBB_A_B,random,2.0,-0.2783,0.2371,0.1626
1SBN_E_I,L,2.0,0.5614,1.1267,0.7245
1SBN_E_I,random,2.0,0.2001,0.2272,0.3198
1SGY_E_I,L,2.0,0.2827,1.1395,0.2561
1SGY_E_I,random,2.0,-0.0048,0.0133,0.3191
1TM7_E_I,L,2.0,0.2183,1.0841,0.4167
1TM7_E_I,random,2.0,0.182,0.2202,0.1938
1TMG_E_I,L,2.0,0.2579,0.9791,0.4878
1TMG_E_I,random,2.0,0.0696,0.3371,0.2018
1VFB_AB_C,L,2.0,0.1407,1.3136,0.3569
1VFB_AB_C,random,2.0,-0.1299,-0.0409,0.0614
1X1X_A_D,L,2.0,0.2882,1.9163,-0.1168
1X1X_A_D,random,2.0,-0.4153,-0.002,-0.8508
1XGP_AB_C,L,2.0,0.4466,1.5305,0.3573
1XGP_AB_C,random,2.0,-0.1271,0.0421,-0.105
1Y48_E_I,L,2.0,0.1485,0.581,0.5486
1Y48_E_I,random,2.0,-0.1257,-0.2142,0.1488
1Y4A_E_I,L,2.0,0.3864,1.1882,0.8737
1Y4A_E_I,random,2.0,0.0412,0.235,0.2891
2AW2_A_B,L,2.0,0.1757,0.695,0.5066
2AW2_A_B,random,2.0,-0.3308,-0.7619,-0.6582
2B12_A_B,L,2.0,0.1537,1.1223,0.3096
2B12_A_B,random,2.0,-0.1313,-0.0934,-0.2944
2HRK_A_B,L,2.0,0.2435,0.6523,0.1355
2HRK_A_B,random,2.0,-0.8414,-1.5898,-1.3923
2JEL_LH_P,L,2.0,0.2729,1.5438,0.7518
2JEL_LH_P,random,2.0,-0.3547,-0.319,-0.6818
2KSO_A_B,L,2.0,0.5106,0.8251,0.2528
2KSO_A_B,random,2.0,0.2507,0.3643,-0.1335
2NU2_E_I,L,2.0,0.5208,1.188,0.9606
2NU2_E_I,random,2.0,-0.2864,-0.6821,-0.1557
2OI9_AQ_BC,L,2.0,0.151,0.8909,0.0956
2OI9_AQ_BC,random,2.0,-0.1262,0.047,-0.2297
2REX_A_B,L,2.0,0.0222,0.8948,0.2883
2REX_A_B,random,2.0,-0.3446,-0.8519,-0.6293
2SIC_E_I,L,2.0,0.5195,1.7911,0.3534
2SIC_E_I,random,2.0,-0.3052,0.6596,-0.3994
3BK3_A_C,L,2.0,-0.0017,0.8544,0.3439
3BK3_A_C,random,2.0,-0.7405,-0.3957,-0.6126
3BT1_A_U,L,2.0,0.2975,0.7074,0.2451
3BT1_A_U,random,2.0,-0.1101,-0.2214,-0.1237
3BTF_E_I,L,2.0,0.4061,1.0037,0.4799
3BTF_E_I,random,2.0,-0.1914,0.1764,-0.3265
3BTH_E_I,L,2.0,0.5691,1.2536,0.5076
3BTH_E_I,random,2.0,0.0392,0.3792,-0.288
3BTM_E_I,L,2.0,0.3588,1.0563,0.4616
3BTM_E_I,random,2.0,0.2516,0.304,0.3028
3EQS_A_B,L,2.0,-0.0296,0.5031,-0.1153
3EQS_A_B,random,2.0,-1.0203,-1.7118,-1.6171
3HFM_HL_Y,L,2.0,0.2067,1.6211,0.701
3HFM_HL_Y,random,2.0,0.025,0.626,0.0858
3KUD_A_B,L,2.0,0.0983,1.0517,0.1792
3KUD_A_B,random,2.0,0.0193,0.0941,-0.0456
3N0P_A_B,L,2.0,0.3638,0.9661,0.2219
3N0P_A_B,random,2.0,-0.1585,-0.455,-0.4678
3N4I_A_B,L,2.0,0.4933,1.0602,0.7077
3N4I_A_B,random,2.0,-0.0448,-0.032,0.0162
3Q8D_A_E,L,2.0,0.1603,1.2392,0.1366
3Q8D_A_E,random,2.0,0.3047,0.5017,0.161
3SE3_B_C,L,2.0,0.3405,1.0331,0.4078
3SE3_B_C,random,2.0,-0.3314,-0.4132,-0.4317
3SE4_B_C,L,2.0,0.3805,0.7263,0.1272
3SE4_B_C,random,2.0,-0.1152,-0.3688,-0.4112
3TGK_E_I,L,2.0,0.1564,0.9116,0.0216
3TGK_E_I,random,2.0,-0.171,0.0025,-0.3743
3UIG_A_P,L,2.0,0.3926,0.6893,0.0367
3UIG_A_P,random,2.0,0.174,-0.1258,-0.1563
3UIH_A_P,L,2.0,0.5565,1.111,0.8619
3UIH_A_P,random,2.0,-0.1335,0.2889,0.632
4BFI_A_B,L,2.0,0.3768,0.6438,0.2183
4BFI_A_B,random,2.0,-0.2828,-0.8292,-0.6734
4EKD_A_B,L,2.0,0.3003,0.9599,0.39
4EKD_A_B,random,2.0,-0.0449,0.3621,-0.1317
4G0N_A_B,L,2.0,0.0375,0.9466,-0.1794
4G0N_A_B,random,2.0,-0.1148,0.3097,-0.3887
4KRL_A_B,L,2.0,0.2072,0.5294,-0.022
4KRL_A_B,random,2.0,-0.138,-0.1262,-0.2432
4L0P_A_B,L,2.0,0.0776,0.3079,-0.2355
4L0P_A_B,random,2.0,-0.29,-1.0225,-0.7728
4MYW_A_B,L,2.0,0.1508,0.9771,0.3833
4MYW_A_B,random,2.0,-0.2882,-0.1623,-0.2317
4N8V_G_ABC,L,2.0,0.3956,1.2489,0.3988
4N8V_G_ABC,random,2.0,0.1542,0.2242,-0.1461
