complex_id,direction,alpha,meanL_pifold
1A22_A_B,L,2.0,-0.2623
1A22_A_B,random,2.0,-0.5383
1A4Y_A_B,L,2.0,0.115
1A4Y_A_B,random,2.0,-0.483
1ACB_E_I,L,2.0,0.8303
1ACB_E_I,random,2.0,0.5683
1AHW_AB_C,L,2.0,0.1226
1AHW_AB_C,random,2.0,-0.535
1AK4_A_D,L,2.0,-0.0802
1AK4_A_D,random,2.0,-1.089
1B2S_A_D,L,2.0,0.2165
1B2S_A_D,random,2.0,-2.1978
1B2U_A_D,L,2.0,0.206
1B2U_A_D,random,2.0,-1.2336
1B3S_A_D,L,2.0,0.0495
1B3S_A_D,random,2.0,-1.2747
1B41_A_B,L,2.0,-0.0485
1B41_A_B,random,2.0,-0.7756
1BJ1_HL_VW,L,2.0,0.0667
1BJ1_HL_VW,random,2.0,-0.4151
1BP3_A_B,L,2.0,0.2132
1BP3_A_B,random,2.0,-0.1831
1BRS_A_D,L,2.0,0.4861
1BRS_A_D,random,2.0,-0.9276
1C1Y_A_B,L,2.0,0.5793
1C1Y_A_B,random,2.0,-0.2502
1CBW_FGH_I,L,2.0,1.2503
1CBW_FGH_I,random,2.0,0.2715
1CHO_EFG_I,L,2.0,1.1257
1CHO_EFG_I,random,2.0,0.6295
1CSE_E_I,L,2.0,0.9671
1CSE_E_I,random,2.0,-0.402
1CSO_E_I,L,2.0,1.1852
1CSO_E_I,random,2.0,-0.4055
1CT0_E_I,L,2.0,0.8313
1CT0_E_I,random,2.0,-1.0601
1CT2_E_I,L,2.0,0.8393
1CT2_E_I,random,2.0,-0.3401
1CT4_E_I,L,2.0,0.5848
1CT4_E_I,random,2.0,-0.7533
1CZ8_HL_VW,L,2.0,0.1114
1CZ8_HL_VW,random,2.0,-0.4337
1DAN_HL_UT,L,2.0,0.0599
1DAN_HL_UT,random,2.0,-0.7318
1DQJ_AB_C,L,2.0,0.0863
1DQJ_AB_C,random,2.0,-0.0636
1DVF_AB_CD,L,2.0,0.0351
1DVF_AB_CD,random,2.0,-0.3909
1E50_A_B,L,2.0,0.7523
1E50_A_B,random,2.0,-0.3425
1E96_A_B,L,2.0,-0.4313
1E96_A_B,random,2.0,-1.2842
1EAW_A_B,L,2.0,0.5723
1EAW_A_B,random,2.0,0.4095
1EFN_A_B,L,2.0,0.1561
1EFN_A_B,random,2.0,-1.1821
1EMV_A_B,L,2.0,0.5942
1EMV_A_B,random,2.0,-0.6457
1F47_A_B,L,2.0,-0.1739
1F47_A_B,random,2.0,-1.2703
1F5R_A_I,L,2.0,1.1182
1F5R_A_I,random,2.0,0.1018
1FC2_C_D,L,2.0,0.3558
1FC2_C_D,random,2.0,-0.1718
1FCC_A_C,L,2.0,-0.1717
1FCC_A_C,random,2.0,-0.4232
1FFW_A_B,L,2.0,0.239
1FFW_A_B,random,2.0,-1.4959
1FR2_A_B,L,2.0,0.1167
1FR2_A_B,random,2.0,-1.3062
1FSS_A_B,L,2.0,0.0351
1FSS_A_B,random,2.0,-0.6662
1FY8_E_I,L,2.0,0.8884
1FY8_E_I,random,2.0,0.4592
1GC1_G_C,L,2.0,0.2945
1GC1_G_C,random,2.0,-0.239
1GCQ_AB_C,L,2.0,0.2567
1GCQ_AB_C,random,2.0,-1.0339
1GL0_E_I,L,2.0,0.9345
1GL0_E_I,random,2.0,0.3681
1GL1_A_I,L,2.0,1.2046
1GL1_A_I,random,2.0,0.0052
1GRN_A_B,L,2.0,0.3338
1GRN_A_B,random,2.0,-0.4797
1GUA_A_B,L,2.0,0.1911
1GUA_A_B,random,2.0,-0.4844
1H9D_A_B,L,2.0,0.3187
1H9D_A_B,random,2.0,-0.2034
1IAR_A_B,L,2.0,-0.7216
1IAR_A_B,random,2.0,-1.3121
1JCK_A_B,L,2.0,0.3028
1JCK_A_B,random,2.0,-0.2596
1JRH_LH_I,L,2.0,0.0191
1JRH_LH_I,random,2.0,-0.6155
1JTD_A_B,L,2.0,0.56
1JTD_A_B,random,2.0,0.1064
1JTG_A_B,L,2.0,0.3429
1JTG_A_B,random,2.0,-0.277
1K8R_A_B,L,2.0,-0.0264
1K8R_A_B,random,2.0,-0.3912
1KAC_A_B,L,2.0,0.0986
1KAC_A_B,random,2.0,-0.5351
1KIP_AB_C,L,2.0,0.2948
1KIP_AB_C,random,2.0,-0.5531
1KIQ_AB_C,L,2.0,-0.1063
1KIQ_AB_C,random,2.0,-0.4326
1KIR_AB_C,L,2.0,0.0412
1KIR_AB_C,random,2.0,-0.1763
1KNE_A_P,L,2.0,0.5017
1KNE_A_P,random,2.0,-0.5867
1KTZ_A_B,L,2.0,-0.0662
1KTZ_A_B,random,2.0,-0.5601
1LFD_A_B,L,2.0,-0.2265
1LFD_A_B,random,2.0,-0.6901
1M9E_A_D,L,2.0,0.1987
1M9E_A_D,random,2.0,-0.8956
1MAH_A_F,L,2.0,0.1648
1MAH_A_F,random,2.0,-0.6799
1MHP_HL_A,L,2.0,-0.2524
1MHP_HL_A,random,2.0,-0.7974
1MLC_AB_E,L,2.0,0.7481
1MLC_AB_E,random,2.0,0.0925
1MQ8_A_B,L,2.0,0.2838
1MQ8_A_B,random,2.0,-0.1783
1N8O_ABC_E,L,2.0,0.944
1N8O_ABC_E,random,2.0,-0.21
1NMB_N_LH,L,2.0,0.6543
1NMB_N_LH,random,2.0,-0.4972
1OHZ_A_B,L,2.0,-0.1118
1OHZ_A_B,random,2.0,-1.3181
1P69_A_B,L,2.0,0.1627
1P69_A_B,random,2.0,-0.3698
1P6A_A_B,L,2.0,-0.0448
1P6A_A_B,random,2.0,-0.4885
1PPF_E_I,L,2.0,0.7522
1PPF_E_I,random,2.0,-0.5834
1QAB_ABCD_E,L,2.0,0.6578
1QAB_ABCD_E,random,2.0,0.0277
1R0R_E_I,L,2.0,0.874
1R0R_E_I,random,2.0,-0.3196
1REW_AB_C,L,2.0,-0.1805
1REW_AB_C,random,2.0,-1.3765
1S0W_A_C,L,2.0,0.7675
1S0W_A_C,random,2.0,0.0662
1S1Q_A_B,L,2.0,-0.4062
1S1Q_A_B,random,2.0,-1.3641
1SBB_A_B,L,2.0,0.6532
1SBB_A_B,random,2.0,-0.2031
1SBN_E_I,L,2.0,1.0191
1SBN_E_I,random,2.0,0.0367
1SGD_E_I,L,2.0,1.2073
1SGD_E_I,random,2.0,-0.1493
1SGE_E_I,L,2.0,1.3694
1SGE_E_I,random,2.0,-0.7204
1SGN_E_I,L,2.0,0.8959
1SGN_E_I,random,2.0,-0.1346
1SGP_E_I,L,2.0,1.3096
1SGP_E_I,random,2.0,-0.7728
1SGQ_E_I,L,2.0,1.1666
1SGQ_E_I,random,2.0,-0.376
1SGY_E_I,L,2.0,0.8739
1SGY_E_I,random,2.0,-1.0777
1SIB_E_I,L,2.0,0.4342
1SIB_E_I,random,2.0,-0.2961
1SMF_E_I,L,2.0,1.8329
1SMF_E_I,random,2.0,0.8799
1TM1_E_I,L,2.0,0.7221
1TM1_E_I,random,2.0,0.0205
1TM3_E_I,L,2.0,0.7876
1TM3_E_I,random,2.0,-0.2587
1TM4_E_I,L,2.0,0.7517
1TM4_E_I,random,2.0,-0.3507
1TM5_E_I,L,2.0,0.8346
1TM5_E_I,random,2.0,0.0575
1TM7_E_I,L,2.0,0.4871
1TM7_E_I,random,2.0,-0.0797
1TMG_E_I,L,2.0,0.3533
1TMG_E_I,random,2.0,-0.3089
1TO1_E_I,L,2.0,0.6443
1TO1_E_I,random,2.0,-0.166
1U7F_B_AC,L,2.0,0.2861
1U7F_B_AC,random,2.0,-0.294
1UUZ_A_D,L,2.0,0.2969
1UUZ_A_D,random,2.0,-0.6062
1VFB_AB_C,L,2.0,0.2804
1VFB_AB_C,random,2.0,-0.4288
1WQJ_I_B,L,2.0,-0.3085
1WQJ_I_B,random,2.0,-1.1762
1X1W_A_D,L,2.0,-0.0151
1X1W_A_D,random,2.0,-1.5487
1X1X_A_D,L,2.0,-0.1627
1X1X_A_D,random,2.0,-0.988
1XD3_A_B,L,2.0,0.0988
1XD3_A_B,random,2.0,-0.8435
1XGP_AB_C,L,2.0,0.5101
1XGP_AB_C,random,2.0,-0.1201
1XGQ_AB_C,L,2.0,0.5924
1XGQ_AB_C,random,2.0,0.0398
1XGR_AB_C,L,2.0,0.4086
1XGR_AB_C,random,2.0,-0.0876
1XGT_AB_C,L,2.0,0.3695
1XGT_AB_C,random,2.0,-0.3349
1XGU_AB_C,L,2.0,0.1882
1XGU_AB_C,random,2.0,0.0038
1XXM_A_C,L,2.0,0.3788
1XXM_A_C,random,2.0,-0.3649
1Y1K_E_I,L,2.0,0.8204
1Y1K_E_I,random,2.0,-0.2942
1Y33_E_I,L,2.0,0.7543
1Y33_E_I,random,2.0,-0.2897
1Y34_E_I,L,2.0,0.771
1Y34_E_I,random,2.0,0.1403
1Y3B_E_I,L,2.0,0.6061
1Y3B_E_I,random,2.0,-0.6741
1Y3C_E_I,L,2.0,0.5413
1Y3C_E_I,random,2.0,-0.3837
1Y3D_E_I,L,2.0,0.5318
1Y3D_E_I,random,2.0,-0.1914
1Y48_E_I,L,2.0,0.2502
1Y48_E_I,random,2.0,-0.7151
1Y4A_E_I,L,2.0,0.885
1Y4A_E_I,random,2.0,0.0135
1YCS_A_B,L,2.0,0.3727
1YCS_A_B,random,2.0,0.1113
1YQV_HL_Y,L,2.0,0.7118
1YQV_HL_Y,random,2.0,-0.1579
1Z7X_W_X,L,2.0,0.0435
1Z7X_W_X,random,2.0,-0.4746
2A9K_A_B,L,2.0,-0.2945
2A9K_A_B,random,2.0,-1.1171
2ABZ_B_E,L,2.0,0.7659
2ABZ_B_E,random,2.0,0.5952
2AW2_A_B,L,2.0,0.4386
2AW2_A_B,random,2.0,-0.2999
2B0U_AB_C,L,2.0,0.1635
2B0U_AB_C,random,2.0,-0.9144
2B0Z_A_B,L,2.0,0.1395
2B0Z_A_B,random,2.0,-0.2272
2B10_A_B,L,2.0,0.2498
2B10_A_B,random,2.0,-0.4157
2B11_A_B,L,2.0,0.4669
2B11_A_B,random,2.0,-0.1518
2B12_A_B,L,2.0,0.2657
2B12_A_B,random,2.0,-0.1919
2B2X_HL_A,L,2.0,0.1418
2B2X_HL_A,random,2.0,-0.4507
2B42_A_B,L,2.0,0.0733
