complex_id,direction,k,iptm,ptm,interface_pae,interface_plddt,n_iface,seed
1ACB_E_I,naive,0,0.85,0.92,3.2229,89.1909,32,20260803
1ACB_E_I,naive,1,0.88,0.93,2.876,91.8041,32,20260803
1ACB_E_I,naive,2,0.85,0.92,2.7977,90.2509,32,20260803
1AK4_A_D,naive,0,0.35,0.6,13.652,68.3135,26,20260803
1AK4_A_D,naive,1,0.78,0.8,3.515,89.0569,26,20260803
1AK4_A_D,naive,2,0.19,0.6,25.481,73.1269,26,20260803
1B2S_A_D,naive,0,0.9,0.92,2.1982,95.0182,28,20260803
1B2S_A_D,naive,1,0.89,0.91,2.3413,94.4982,28,20260803
1B2S_A_D,naive,2,0.89,0.91,1.9744,96.2546,28,20260803
1CT0_E_I,naive,0,0.9,0.94,1.8345,96.2771,28,20260803
1CT0_E_I,naive,1,0.91,0.94,1.7113,97.1411,28,20260803
1CT0_E_I,naive,2,0.92,0.94,1.6615,97.5914,28,20260803
1DAN_HL_UT,naive,0,0.86,0.88,5.5152,89.5979,81,20260803
1DAN_HL_UT,naive,1,0.83,0.84,6.5666,86.9177,81,20260803
1DAN_HL_UT,naive,2,0.83,0.85,5.9235,88.4725,81,20260803
1DQJ_AB_C,naive,0,0.67,0.75,16.7574,75.5578,41,20260803
1DQJ_AB_C,naive,1,0.63,0.73,20.4221,73.8917,41,20260803
1DQJ_AB_C,naive,2,0.64,0.74,21.3849,74.3066,41,20260803
1FY8_E_I,naive,0,0.88,0.93,2.1876,94.84,31,20260803
1FY8_E_I,naive,1,0.9,0.92,2.3781,93.5368,31,20260803
1FY8_E_I,naive,2,0.87,0.93,2.6874,93.29,31,20260803
1GL0_E_I,naive,0,0.91,0.94,2.6599,93.4984,43,20260803
1GL0_E_I,naive,1,0.92,0.94,2.392,94.8274,43,20260803
1GL0_E_I,naive,2,0.91,0.93,3.0786,90.7253,43,20260803
1GL1_A_I,naive,0,0.9,0.94,2.6986,92.2521,34,20260803
1GL1_A_I,naive,1,0.9,0.93,2.5918,92.415,34,20260803
1GL1_A_I,naive,2,0.7,0.9,6.2434,77.6474,34,20260803
1KAC_A_B,naive,0,0.2,0.63,21.2331,79.1535,34,20260803
1KAC_A_B,naive,1,0.23,0.65,19.7195,77.3779,34,20260803
