complex_id,direction,alpha,meanL_mpnn,meanL_esmif,meanL_mif
1A22_A_B,L,2.0,0.3699,0.1136,-0.0887
1A22_A_B,random,2.0,-0.3758,-0.5003,-0.2262
1A4Y_A_B,L,2.0,0.4582,0.4184,0.0102
1A4Y_A_B,random,2.0,-0.0532,0.087,-0.4278
1ACB_E_I,L,2.0,0.9485,-0.0596,0.2468
1ACB_E_I,random,2.0,0.144,-0.5454,-0.0644
1AHW_AB_C,L,2.0,0.7545,0.3459,0.1498
1AHW_AB_C,random,2.0,0.0051,-0.1577,-0.2476
1AK4_A_D,L,2.0,0.202,0.3129,0.0282
1AK4_A_D,random,2.0,-0.3335,0.0943,-0.44
1B2S_A_D,L,2.0,0.7288,0.8928,0.3571
1B2S_A_D,random,2.0,-0.7344,-0.5149,-1.9272
1B2U_A_D,L,2.0,0.6118,0.832,0.5179
1B2U_A_D,random,2.0,-0.2003,-0.2948,-0.487
1B3S_A_D,L,2.0,0.8047,0.5335,0.1275
1B3S_A_D,random,2.0,-0.0745,-0.5065,-0.7412
1B41_A_B,L,2.0,0.5584,0.1006,0.0267
1B41_A_B,random,2.0,-0.146,-0.6847,-0.3963
1BJ1_HL_VW,L,2.0,0.8417,0.1773,0.144
1BJ1_HL_VW,random,2.0,0.0446,-0.7096,-0.2596
1BP3_A_B,L,2.0,0.4154,0.2503,0.2069
1BP3_A_B,random,2.0,-0.2235,-0.1699,-0.1278
1BRS_A_D,L,2.0,0.7578,1.1793,0.3963
1BRS_A_D,random,2.0,-0.1916,-0.1766,-0.7769
1C1Y_A_B,L,2.0,0.5111,0.3511,-0.2729
1C1Y_A_B,random,2.0,0.0042,-0.0009,-0.7845
1CBW_FGH_I,L,2.0,0.6042,0.3394,0.4373
1CBW_FGH_I,random,2.0,-0.1001,-0.0743,-0.2214
1CHO_EFG_I,L,2.0,0.9156,0.5104,0.3417
1CHO_EFG_I,random,2.0,0.2624,0.1651,0.0202
1CSE_E_I,L,2.0,0.8789,0.0735,0.7217
1CSE_E_I,random,2.0,0.0511,-0.7972,-0.372
1CSO_E_I,L,2.0,0.8072,-0.1839,0.7921
1CSO_E_I,random,2.0,-0.2512,-1.2739,-0.2123
1CT0_E_I,L,2.0,0.8147,0.3932,0.6749
1CT0_E_I,random,2.0,-0.5071,-1.0291,-0.5243
1CT2_E_I,L,2.0,0.7965,0.2079,0.6662
1CT2_E_I,random,2.0,-0.0687,-0.738,0.1331
1CT4_E_I,L,2.0,0.6983,0.1297,0.7215
1CT4_E_I,random,2.0,-0.4889,-1.2025,-0.2415
1CZ8_HL_VW,L,2.0,0.8529,0.2595,0.0831
